Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;3035869;bis:;3039451
Ausgelesen am:;19.09.2025 02:06:56;von:;User
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035869;18.09.25 02:02:05;-47,790;-0,111;10,604;2,281;11,775;800,204;4,395;91,870;12,205;92,465;12,405;0,013;134,589;17,679;19,093;6377;637,7;0;0,0;48;12,21;15,79;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035870;18.09.25 02:03:05;-47,890;-0,111;10,508;2,343;11,777;800,198;4,401;91,915;12,195;92,635;12,450;0,348;134,145;17,686;19,096;6377;637,7;0;0,0;52;12,22;15,91;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035871;18.09.25 02:04:05;-47,599;-0,111;10,601;2,327;11,765;800,192;4,416;91,980;12,185;92,660;12,465;0,132;138,893;17,679;19,102;6377;637,7;0;0,0;60;12,24;15,79;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035872;18.09.25 02:05:05;-47,469;-0,111;10,640;2,431;11,778;800,192;4,428;92,040;12,190;92,770;12,485;-0,016;166,922;17,679;19,096;6377;637,7;0;0,0;60;12,24;15,91;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035873;18.09.25 02:06:05;-47,499;-0,111;10,547;2,523;11,760;800,192;4,443;92,110;12,215;92,495;12,495;-0,019;115,172;17,679;19,071;6377;637,7;0;0,0;60;12,25;15,71;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035874;18.09.25 02:07:05;-47,522;-0,111;10,458;2,510;11,757;800,192;4,446;92,070;12,190;92,070;12,470;-0,020;100,226;17,637;19,096;6377;637,7;0;0,0;60;12,25;15,44;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035875;18.09.25 02:08:05;-47,591;-0,111;10,389;2,316;11,740;800,192;4,437;91,940;12,175;92,020;12,435;-0,023;72,304;17,661;19,083;6377;637,7;0;0,0;60;12,25;15,52;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035876;18.09.25 02:09:05;-47,668;-0,111;10,380;2,245;11,725;800,192;4,437;91,910;12,155;91,870;12,395;-0,001;158,192;17,637;19,062;6377;637,7;0;0,0;60;12,24;15,40;0;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
