Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2519999;bis:;2530000
Ausgelesen am:;27.02.2025 12:29:39;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513310;28.12.24 00:00:10;-28,819;-0,111;3,612;2,581;-4,310;800,204;35,604;96,045;-3,245;96,345;-3,145;-0,027;111,842;0,015;-3,101;6376;637,6;;0,0;60;11,72;-5,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513311;28.12.24 00:01:10;-28,773;-0,111;3,546;2,601;-4,295;800,204;35,586;96,090;-3,245;96,435;-3,135;-0,029;108,444;0,003;-3,114;6376;637,6;;0,0;60;11,73;-5,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513312;28.12.24 00:02:10;-28,769;-0,111;3,528;2,465;-4,278;800,201;35,616;96,020;-3,225;96,375;-3,130;-0,026;106,583;0,012;-3,123;6376;637,6;;0,0;60;11,72;-5,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513313;28.12.24 00:03:10;-28,857;-0,111;3,482;2,290;-4,255;800,201;35,565;95,960;-3,220;96,205;-3,160;-0,027;103,809;0,003;-3,117;6376;637,6;;0,0;60;11,72;-5,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513314;28.12.24 00:04:10;-28,845;-0,111;3,438;2,225;-4,258;800,192;35,604;95,915;-3,250;96,175;-3,160;-0,027;104,715;0,009;-3,120;6376;637,6;;0,0;60;11,72;-5,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513315;28.12.24 00:05:10;-28,907;-0,111;3,396;2,151;-4,260;800,195;35,574;95,845;-3,260;96,215;-3,175;-0,025;102,921;0,012;-3,123;6376;637,6;;0,0;60;11,72;-5,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513316;28.12.24 00:06:10;-28,804;-0,111;3,413;2,140;-4,240;800,192;35,580;95,875;-3,275;96,240;-3,185;-0,029;111,471;0,006;-3,135;6376;637,6;;0,0;60;11,72;-5,24;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513317;28.12.24 00:07:10;-28,844;-0,111;3,447;2,108;-4,242;800,195;35,391;95,820;-3,270;96,255;-3,180;-0,026;112,939;0,006;-3,135;6376;637,6;;0,0;60;11,73;-5,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513318;28.12.24 00:08:10;-28,762;-0,111;3,433;2,133;-4,258;800,192;35,451;95,830;-3,285;96,275;-3,175;-0,025;114,075;0,006;-3,199;6376;637,6;;0,0;60;11,72;-5,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2513319;28.12.24 00:09:10;-28,788;-0,111;3,385;2,196;-4,262;800,198;35,505;95,810;-3,315;96,290;-3,190;-0,023;120,943;0,012;-3,175;6376;637,6;;0,0;60;11,72;-5,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
