Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2400001;bis:;2419999
Ausgelesen am:;26.02.2025 10:45:12;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397480;05.10.24 00:00:10;-27,284;-0,111;4,810;1,463;11,130;800,192;35,790;82,520;11,325;82,895;11,395;0,185;240,750;12,015;11,682;6374;637,4;;0,0;60;12,28;15,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397481;05.10.24 00:01:10;-27,538;-0,111;4,806;1,415;11,115;800,192;37,125;82,475;11,320;82,800;11,400;0,089;235,114;12,015;11,695;6374;637,4;;0,0;60;12,28;15,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397482;05.10.24 00:02:10;-27,772;-0,111;4,768;1,450;11,115;800,192;36,843;82,435;11,315;82,845;11,385;0,080;310,061;12,015;11,710;6374;637,4;;0,0;60;12,28;15,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397483;05.10.24 00:03:10;-27,934;-0,111;4,720;1,384;11,105;800,192;36,582;82,395;11,320;82,885;11,400;0,120;296,190;12,015;11,701;6374;637,4;;0,0;60;12,27;15,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397484;05.10.24 00:04:10;-28,130;-0,111;4,654;1,405;11,108;800,192;35,250;82,390;11,300;82,845;11,375;0,341;287,949;12,015;11,710;6374;637,4;;0,0;60;12,27;15,67;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397485;05.10.24 00:05:10;-28,302;-0,111;4,697;1,428;11,090;800,192;36,579;82,405;11,315;83,080;11,390;0,032;238,303;12,015;11,676;6374;637,4;;0,0;60;12,27;15,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397486;05.10.24 00:06:10;-28,751;-0,111;4,637;1,432;11,077;800,192;37,065;82,320;11,305;82,955;11,380;0,199;238,337;12,015;11,652;6374;637,4;;0,0;60;12,27;15,44;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397487;05.10.24 00:07:10;-29,116;-0,111;4,683;1,453;11,095;800,192;37,029;82,430;11,310;83,125;11,405;0,149;247,674;12,015;11,637;6374;637,4;;0,0;60;12,27;15,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397488;05.10.24 00:08:10;-29,378;-0,111;4,625;1,483;11,080;800,192;36,966;82,445;11,295;83,035;11,395;0,192;235,952;12,015;11,643;6374;637,4;;0,0;60;12,26;15,67;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397489;05.10.24 00:09:10;-29,538;-0,111;4,573;1,439;11,065;800,192;36,168;82,360;11,270;82,885;11,390;0,131;316,643;12,015;11,624;6374;637,4;;0,0;60;12,26;15,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397490;05.10.24 00:10:10;-29,595;-0,111;4,636;1,430;11,057;800,192;37,755;82,280;11,285;82,760;11,365;-0,002;308,661;12,015;11,627;6374;637,4;;0,0;60;12,27;15,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397491;05.10.24 00:11:10;-29,727;-0,111;4,691;1,457;11,045;800,192;36,513;82,285;11,300;82,750;11,390;-0,020;175,860;12,009;11,624;6374;637,4;;0,0;60;12,26;15,44;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397492;05.10.24 00:12:10;-29,895;-0,111;4,673;1,482;11,040;800,192;36,738;82,240;11,275;82,845;11,395;-0,007;260,871;12,015;11,627;6374;637,4;;0,0;60;12,26;15,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397493;05.10.24 00:13:10;-29,936;-0,111;4,603;1,544;11,038;800,192;36,888;82,005;11,240;82,460;11,370;0,314;303,098;12,015;11,624;6374;637,4;;0,0;60;12,26;15,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397494;05.10.24 00:14:10;-30,697;-0,111;4,441;1,592;11,030;800,192;36,837;81,640;11,250;81,915;11,355;0,186;305,443;12,009;11,618;6374;637,4;;0,0;60;12,26;15,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397495;05.10.24 00:15:10;-31,878;-0,111;4,372;1,557;11,033;800,192;37,881;81,455;11,230;81,745;11,370;0,368;267,638;12,009;11,609;6374;637,4;;0,0;60;12,27;15,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397496;05.10.24 00:16:10;-33,970;-0,111;4,229;1,707;11,033;800,192;35,868;81,085;11,250;81,375;11,375;0,299;259,110;12,006;11,600;6374;637,4;;0,0;60;12,26;15,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397497;05.10.24 00:17:10;-36,578;-0,111;4,137;1,715;11,028;800,192;37,296;80,835;11,310;81,030;11,440;0,028;104,653;12,012;11,555;6374;637,4;;0,0;60;12,27;15,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397498;05.10.24 00:18:10;-39,562;-0,111;3,897;1,705;11,035;800,192;37,338;80,655;11,280;80,715;11,430;0,094;247,764;12,009;11,576;6374;637,4;;0,0;60;12,27;15,24;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397499;05.10.24 00:19:10;-42,562;-0,111;3,656;1,681;11,017;800,192;37,197;80,430;11,300;80,325;11,410;0,158;308,329;12,012;11,524;6374;637,4;;0,0;60;12,27;15,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397500;05.10.24 00:20:10;-45,076;-0,111;3,487;1,647;10,998;800,192;37,068;80,325;11,305;80,370;11,435;0,053;217,243;11,991;11,484;6374;637,4;;0,0;60;12,27;15,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397501;05.10.24 00:21:10;-46,838;-0,111;3,371;1,600;10,988;800,192;36,522;80,110;11,320;80,245;11,390;0,168;219,262;12,000;11,362;6374;637,4;;0,0;60;12,26;15,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397502;05.10.24 00:22:10;-47,851;-0,111;3,232;1,560;10,978;800,192;37,461;80,080;11,285;80,265;11,380;0,164;248,293;11,988;11,331;6374;637,4;;0,0;60;12,26;15,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2397503;05.10.24 00:23:10;-48,631;-0,111;3,242;1,569;10,967;800,192;37,245;79,855;11,285;80,305;11,350;0,059;290,835;12,000;11,301;6374;637,4;;0,0;60;12,25;15,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
