Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2720632;bis:;2726361
Ausgelesen am:;19.05.2025 09:45:03;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715699;12.05.25 00:00:10;-84,235;-0,111;19,929;3,627;16,020;800,189;3,774;50,880;16,435;50,025;16,830;0,628;94,545;23,967;24,492;6377;637,7;;0,0;60;12,45;15,75;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715700;12.05.25 00:01:10;-84,199;-0,111;19,920;3,671;16,008;800,186;3,780;50,930;16,445;50,080;16,800;0,425;123,891;23,936;24,510;6377;637,7;;0,0;60;12,45;15,67;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715701;12.05.25 00:02:10;-84,168;-0,111;20,004;3,740;15,980;800,192;3,771;51,040;16,405;50,270;16,760;0,125;93,938;23,927;24,479;6377;637,7;;0,0;60;12,46;15,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715702;12.05.25 00:03:10;-83,994;-0,111;19,964;3,914;15,950;800,192;3,774;51,180;16,370;50,480;16,715;0,266;163,384;23,909;24,464;6377;637,7;;0,0;60;12,45;15,71;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715703;12.05.25 00:04:10;-83,883;-0,111;19,991;3,828;15,927;800,183;3,768;51,365;16,320;50,545;16,730;0,448;84,398;23,884;24,452;6377;637,7;;0,0;60;12,45;15,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715704;12.05.25 00:05:10;-83,844;-0,111;19,984;3,918;15,903;800,189;3,768;51,510;16,350;50,640;16,725;0,152;66,308;23,881;24,430;6377;637,7;;0,0;60;12,45;15,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715705;12.05.25 00:06:10;-83,779;-0,111;19,988;3,980;15,865;800,186;3,768;51,555;16,320;50,645;16,705;0,253;114,773;23,832;24,424;6377;637,7;;0,0;60;12,45;15,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715706;12.05.25 00:07:10;-83,733;-0,111;19,872;3,824;15,847;800,189;3,768;51,690;16,255;50,835;16,645;0,407;196,425;23,832;24,424;6377;637,7;;0,0;60;12,44;15,83;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715707;12.05.25 00:08:10;-83,734;-0,111;19,936;3,764;15,815;800,183;3,774;51,825;16,285;51,075;16,610;0,170;50,749;23,823;24,415;6377;637,7;;0,0;60;12,46;15,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715708;12.05.25 00:09:10;-83,709;-0,111;19,960;3,807;15,770;800,186;3,768;51,965;16,220;51,270;16,540;0,244;221,816;23,805;24,418;6377;637,7;;0,0;60;12,44;15,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715709;12.05.25 00:10:10;-83,756;-0,111;19,850;3,769;15,740;800,192;3,771;52,180;16,165;51,530;16,490;0,409;184,117;23,777;24,418;6377;637,7;;0,0;60;12,45;15,67;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715710;12.05.25 00:11:10;-83,781;-0,111;19,803;3,587;15,717;800,192;3,768;52,600;16,150;51,940;16,435;0,318;194,400;23,741;24,415;6377;637,7;;0,0;60;12,45;15,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715711;12.05.25 00:12:10;-83,567;-0,111;19,906;3,515;15,670;800,189;3,768;53,000;16,075;52,365;16,410;0,615;130,511;23,731;24,388;6377;637,7;;0,0;60;12,45;15,67;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715712;12.05.25 00:13:10;-83,347;-0,111;19,788;3,466;15,645;800,189;3,771;53,410;16,025;52,865;16,310;0,566;328,005;23,734;24,390;6377;637,7;;0,0;60;12,44;15,63;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715713;12.05.25 00:14:10;-83,274;-0,111;19,790;3,446;15,623;800,183;3,774;53,610;16,050;53,055;16,320;0,557;50,951;23,719;24,369;6377;637,7;;0,0;60;12,46;15,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715714;12.05.25 00:15:10;-83,220;-0,111;19,829;3,475;15,593;800,180;3,774;53,790;15,970;53,245;16,235;0,369;190,935;23,686;24,363;6377;637,7;;0,0;60;12,45;15,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715715;12.05.25 00:16:10;-83,153;-0,111;19,886;3,498;15,557;800,189;3,768;53,965;15,960;53,415;16,205;0,190;161,190;23,643;24,333;6377;637,7;;0,0;60;12,45;15,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715716;12.05.25 00:17:10;-83,183;-0,111;19,887;3,458;15,523;800,189;3,771;54,095;15,910;53,525;16,190;0,377;60,728;23,643;24,323;6377;637,7;;0,0;60;12,45;15,56;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715717;12.05.25 00:18:10;-83,136;-0,111;19,908;3,518;15,487;800,189;3,771;54,230;15,890;53,675;16,155;0,150;97,290;23,637;24,320;6377;637,7;;0,0;60;12,46;15,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715718;12.05.25 00:19:10;-82,944;-0,111;20,000;3,590;15,460;800,189;3,768;54,260;15,830;53,665;16,130;0,296;196,133;23,628;24,320;6377;637,7;;0,0;60;12,45;15,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715719;12.05.25 00:20:10;-82,974;-0,111;19,854;3,603;15,438;800,183;3,771;54,440;15,855;53,720;16,135;0,458;61,914;23,594;24,320;6377;637,7;;0,0;60;12,46;15,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715720;12.05.25 00:21:10;-82,966;-0,111;19,837;3,600;15,420;800,183;3,774;54,430;15,770;53,795;16,090;0,191;209,846;23,561;24,320;6377;637,7;;0,0;60;12,45;15,08;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715721;12.05.25 00:22:10;-82,787;-0,111;19,865;3,553;15,387;800,186;3,774;54,470;15,745;53,760;16,070;0,291;159,339;23,539;24,299;6377;637,7;;0,0;60;12,45;15,24;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715722;12.05.25 00:23:10;-82,687;-0,111;19,853;3,538;15,375;800,186;3,765;54,605;15,770;53,845;16,070;0,489;108,630;23,530;24,293;6377;637,7;;0,0;60;12,47;15,08;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715723;12.05.25 00:24:10;-82,613;-0,111;19,810;3,559;15,337;800,186;3,765;54,735;15,705;53,975;16,065;0,254;99,579;23,527;24,269;6377;637,7;;0,0;60;12,46;15,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715724;12.05.25 00:25:10;-82,387;-0,111;19,898;3,599;15,317;800,180;3,768;54,780;15,675;53,970;16,065;0,284;107,899;23,512;24,263;6377;637,7;;0,0;60;12,46;15,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715725;12.05.25 00:26:10;-82,143;-0,111;19,964;3,645;15,302;800,180;3,771;54,900;15,640;53,995;16,045;0,217;149,288;23,460;24,244;6377;637,7;;0,0;60;12,46;15,12;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715726;12.05.25 00:27:10;-82,121;-0,111;19,836;3,706;15,282;800,186;3,774;55,005;15,640;54,000;16,085;0,606;57,189;23,454;24,244;6377;637,7;;0,0;60;12,46;15,12;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715727;12.05.25 00:28:10;-82,070;-0,111;19,697;3,658;15,262;800,183;3,771;55,045;15,620;54,095;16,030;0,724;72,473;23,441;24,226;6377;637,7;;0,0;60;12,45;14,92;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715728;12.05.25 00:29:10;-82,007;-0,111;19,715;3,673;15,233;800,186;3,768;55,155;15,620;54,240;16,015;0,347;89,331;23,438;24,223;6377;637,7;;0,0;60;12,45;15,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715729;12.05.25 00:30:10;-81,917;-0,111;19,622;3,691;15,230;800,192;3,771;55,100;15,560;54,125;15,960;0,572;263,604;23,414;24,226;6377;637,7;;0,0;60;12,45;15,04;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715730;12.05.25 00:31:10;-81,909;-0,111;19,690;3,817;15,220;800,189;3,771;55,155;15,565;54,100;16,005;0,267;185,799;23,402;24,220;6377;637,7;;0,0;60;12,46;15,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715731;12.05.25 00:32:10;-81,940;-0,111;19,554;3,743;15,188;800,192;3,774;55,230;15,545;54,190;15,975;0,342;248,918;23,371;24,217;6377;637,7;;0,0;60;12,44;14,76;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715732;12.05.25 00:33:10;-81,771;-0,111;19,571;3,710;15,180;800,183;3,774;55,280;15,525;54,270;15,975;0,229;134,370;23,344;24,208;6377;637,7;;0,0;60;12,45;15,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715733;12.05.25 00:34:10;-81,777;-0,111;19,547;3,782;15,150;800,183;3,768;55,460;15,565;54,445;15,970;0,478;86,968;23,341;24,214;6377;637,7;;0,0;60;12,46;14,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715734;12.05.25 00:35:10;-81,895;-0,111;19,401;3,728;15,132;800,186;3,768;55,570;15,515;54,575;15,910;0,537;208,046;23,341;24,162;6377;637,7;;0,0;60;12,45;14,76;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715735;12.05.25 00:36:10;-81,779;-0,111;19,398;3,629;15,115;800,180;3,768;55,690;15,515;54,745;15,890;0,350;143,291;23,316;24,156;6377;637,7;;0,0;60;12,45;14,76;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715736;12.05.25 00:37:10;-81,675;-0,111;19,362;3,596;15,080;800,180;3,768;55,815;15,485;55,015;15,845;0,764;94,956;23,255;24,134;6377;637,7;;0,0;60;12,45;14,72;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715737;12.05.25 00:38:10;-81,853;-0,111;19,241;3,619;15,082;800,183;3,768;55,975;15,470;55,135;15,825;0,451;155,025;23,252;24,128;6377;637,7;;0,0;60;12,46;14,72;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715738;12.05.25 00:39:10;-81,766;-0,111;19,302;3,652;15,050;800,192;3,768;56,085;15,450;55,295;15,800;0,045;179,634;23,252;24,122;6377;637,7;;0,0;60;12,45;14,88;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715739;12.05.25 00:40:10;-81,679;-0,111;19,355;3,767;15,032;800,192;3,765;56,200;15,425;55,330;15,815;0,218;159,373;23,234;24,128;6377;637,7;;0,0;60;12,45;15,08;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715740;12.05.25 00:41:10;-81,709;-0,111;19,233;3,860;15,010;800,192;3,771;56,285;15,405;55,355;15,760;0,424;303,525;23,225;24,125;6377;637,7;;0,0;60;12,43;15,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715741;12.05.25 00:42:10;-81,580;-0,111;19,166;3,675;14,995;800,192;3,774;56,405;15,435;55,705;15,735;0,458;164,076;23,173;24,116;6377;637,7;;0,0;60;12,45;15,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715742;12.05.25 00:43:10;-81,725;-0,111;19,080;3,785;14,980;800,192;3,762;56,475;15,360;55,720;15,715;0,393;208,817;23,154;24,116;6377;637,7;;0,0;60;12,44;14,64;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715743;12.05.25 00:44:10;-81,813;-0,111;19,034;3,723;14,970;800,192;3,765;56,585;15,365;55,850;15,700;0,329;203,282;23,148;24,101;6377;637,7;;0,0;60;12,43;14,88;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715744;12.05.25 00:45:10;-81,887;-0,111;18,864;3,700;14,950;800,192;3,765;56,670;15,335;55,865;15,705;0,422;273,111;23,148;24,076;6377;637,7;;0,0;60;12,44;14,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715745;12.05.25 00:46:10;-81,847;-0,111;18,858;3,673;14,945;800,192;3,771;56,750;15,315;55,990;15,650;0,411;279,428;23,139;24,092;6377;637,7;;0,0;60;12,43;14,80;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715746;12.05.25 00:47:10;-81,891;-0,111;18,827;3,721;14,917;800,192;3,774;57,110;15,340;56,340;15,685;0,366;84,257;23,093;24,055;6377;637,7;;0,0;60;12,44;14,80;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715747;12.05.25 00:48:10;-81,988;-0,111;18,766;3,616;14,903;800,189;3,777;57,500;15,300;56,780;15,635;0,236;176,653;23,088;24,040;6377;637,7;;0,0;60;12,44;15,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715748;12.05.25 00:49:10;-81,965;-0,111;18,800;3,500;14,878;800,189;3,771;58,060;15,290;57,465;15,580;0,267;140,299;23,054;24,034;6377;637,7;;0,0;60;12,44;14,72;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715749;12.05.25 00:50:10;-81,934;-0,111;18,815;3,483;14,835;800,192;3,774;58,465;15,270;57,915;15,560;0,488;188,584;23,051;24,024;6377;637,7;;0,0;60;12,44;14,76;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2715750;12.05.25 00:51:10;-81,934;-0,111;18,698;3,381;14,817;800,183;3,777;58,830;15,210;58,260;15,505;0,430;203,721;23,051;24,030;6377;637,7;;0,0;60;12,43;14,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
