Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2400001;bis:;2419999
Ausgelesen am:;26.02.2025 10:45:12;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383080;25.09.24 00:00:10;-1,351;-0,111;4,296;1,500;14,677;800,192;32,349;92,565;14,840;93,290;14,935;0,295;192,296;15,742;14,927;6374;637,4;;0,0;60;12,31;18,45;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383081;25.09.24 00:01:10;-1,487;-0,111;4,152;1,519;14,682;800,192;32,121;92,550;14,865;93,250;14,960;0,648;265,275;15,744;14,859;6374;637,4;;0,0;60;12,30;18,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383082;25.09.24 00:02:10;-1,432;-0,111;4,066;1,578;14,688;800,192;32,661;92,495;14,830;93,180;14,950;0,548;245,312;15,735;14,847;6374;637,4;;0,0;60;12,31;18,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383083;25.09.24 00:03:10;-1,333;-0,111;4,215;1,532;14,682;800,189;32,520;92,515;14,830;93,130;14,950;0,185;218,520;15,729;14,823;6374;637,4;;0,0;60;12,31;18,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383084;25.09.24 00:04:10;-1,266;-0,111;4,236;1,537;14,682;800,189;33,138;92,520;14,840;93,200;14,945;0,193;236,003;15,729;14,844;6374;637,4;;0,0;60;12,30;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383085;25.09.24 00:05:10;-1,552;-0,111;4,000;1,544;14,688;800,186;33,576;92,490;14,865;93,105;14,965;1,318;224,274;15,742;14,847;6374;637,4;;0,0;60;12,31;18,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383086;25.09.24 00:06:10;-1,481;-0,111;3,962;1,646;14,707;800,183;33,009;92,455;14,860;93,165;14,980;0,873;219,797;15,732;14,847;6374;637,4;;0,0;60;12,30;18,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383087;25.09.24 00:07:10;-1,638;-0,111;3,856;1,770;14,710;800,192;32,655;92,405;14,885;93,040;14,995;0,668;230,231;15,729;14,865;6374;637,4;;0,0;60;12,30;18,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383088;25.09.24 00:08:10;-1,501;-0,111;3,879;1,751;14,712;800,192;33,315;92,370;14,900;92,980;14,995;0,442;241,071;15,732;14,865;6374;637,4;;0,0;60;12,31;18,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383089;25.09.24 00:09:10;-1,557;-0,111;3,881;1,653;14,730;800,192;33,489;92,340;14,910;92,900;15,015;0,548;246,493;15,726;14,869;6374;637,4;;0,0;60;12,31;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383090;25.09.24 00:10:10;-1,616;-0,111;3,880;1,643;14,720;800,192;33,231;92,275;14,900;92,875;15,015;0,320;275,001;15,726;14,862;6374;637,4;;0,0;60;12,30;18,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383091;25.09.24 00:11:10;-1,571;-0,111;3,890;1,643;14,727;800,192;32,454;92,230;14,935;92,785;15,045;0,543;232,363;15,729;14,887;6374;637,4;;0,0;60;12,30;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383092;25.09.24 00:12:10;-1,569;-0,111;3,874;1,676;14,737;800,192;32,418;92,195;14,950;92,805;15,040;0,492;252,591;15,726;14,936;6374;637,4;;0,0;60;12,30;18,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
