Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2250001;bis:;2259999
Ausgelesen am:;06.01.1980 22:16:41;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257546;30.07.24 00:00:10;-65,313;-0,111;28,026;3,977;18,293;800,180;29,824;78,740;18,327;78,560;18,567;0,228;89,693;21,309;23,271;6374;637,4;;0,0;65;12,37;22,20;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257547;30.07.24 00:00:37;-64,961;-0,111;28,028;3,767;18,300;800,204;30,864;78,320;18,300;78,020;18,520;0,145;144,338;21,293;23,539;6374;637,4;;0,0;12;12,38;22,62;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257548;30.07.24 00:01:05;-64,903;-0,111;27,947;3,793;18,280;800,180;29,696;78,340;18,287;77,913;18,520;0,097;179,918;21,309;23,515;6374;637,4;;0,0;55;12,36;21,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257549;30.07.24 00:01:18;-64,621;-0,111;28,008;3,857;18,240;800,204;30,444;78,300;18,220;77,920;18,440;-0,014;253,463;21,293;23,637;6374;637,4;;0,0;13;12,35;21,83;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257550;30.07.24 00:01:41;-64,623;-0,111;27,934;3,942;18,260;800,180;31,512;78,380;18,200;77,780;18,460;-0,014;256,658;21,293;23,539;6374;637,4;;0,0;11;12,36;22,14;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257551;30.07.24 00:02:10;-64,606;-0,111;27,962;3,966;18,257;800,180;32,448;78,313;18,213;77,913;18,453;-0,019;257,093;21,297;23,552;6374;637,4;;0,0;65;12,36;22,09;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257552;30.07.24 00:02:22;-64,397;-0,111;28,066;4,008;18,260;800,204;31,092;78,360;18,220;78,160;18,460;-0,014;92,025;21,293;23,441;6374;637,4;;0,0;12;12,35;22,14;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257553;30.07.24 00:03:03;-64,497;-0,111;27,999;3,935;18,230;800,204;31,188;78,300;18,280;77,880;18,460;0,098;68,873;21,293;23,539;6374;637,4;;0,0;13;12,39;21,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257554;30.07.24 00:03:26;-64,480;-0,111;27,849;3,915;18,220;800,204;30,792;78,280;18,260;78,020;18,460;-0,009;102,780;21,293;23,564;6374;637,4;;0,0;11;12,38;21,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257555;30.07.24 00:04:07;-64,836;-0,111;27,729;3,621;18,210;800,204;29,328;78,040;18,300;77,620;18,420;0,084;53,955;21,293;23,503;6374;637,4;;0,0;12;12,38;22,30;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
