Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2170002;bis:;2180000
Ausgelesen am:;11.07.2024 09:10:18;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161288;10.06.24 00:00:10;-80,180;-0,111;24,883;3,911;15,270;800,192;17,376;52,235;15,365;51,565;15,680;0,673;258,998;18,363;20,515;6374;637,4;;0,0;60;12,36;18,53;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161289;10.06.24 00:01:10;-80,203;-0,111;24,758;3,845;15,262;800,192;17,751;52,315;15,365;51,730;15,645;0,714;278,454;18,363;20,487;6374;637,4;;0,0;60;12,36;18,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161290;10.06.24 00:02:10;-80,147;-0,111;24,638;3,788;15,227;800,192;18,399;52,420;15,340;51,745;15,600;0,701;267,969;18,363;20,481;6374;637,4;;0,0;60;12,37;18,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161291;10.06.24 00:03:10;-80,147;-0,111;24,566;3,589;15,195;800,192;18,420;52,585;15,320;52,060;15,555;0,764;199,299;18,363;20,457;6374;637,4;;0,0;60;12,36;18,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161292;10.06.24 00:04:10;-80,022;-0,111;24,254;3,432;15,170;800,192;17,256;52,595;15,280;52,145;15,485;1,942;273,617;18,360;20,414;6374;637,4;;0,0;60;12,37;18,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161293;10.06.24 00:05:10;-80,004;-0,111;24,444;3,340;15,150;800,192;17,397;52,735;15,230;52,330;15,445;0,829;298,299;18,360;20,372;6374;637,4;;0,0;60;12,36;18,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161294;10.06.24 00:06:10;-79,945;-0,111;24,302;3,492;15,155;800,192;17,364;52,880;15,210;52,355;15,470;0,967;288,906;18,333;20,325;6374;637,4;;0,0;60;12,36;18,61;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161295;10.06.24 00:07:10;-79,866;-0,111;24,259;3,521;15,137;800,192;17,631;52,950;15,200;52,330;15,515;1,318;179,213;18,296;20,316;6374;637,4;;0,0;60;12,37;18,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161296;10.06.24 00:08:10;-79,839;-0,111;24,124;3,500;15,142;800,192;17,046;52,870;15,165;52,105;15,545;1,384;266,524;18,290;20,258;6374;637,4;;0,0;60;12,36;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161297;10.06.24 00:09:10;-79,905;-0,111;24,081;3,448;15,115;800,192;17,367;53,085;15,160;52,215;15,540;0,769;241,414;18,293;20,219;6374;637,4;;0,0;60;12,37;18,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161298;10.06.24 00:10:10;-79,871;-0,111;23,940;3,426;15,102;800,192;18,057;53,285;15,185;52,500;15,495;0,858;124,099;18,275;20,219;6374;637,4;;0,0;60;12,37;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161299;10.06.24 00:11:10;-79,681;-0,111;23,584;3,297;15,090;800,192;18,030;53,180;15,170;52,405;15,455;1,349;97,166;18,265;20,206;6374;637,4;;0,0;60;12,38;18,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161300;10.06.24 00:12:10;-79,620;-0,111;23,966;3,446;15,085;800,192;16,575;53,155;15,130;52,360;15,455;0,381;171,754;18,256;20,188;6374;637,4;;0,0;60;12,37;18,53;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161301;10.06.24 00:13:10;-79,840;-0,111;23,855;3,460;15,067;800,192;18,258;53,400;15,115;52,545;15,465;0,804;171,636;18,247;20,191;6374;637,4;;0,0;60;12,37;18,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161302;10.06.24 00:14:10;-79,723;-0,111;24,132;3,482;15,042;800,192;16,404;53,740;15,090;53,110;15,430;0,677;287,983;18,247;20,206;6374;637,4;;0,0;60;12,35;18,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161303;10.06.24 00:15:10;-79,609;-0,111;23,753;3,532;15,017;800,192;18,075;53,705;15,085;52,880;15,425;1,431;213,159;18,208;20,164;6374;637,4;;0,0;60;12,36;18,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161304;10.06.24 00:16:10;-79,482;-0,111;23,436;3,250;15,005;800,192;17,313;53,690;15,070;52,945;15,430;1,008;28,592;18,217;20,124;6374;637,4;;0,0;60;12,38;18,45;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161305;10.06.24 00:17:10;-79,488;-0,111;23,639;3,367;15,010;800,192;17,535;53,575;15,015;52,830;15,350;0,486;277,397;18,201;20,121;6374;637,4;;0,0;60;12,35;18,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161306;10.06.24 00:18:10;-79,508;-0,111;23,828;3,410;14,985;800,192;17,244;53,710;15,045;52,985;15,335;0,660;218,267;18,168;20,118;6374;637,4;;0,0;60;12,35;18,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161307;10.06.24 00:19:10;-79,319;-0,111;23,612;3,484;14,972;800,192;17,706;53,830;15,015;53,000;15,355;1,075;227,413;18,171;20,075;6374;637,4;;0,0;60;12,36;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161308;10.06.24 00:20:10;-79,449;-0,111;23,254;3,393;14,938;800,192;16,959;53,955;15,040;53,185;15,325;1,591;154,176;18,168;20,042;6374;637,4;;0,0;60;12,37;17,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161309;10.06.24 00:21:10;-79,398;-0,111;23,059;3,189;14,910;800,192;17,583;54,180;14,950;53,540;15,245;1,268;312,536;18,171;20,017;6374;637,4;;0,0;60;12,36;17,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161310;10.06.24 00:22:10;-79,188;-0,111;23,406;3,175;14,892;800,192;17,715;54,245;14,985;53,755;15,200;0,577;141,609;18,159;19,972;6374;637,4;;0,0;60;12,35;18,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161311;10.06.24 00:23:10;-79,154;-0,111;23,477;3,350;14,872;800,192;17,067;54,345;14,930;53,840;15,175;1,023;291,066;18,150;19,972;6374;637,4;;0,0;60;12,37;18,13;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161312;10.06.24 00:24:10;-79,128;-0,111;23,548;3,440;14,842;800,192;16,755;54,580;14,905;53,905;15,220;0,641;227,199;18,125;19,947;6374;637,4;;0,0;60;12,36;17,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
