Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2778336;bis:;2781226
Ausgelesen am:;26.06.2025 10:29:07;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780601;26.06.25 00:00:10;-61,032;-0,111;27,706;3,014;22,705;800,180;3,525;70,120;22,500;68,960;22,915;0,165;160,757;31,938;32,396;6377;637,7;;0,0;60;12,42;23,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780602;26.06.25 00:01:10;-60,768;-0,111;27,771;3,140;22,682;800,180;3,534;70,305;22,440;69,390;22,845;0,382;256,866;31,932;32,362;6377;637,7;;0,0;60;12,42;23,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780603;26.06.25 00:02:10;-60,742;-0,111;27,712;3,255;22,650;800,180;3,537;70,450;22,380;69,540;22,820;0,306;331,965;31,898;32,359;6377;637,7;;0,0;60;12,41;23,81;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780604;26.06.25 00:03:10;-60,622;-0,111;27,799;3,514;22,640;800,180;3,534;70,500;22,435;69,465;22,875;0,191;141,368;31,868;32,335;6377;637,7;;0,0;60;12,42;23,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780605;26.06.25 00:04:10;-61,066;-0,111;27,540;3,475;22,595;800,180;3,534;70,485;22,410;69,155;22,850;0,410;107,679;31,840;32,332;6377;637,7;;0,0;60;12,42;23,73;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780606;26.06.25 00:05:10;-61,428;-0,111;27,496;2,797;22,560;800,180;3,531;70,365;22,340;69,175;22,760;0,489;116,044;31,834;32,329;6377;637,7;;0,0;60;12,42;23,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780607;26.06.25 00:06:10;-61,289;-0,111;27,653;2,612;22,515;800,180;3,543;70,500;22,285;69,675;22,660;0,526;127,710;31,834;32,329;6377;637,7;;0,0;60;12,42;23,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780608;26.06.25 00:07:10;-60,662;-0,111;28,040;2,641;22,490;800,180;3,537;70,695;22,245;70,025;22,645;0,446;141,851;31,813;32,326;6377;637,7;;0,0;60;12,42;23,81;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780609;26.06.25 00:08:10;-60,272;-0,111;28,084;3,254;22,465;800,183;3,537;70,820;22,205;69,855;22,720;0,231;189,675;31,782;32,317;6377;637,7;;0,0;60;12,42;23,61;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780610;26.06.25 00:09:10;-60,496;-0,111;27,849;3,696;22,467;800,180;3,537;70,850;22,235;69,375;22,845;0,243;139,742;31,749;32,317;6377;637,7;;0,0;60;12,42;23,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780611;26.06.25 00:10:10;-61,712;-0,111;27,012;3,191;22,422;800,180;3,531;70,655;22,215;68,675;22,820;0,701;119,554;31,743;32,308;6377;637,7;;0,0;60;12,44;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
