Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2150002;bis:;2160000
Ausgelesen am:;11.07.2024 08:52:36;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156968;07.06.24 00:00:10;-60,516;-0,111;23,957;4,065;13,400;800,192;29,283;67,065;13,485;66,420;13,915;0,367;253,896;17,392;18,546;6374;637,4;;0,0;60;12,36;16,51;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156969;07.06.24 00:01:10;-61,056;-0,111;23,879;4,045;13,392;800,192;29,586;67,165;13,455;66,270;13,945;0,386;254,334;17,411;18,540;6374;637,4;;0,0;60;12,37;16,43;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156970;07.06.24 00:02:10;-61,448;-0,111;23,908;3,998;13,372;800,192;29,106;67,245;13,455;66,100;13,970;0,327;284,979;17,405;18,519;6374;637,4;;0,0;60;12,36;16,51;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156971;07.06.24 00:03:10;-62,216;-0,111;23,765;3,956;13,390;800,192;30,189;67,260;13,445;66,145;13,955;0,060;246,718;17,392;18,491;6374;637,4;;0,0;60;12,36;16,55;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156972;07.06.24 00:04:10;-63,047;-0,111;23,553;3,958;13,375;800,192;29,928;67,345;13,450;66,240;13,935;0,430;246,735;17,386;18,488;6374;637,4;;0,0;60;12,36;16,51;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156973;07.06.24 00:05:10;-63,565;-0,111;23,497;3,869;13,350;800,192;28,986;67,270;13,445;66,330;13,890;0,224;224,702;17,386;18,470;6374;637,4;;0,0;60;12,37;16,59;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156974;07.06.24 00:06:10;-65,004;-0,111;23,344;3,794;13,352;800,192;28,065;67,340;13,445;66,260;13,835;0,077;233,471;17,383;18,464;6374;637,4;;0,0;60;12,38;16,51;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156975;07.06.24 00:07:10;-67,401;-0,111;23,291;3,825;13,323;800,192;29,715;67,465;13,455;66,410;13,820;0,213;174,583;17,383;18,458;6374;637,4;;0,0;60;12,37;16,55;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156976;07.06.24 00:08:10;-70,418;-0,111;22,923;3,679;13,310;800,192;29,388;67,530;13,475;66,505;13,830;0,491;142,971;17,377;18,452;6374;637,4;;0,0;60;12,37;16,59;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156977;07.06.24 00:09:10;-72,558;-0,111;22,604;3,091;13,278;800,192;29,589;67,845;13,415;67,100;13,755;0,510;142,521;17,359;18,452;6374;637,4;;0,0;60;12,37;16,43;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156978;07.06.24 00:10:10;-73,429;-0,111;22,653;2,915;13,245;800,192;29,616;67,740;13,350;67,260;13,655;0,258;156,257;17,344;18,449;6374;637,4;;0,0;60;12,37;16,23;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156979;07.06.24 00:11:10;-73,435;-0,111;22,692;2,987;13,212;800,192;29,271;67,860;13,315;67,335;13,620;0,352;168,294;17,347;18,430;6374;637,4;;0,0;60;12,37;16,67;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
