Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2781227;bis:;2786986
Ausgelesen am:;30.06.2025 10:37:21;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783493;28.06.25 00:10:05;-53,608;-0,111;21,797;3,064;19,295;800,180;3,579;80,955;19,415;79,590;19,855;-0,016;104,867;27,525;28,422;6377;637,7;;0,0;60;12,43;20,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783494;28.06.25 00:11:05;-53,427;-0,111;21,957;3,134;19,263;800,183;3,579;81,030;19,385;80,040;19,825;-0,014;137,469;27,485;28,422;6377;637,7;;0,0;60;12,42;20,12;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783495;28.06.25 00:12:05;-53,329;-0,111;21,915;3,376;19,263;800,180;3,576;81,190;19,375;80,035;19,805;-0,019;189,602;27,455;28,422;6377;637,7;;0,0;60;12,40;20,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783496;28.06.25 00:13:05;-53,376;-0,111;21,748;3,586;19,265;800,180;3,570;81,370;19,375;80,465;19,800;-0,018;215,336;27,446;28,419;6377;637,7;;0,0;60;12,40;20,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783497;28.06.25 00:14:05;-53,114;-0,111;21,704;3,579;19,243;800,180;3,576;81,580;19,410;80,535;19,805;-0,018;25,273;27,449;28,422;6377;637,7;;0,0;60;12,41;20,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783498;28.06.25 00:15:05;-52,983;-0,111;21,790;3,595;19,215;800,180;3,573;81,655;19,420;80,755;19,790;-0,018;79,329;27,446;28,413;6377;637,7;;0,0;60;12,41;20,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783499;28.06.25 00:16:05;-53,296;-0,111;21,665;3,462;19,217;800,180;3,576;81,325;19,400;80,175;19,755;0,136;115,223;27,440;28,410;6377;637,7;;0,0;60;12,41;20,24;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783500;28.06.25 00:17:05;-53,285;-0,111;21,574;3,045;19,195;800,180;3,570;81,070;19,355;79,870;19,710;0,244;116,319;27,427;28,398;6377;637,7;;0,0;60;12,42;19,96;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783501;28.06.25 00:18:05;-53,186;-0,111;21,560;2,883;19,155;800,180;3,564;81,175;19,320;80,095;19,660;0,114;106,178;27,376;28,328;6377;637,7;;0,0;60;12,42;20,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783502;28.06.25 00:19:05;-53,269;-0,111;21,503;2,822;19,150;800,180;3,576;81,230;19,300;80,165;19,620;0,183;97,374;27,372;28,358;6377;637,7;;0,0;60;12,41;19,92;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783503;28.06.25 00:20:05;-53,296;-0,111;21,481;2,562;19,115;800,180;3,585;81,240;19,245;80,420;19,555;0,327;111,583;27,354;28,374;6377;637,7;;0,0;60;12,41;20,20;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783504;28.06.25 00:21:05;-53,331;-0,111;21,514;2,499;19,105;800,180;3,576;81,260;19,210;80,710;19,530;0,446;110,233;27,348;28,355;6377;637,7;;0,0;60;12,41;20,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783505;28.06.25 00:22:05;-53,661;-0,111;21,302;2,443;19,065;800,180;3,582;81,350;19,170;80,625;19,480;0,384;112,523;27,348;28,328;6377;637,7;;0,0;60;12,42;20,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783506;28.06.25 00:23:05;-53,661;-0,111;21,343;2,230;19,057;800,180;3,582;81,400;19,095;80,700;19,410;0,439;106,762;27,324;28,328;6377;637,7;;0,0;60;12,41;20,20;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783507;28.06.25 00:24:05;-53,900;-0,111;21,268;1,960;19,007;800,180;3,582;81,355;19,025;80,640;19,325;0,383;97,155;27,293;28,334;6377;637,7;;0,0;60;12,42;20,04;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783508;28.06.25 00:25:05;-53,899;-0,111;21,249;1,906;18,962;800,180;3,573;81,430;18,925;81,050;19,200;0,183;105,227;27,202;28,325;6377;637,7;;0,0;60;12,42;19,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783509;28.06.25 00:26:05;-53,516;-0,111;21,396;1,995;18,930;800,180;3,570;81,725;18,860;81,370;19,120;0,217;100,598;27,177;28,328;6377;637,7;;0,0;60;12,41;20,04;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783510;28.06.25 00:27:05;-53,426;-0,111;21,409;2,064;18,897;800,180;3,567;81,980;18,775;81,585;19,060;0,237;115,076;27,165;28,325;6377;637,7;;0,0;60;12,41;20,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783511;28.06.25 00:28:05;-53,545;-0,111;21,468;1,938;18,843;800,180;3,576;82,105;18,705;81,910;19,000;0,473;123,126;27,153;28,319;6377;637,7;;0,0;60;12,40;20,16;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783512;28.06.25 00:29:05;-53,533;-0,111;21,601;1,592;18,790;800,180;3,573;82,370;18,675;82,225;18,950;0,495;128,824;27,147;28,322;6377;637,7;;0,0;60;12,40;19,96;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783513;28.06.25 00:30:05;-53,443;-0,111;21,641;1,491;18,747;800,180;3,579;82,490;18,600;82,310;18,910;0,539;132,806;27,134;28,312;6377;637,7;;0,0;60;12,40;19,76;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783514;28.06.25 00:31:05;-53,301;-0,111;21,729;1,600;18,708;800,180;3,576;82,750;18,550;82,345;18,870;0,349;127,862;27,131;28,260;6377;637,7;;0,0;60;12,42;20,12;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783515;28.06.25 00:32:05;-53,195;-0,111;21,941;1,777;18,665;800,180;3,576;83,100;18,485;82,720;18,850;0,278;121,185;27,104;28,282;6377;637,7;;0,0;60;12,41;19,88;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783516;28.06.25 00:33:05;-53,078;-0,111;21,997;2,017;18,635;800,180;3,579;83,335;18,450;82,560;18,825;0,334;109,423;27,064;28,270;6377;637,7;;0,0;60;12,41;19,96;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783517;28.06.25 00:34:05;-52,961;-0,111;22,102;2,157;18,597;800,180;3,582;83,545;18,400;82,890;18,775;0,308;117,208;27,067;28,288;6377;637,7;;0,0;60;12,40;19,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783518;28.06.25 00:35:05;-53,053;-0,111;22,098;2,333;18,573;800,180;3,579;83,765;18,385;83,225;18,750;0,302;118,946;27,061;28,288;6377;637,7;;0,0;60;12,41;19,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783519;28.06.25 00:36:05;-53,266;-0,111;22,044;2,284;18,557;800,180;3,582;83,875;18,340;83,305;18,740;0,374;126,039;27,055;28,261;6377;637,7;;0,0;60;12,41;19,56;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783520;28.06.25 00:37:05;-53,575;-0,111;22,061;2,074;18,502;800,180;3,582;83,855;18,300;83,245;18,720;0,686;117,219;27,049;28,248;6377;637,7;;0,0;60;12,42;19,44;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783521;28.06.25 00:38:05;-53,358;-0,111;22,113;1,901;18,450;800,180;3,585;84,070;18,240;83,060;18,690;0,431;133,673;27,046;28,242;6377;637,7;;0,0;60;12,42;19,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783522;28.06.25 00:39:05;-52,626;-0,111;22,383;2,175;18,440;800,180;3,579;84,835;18,240;84,090;18,690;0,122;117,343;27,037;28,236;6377;637,7;;0,0;60;12,41;19,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783523;28.06.25 00:40:05;-52,342;-0,111;22,508;2,621;18,430;800,180;3,573;85,380;18,230;84,475;18,745;0,203;121,978;26,991;28,236;6377;637,7;;0,0;60;12,41;19,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783524;28.06.25 00:41:05;-51,896;-0,111;22,643;3,061;18,425;800,180;3,588;85,665;18,255;84,775;18,790;0,074;120,921;26,967;28,227;6377;637,7;;0,0;60;12,41;19,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783525;28.06.25 00:42:05;-51,842;-0,111;22,579;3,427;18,425;800,180;3,585;85,940;18,260;84,740;18,845;0,013;197,291;26,957;28,227;6377;637,7;;0,0;60;12,41;19,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783526;28.06.25 00:43:05;-52,017;-0,111;22,567;3,611;18,425;800,180;3,588;86,010;18,280;84,695;18,920;-0,016;108,073;26,957;28,227;6377;637,7;;0,0;60;12,41;19,56;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783527;28.06.25 00:44:05;-51,874;-0,111;22,483;3,769;18,407;800,180;3,585;86,055;18,335;84,380;19,005;-0,022;122,738;26,957;28,215;6377;637,7;;0,0;60;12,41;19,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783528;28.06.25 00:45:05;-51,866;-0,111;22,409;3,847;18,415;800,180;3,591;86,040;18,355;83,985;19,065;0,002;136,080;26,957;28,218;6377;637,7;;0,0;60;12,41;19,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783529;28.06.25 00:46:05;-52,028;-0,111;22,252;3,814;18,413;800,180;3,585;85,925;18,400;83,260;19,095;0,115;72,101;26,939;28,218;6377;637,7;;0,0;60;12,42;19,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783530;28.06.25 00:47:05;-51,777;-0,111;22,363;3,781;18,415;800,180;3,591;85,840;18,375;83,510;19,105;0,157;132,182;26,899;28,200;6377;637,7;;0,0;60;12,40;19,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783531;28.06.25 00:48:05;-51,832;-0,111;22,273;3,862;18,415;800,180;3,591;85,980;18,425;83,395;19,140;0,066;95,214;26,869;28,163;6377;637,7;;0,0;60;12,41;19,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783532;28.06.25 00:49:05;-52,058;-0,111;21,992;3,961;18,425;800,180;3,588;85,905;18,450;82,895;19,125;0,004;209,396;26,869;28,160;6377;637,7;;0,0;60;12,40;19,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783533;28.06.25 00:50:05;-51,950;-0,111;21,946;3,855;18,405;800,180;3,585;85,570;18,455;83,225;19,075;-0,015;250,560;26,860;28,163;6377;637,7;;0,0;60;12,40;19,44;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783534;28.06.25 00:51:05;-51,742;-0,111;22,122;3,891;18,407;800,180;3,585;85,530;18,500;83,445;19,140;-0,020;77,153;26,863;28,151;6377;637,7;;0,0;60;12,42;19,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783535;28.06.25 00:52:05;-51,939;-0,111;21,916;4,082;18,400;800,180;3,579;85,480;18,510;83,340;19,150;0,005;142,869;26,860;28,138;6377;637,7;;0,0;60;12,42;19,09;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783536;28.06.25 00:53:05;-52,111;-0,111;21,712;3,817;18,407;800,180;3,594;85,330;18,540;82,890;19,165;0,059;98,168;26,851;28,148;6377;637,7;;0,0;60;12,41;19,05;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783537;28.06.25 00:54:05;-52,042;-0,111;21,696;3,707;18,403;800,180;3,588;85,310;18,545;82,940;19,140;-0,012;100,755;26,820;28,132;6377;637,7;;0,0;60;12,41;19,05;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783538;28.06.25 00:55:05;-52,230;-0,111;21,555;3,667;18,390;800,180;3,597;85,215;18,585;82,875;19,075;0,198;105,435;26,783;28,135;6377;637,7;;0,0;60;12,43;19,13;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783539;28.06.25 00:56:05;-51,958;-0,111;21,668;3,615;18,392;800,180;3,579;85,100;18,545;83,170;19,035;0,041;177,036;26,771;28,132;6377;637,7;;0,0;60;12,40;19,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783540;28.06.25 00:57:05;-52,007;-0,111;21,481;3,629;18,387;800,180;3,600;85,070;18,595;83,200;19,040;-0,018;157,731;26,762;28,126;6377;637,7;;0,0;60;12,40;18,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783541;28.06.25 00:58:05;-52,110;-0,111;21,451;3,683;18,385;800,180;3,594;85,040;18,590;83,420;19,070;-0,006;31,528;26,762;28,126;6377;637,7;;0,0;60;12,42;18,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783542;28.06.25 00:59:05;-52,236;-0,111;21,308;3,644;18,382;800,180;3,597;85,005;18,565;83,220;19,025;-0,019;116,876;26,762;28,120;6377;637,7;;0,0;60;12,41;18,73;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783543;28.06.25 01:00:05;-52,099;-0,111;21,416;3,694;18,380;800,180;3,591;85,095;18,600;83,740;19,035;0,000;42,823;26,759;28,117;6377;637,7;;0,0;60;12,42;18,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783544;28.06.25 01:01:05;-52,021;-0,111;21,335;3,787;18,365;800,180;3,585;85,120;18,570;83,880;19,040;-0,016;185,034;26,725;28,114;6377;637,7;;0,0;60;12,42;18,85;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783545;28.06.25 01:02:05;-52,212;-0,111;21,167;3,754;18,350;800,180;3,579;85,220;18,580;83,655;19,015;-0,019;197,443;26,698;28,084;6377;637,7;;0,0;60;12,41;18,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783546;28.06.25 01:03:05;-52,087;-0,111;21,217;3,750;18,347;800,180;3,588;85,270;18,585;83,930;19,010;-0,016;157,494;26,707;28,078;6377;637,7;;0,0;60;12,40;18,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783547;28.06.25 01:04:05;-52,177;-0,111;21,266;3,860;18,352;800,180;3,585;85,365;18,620;84,135;19,040;-0,019;100,839;26,680;28,081;6377;637,7;;0,0;60;12,41;18,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2783548;28.06.25 01:05:05;-52,352;-0,111;21,234;3,939;18,360;800,180;3,585;85,380;18,650;84,375;19,085;0,050;110,498;26,664;28,050;6377;637,7;;0,0;60;12,41;18,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
