Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2705774;bis:;2710168
Ausgelesen am:;08.05.2025 10:05:26;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696570;29.04.25 00:00:10;-70,454;-0,111;31,097;3,750;9,733;800,192;3,984;79,010;9,695;77,105;404100,000;0,144;133,633;21,092;21,625;6377;637,7;;0,0;60;12,37;13,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696571;29.04.25 00:01:10;-70,127;-0,111;31,118;3,841;9,702;800,192;3,984;79,230;9,695;77,355;403850,000;0,081;145,063;21,049;21,610;6377;637,7;;0,0;60;12,35;13,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696572;29.04.25 00:02:10;-69,818;-0,111;31,154;3,881;9,688;800,192;3,993;79,295;9,700;77,130;404000,000;0,067;114,666;21,037;21,595;6377;637,7;;0,0;60;12,36;13,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696573;29.04.25 00:03:10;-69,704;-0,111;31,175;4,037;9,665;800,192;3,984;79,405;9,710;77,140;403750,000;0,046;92,745;21,009;21,589;6377;637,7;;0,0;60;12,35;13,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696574;29.04.25 00:04:10;-69,572;-0,111;31,216;4,122;9,647;800,192;3,984;79,400;9,695;77,170;403450,000;0,052;131,783;21,000;21,586;6377;637,7;;0,0;60;12,36;13,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696575;29.04.25 00:05:10;-69,682;-0,111;31,149;4,358;9,637;800,192;3,984;79,465;9,685;77,770;403900,000;0,127;130,944;20,988;21,583;6377;637,7;;0,0;60;12,35;13,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696576;29.04.25 00:06:10;-69,554;-0,111;31,065;4,277;9,622;800,192;3,990;79,430;9,700;77,375;404250,000;0,067;127,845;20,960;21,583;6377;637,7;;0,0;60;12,36;13,13;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696577;29.04.25 00:07:10;-69,292;-0,111;31,060;4,308;9,600;800,192;3,987;79,405;9,715;77,055;404550,000;0,098;109,800;20,930;21,580;6377;637,7;;0,0;60;12,35;13,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696578;29.04.25 00:08:10;-69,267;-0,111;30,803;4,204;9,580;800,192;3,990;79,180;9,715;76,545;404100,000;0,238;103,624;20,905;21,574;6377;637,7;;0,0;60;12,36;12,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696579;29.04.25 00:09:10;-69,398;-0,111;30,666;3,770;9,570;800,192;3,981;79,025;9,695;76,970;403350,000;0,423;116,156;20,902;21,546;6377;637,7;;0,0;60;12,34;13,13;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696580;29.04.25 00:10:10;-69,145;-0,111;30,618;3,442;9,530;800,192;3,984;79,085;9,685;77,200;402800,000;0,396;111,651;20,896;21,519;6377;637,7;;0,0;60;12,36;13,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696581;29.04.25 00:11:10;-68,723;-0,111;30,791;3,352;9,500;800,192;3,987;79,220;9,595;77,745;402200,000;0,163;117,039;20,817;21,507;6377;637,7;;0,0;60;12,36;12,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696582;29.04.25 00:12:10;-68,472;-0,111;30,847;3,643;9,472;800,192;3,990;79,505;9,615;77,880;402000,000;-0,022;96,249;20,737;21,494;6377;637,7;;0,0;60;12,35;13,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696583;29.04.25 00:13:10;-68,261;-0,111;30,936;4,075;9,452;800,192;3,987;79,820;9,640;78,365;402200,000;-0,018;93,077;20,713;21,494;6377;637,7;;0,0;60;12,35;12,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696584;29.04.25 00:14:10;-68,350;-0,111;30,763;4,461;9,470;800,192;3,981;80,000;9,620;78,100;402550,000;0,063;176,153;20,710;21,488;6377;637,7;;0,0;60;12,34;12,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696585;29.04.25 00:15:10;-68,577;-0,111;30,491;4,329;9,442;800,192;3,990;79,815;9,635;77,515;402350,000;0,292;112,984;20,667;21,488;6377;637,7;;0,0;60;12,35;12,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696586;29.04.25 00:16:10;-68,663;-0,111;30,424;3,772;9,415;800,192;3,993;79,490;9,610;77,515;401550,000;0,347;115,712;20,649;21,479;6377;637,7;;0,0;60;12,35;12,86;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696587;29.04.25 00:17:10;-68,271;-0,111;30,502;3,652;9,395;800,192;3,990;79,480;9,565;77,805;401000,000;0,087;125,798;20,624;21,470;6377;637,7;;0,0;60;12,35;12,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696588;29.04.25 00:18:10;-68,148;-0,111;30,637;3,835;9,377;800,192;3,990;79,560;9,550;78,085;400650,000;0,036;118,463;20,609;21,467;6377;637,7;;0,0;60;12,36;12,70;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696589;29.04.25 00:19:10;-68,216;-0,111;30,384;3,983;9,358;800,192;3,990;79,640;9,555;78,110;400350,000;0,299;101,166;20,609;21,437;6377;637,7;;0,0;60;12,35;12,82;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696590;29.04.25 00:20:10;-68,467;-0,111;30,309;3,576;9,333;800,192;3,993;79,560;9,510;78,100;400100,000;0,473;110,042;20,585;21,421;6377;637,7;;0,0;60;12,35;12,78;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696591;29.04.25 00:21:10;-68,082;-0,111;30,339;3,457;9,295;800,192;3,996;79,685;9,465;78,120;399650,000;0,241;107,831;20,560;21,394;6377;637,7;;0,0;60;12,35;12,62;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696592;29.04.25 00:22:10;-67,950;-0,111;30,364;3,671;9,273;800,192;3,993;79,885;9,455;78,295;398950,000;0,100;117,332;20,515;21,391;6377;637,7;;0,0;60;12,35;12,58;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696593;29.04.25 00:23:10;-67,721;-0,111;30,265;3,768;9,252;800,192;3,984;79,995;9,445;78,795;398950,000;0,206;104,631;20,512;21,393;6377;637,7;;0,0;60;12,36;12,66;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696594;29.04.25 00:24:10;-67,965;-0,111;30,162;3,618;9,233;800,192;3,987;79,920;9,375;78,465;398800,000;0,301;106,262;20,509;21,336;6377;637,7;;0,0;60;12,35;12,66;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696595;29.04.25 00:25:10;-67,916;-0,111;30,087;3,242;9,193;800,192;3,993;79,865;9,375;78,395;398150,000;0,370;106,926;20,463;21,354;6377;637,7;;0,0;60;12,34;12,66;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696596;29.04.25 00:26:10;-67,771;-0,111;30,173;3,218;9,175;800,192;3,984;80,040;9,325;79,290;398000,000;0,258;122,783;20,438;21,317;6377;637,7;;0,0;60;12,34;12,70;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696597;29.04.25 00:27:10;-67,939;-0,111;30,173;3,380;9,147;800,192;3,984;80,160;9,300;79,010;398050,000;0,057;128,621;20,417;21,321;6377;637,7;;0,0;60;12,34;12,86;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696598;29.04.25 00:28:10;-67,789;-0,111;30,131;3,569;9,125;800,192;3,984;80,330;9,265;78,885;397750,000;0,332;116,499;20,411;21,302;6377;637,7;;0,0;60;12,34;12,58;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696599;29.04.25 00:29:10;-68,190;-0,111;29,961;3,229;9,090;800,192;3,990;80,105;9,255;78,600;396850,000;0,589;105,548;20,405;21,299;6377;637,7;;0,0;60;12,35;12,66;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696600;29.04.25 00:30:10;-68,272;-0,111;29,907;3,125;9,057;800,192;3,981;80,105;9,175;78,870;395750,000;0,205;98,432;20,362;21,293;6377;637,7;;0,0;60;12,34;12,62;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696601;29.04.25 00:31:10;-67,927;-0,111;29,981;3,220;9,020;800,192;3,978;80,475;9,115;79,815;395150,000;0,170;147,375;20,332;21,293;6377;637,7;;0,0;60;12,34;12,50;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696602;29.04.25 00:32:10;-67,460;-0,111;30,107;3,237;8,990;800,192;3,981;80,740;9,110;80,140;395450,000;0,113;130,629;20,316;21,293;6377;637,7;;0,0;60;12,34;12,38;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696603;29.04.25 00:33:10;-67,540;-0,111;30,052;3,395;8,967;800,192;3,981;80,925;9,075;79,875;395450,000;0,231;108,849;20,316;21,293;6377;637,7;;0,0;60;12,34;12,30;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696604;29.04.25 00:34:10;-67,564;-0,111;29,998;3,373;8,935;800,192;3,981;80,830;9,020;79,585;394850,000;0,349;118,958;20,310;21,287;6377;637,7;;0,0;60;12,34;12,42;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696605;29.04.25 00:35:10;-67,385;-0,111;29,996;3,262;8,905;800,192;3,981;80,940;8,965;80,090;394400,000;0,345;111,488;20,277;21,275;6377;637,7;;0,0;60;12,34;12,30;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696606;29.04.25 00:36:10;-67,447;-0,111;30,060;3,328;8,872;800,192;3,987;81,080;8,935;80,015;394050,000;0,314;114,249;20,243;21,259;6377;637,7;;0,0;60;12,34;12,30;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696607;29.04.25 00:37:10;-67,394;-0,111;30,049;3,460;8,840;800,192;3,984;81,225;8,900;80,475;393650,000;0,207;116,730;20,222;21,232;6377;637,7;;0,0;60;12,34;12,34;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696608;29.04.25 00:38:10;-67,104;-0,111;30,157;3,650;8,815;800,192;3,984;81,510;8,890;80,445;393600,000;0,123;101,931;20,210;21,226;6377;637,7;;0,0;60;12,35;12,54;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696609;29.04.25 00:39:10;-66,954;-0,111;30,047;3,693;8,805;800,192;3,984;81,660;8,875;80,385;393600,000;0,353;111,966;20,207;21,207;6377;637,7;;0,0;60;12,34;12,22;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696610;29.04.25 00:40:10;-66,804;-0,111;29,948;3,536;8,785;800,192;3,978;81,595;8,845;80,260;393300,000;0,369;116,252;20,176;21,201;6377;637,7;;0,0;60;12,34;12,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696611;29.04.25 00:41:10;-66,931;-0,111;29,879;3,461;8,750;800,192;3,981;81,695;8,820;80,230;392850,000;0,295;127,339;20,136;21,195;6377;637,7;;0,0;60;12,34;12,22;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696612;29.04.25 00:42:10;-66,884;-0,111;29,872;3,481;8,707;800,192;3,984;81,835;8,785;80,575;392200,000;0,258;120,651;20,124;21,195;6377;637,7;;0,0;60;12,35;12,22;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696613;29.04.25 00:43:10;-66,642;-0,111;29,972;3,451;8,690;800,192;3,981;81,945;8,785;81,220;392050,000;0,203;127,457;20,121;21,195;6377;637,7;;0,0;60;12,34;12,26;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696614;29.04.25 00:44:10;-66,653;-0,111;29,950;3,623;8,675;800,192;3,987;82,170;8,765;81,100;392150,000;0,280;109,412;20,106;21,183;6377;637,7;;0,0;60;12,34;12,34;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696615;29.04.25 00:45:10;-66,541;-0,111;29,787;3,364;8,655;800,192;3,987;82,080;8,740;80,930;391800,000;0,625;113,760;20,060;21,165;6377;637,7;;0,0;60;12,34;12,34;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696616;29.04.25 00:46:10;-66,332;-0,111;29,701;3,089;8,612;800,192;3,981;82,015;8,680;81,085;391250,000;0,422;127,238;20,033;21,186;6377;637,7;;0,0;60;12,34;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696617;29.04.25 00:47:10;-66,479;-0,111;29,829;2,874;8,577;800,192;3,990;82,085;8,655;81,605;391100,000;0,300;135,512;20,026;21,150;6377;637,7;;0,0;60;12,34;11,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696618;29.04.25 00:48:10;-66,013;-0,111;29,975;3,051;8,537;800,192;3,990;82,360;8,555;81,730;391000,000;0,110;192,206;20,023;21,134;6377;637,7;;0,0;60;12,33;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696619;29.04.25 00:49:10;-66,353;-0,111;29,851;3,629;8,543;800,192;3,981;82,770;8,565;81,520;391100,000;0,203;97,239;20,011;21,113;6377;637,7;;0,0;60;12,34;11,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696620;29.04.25 00:50:10;-66,715;-0,111;29,716;3,611;8,515;800,192;3,987;82,720;8,570;81,215;390600,000;0,055;117,636;19,981;21,101;6377;637,7;;0,0;60;12,34;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696621;29.04.25 00:51:10;-66,211;-0,111;29,743;3,576;8,480;800,192;3,984;82,765;8,545;81,305;390200,000;0,141;113,192;19,935;21,098;6377;637,7;;0,0;60;12,33;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696622;29.04.25 00:52:10;-66,126;-0,111;29,851;3,540;8,460;800,192;3,984;82,895;8,510;81,720;390000,000;0,100;132,722;19,932;21,098;6377;637,7;;0,0;60;12,33;11,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696623;29.04.25 00:53:10;-66,059;-0,111;29,952;3,792;8,448;800,192;3,987;83,110;8,525;82,355;390200,000;0,117;112,028;19,926;21,095;6377;637,7;;0,0;60;12,33;11,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696624;29.04.25 00:54:10;-66,103;-0,111;29,828;3,959;8,420;800,192;3,987;83,180;8,505;81,775;390650,000;0,286;111,639;19,910;21,073;6377;637,7;;0,0;60;12,33;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696625;29.04.25 00:55:10;-66,265;-0,111;29,659;3,812;8,403;800,192;3,990;83,045;8,505;81,445;390500,000;0,645;115,695;19,901;21,070;6377;637,7;;0,0;60;12,34;11,87;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696626;29.04.25 00:56:10;-66,465;-0,111;29,598;3,432;8,380;800,192;3,987;82,860;8,485;81,620;390500,000;0,408;132,356;19,856;21,061;6377;637,7;;0,0;60;12,32;11,87;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696627;29.04.25 00:57:10;-66,466;-0,111;29,605;3,349;8,360;800,192;3,987;82,965;8,450;81,505;390450,000;0,248;116,865;19,837;21,021;6377;637,7;;0,0;60;12,33;11,51;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696628;29.04.25 00:58:10;-65,938;-0,111;29,615;3,320;8,330;800,192;3,990;82,950;8,405;81,445;390300,000;0,582;123,733;19,834;21,046;6377;637,7;;0,0;60;12,34;11,55;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2696629;29.04.25 00:59:10;-65,810;-0,111;29,491;3,121;8,285;800,192;3,984;82,930;8,365;80,745;389600,000;0,450;102,066;19,822;21,012;6377;637,7;;0,0;60;12,34;11,71;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
