Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2100001;bis:;2109999
Ausgelesen am:;10.07.2024 15:07:35;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115907;10.05.24 00:00:00;-64,136;-0,111;24,759;3,850;10,215;800,192;25,758;88,605;10,440;87,995;10,745;0,230;132,317;16,224;15,711;6374;637,4;;0,0;60;12,49;9,72;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115908;10.05.24 00:01:00;-64,005;-0,111;24,647;3,705;10,215;800,189;25,749;88,435;10,415;87,535;10,705;0,416;110,745;16,214;15,687;6374;637,4;;0,0;60;12,49;10,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115909;10.05.24 00:02:00;-64,174;-0,111;24,468;3,572;10,197;800,192;25,758;88,230;10,370;87,430;10,665;0,243;146,874;16,221;15,656;6374;637,4;;0,0;60;12,50;9,80;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115910;10.05.24 00:03:00;-64,187;-0,111;24,467;3,568;10,193;800,192;25,761;88,175;10,360;87,460;10,650;0,056;128,211;16,214;15,665;6374;637,4;;0,0;60;12,49;9,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115911;10.05.24 00:04:00;-64,239;-0,111;24,422;3,646;10,177;800,192;25,761;88,330;10,370;87,625;10,640;0,156;98,381;16,214;15,638;6374;637,4;;0,0;60;12,49;9,80;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115912;10.05.24 00:05:00;-64,564;-0,111;24,257;3,458;10,157;800,192;25,761;88,185;10,350;87,410;10,575;0,285;136,474;16,211;15,598;6374;637,4;;0,0;60;12,49;9,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115913;10.05.24 00:06:00;-64,657;-0,111;24,213;3,397;10,145;800,192;25,764;88,085;10,290;87,585;10,550;0,077;150,969;16,199;15,537;6374;637,4;;0,0;60;12,51;9,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115914;10.05.24 00:07:00;-64,559;-0,111;24,200;3,380;10,120;800,192;25,761;88,175;10,275;87,660;10,510;0,006;101,959;16,175;15,549;6374;637,4;;0,0;60;12,50;9,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115915;10.05.24 00:08:00;-64,376;-0,111;24,271;3,492;10,085;800,192;25,767;88,395;10,280;88,045;10,505;0,028;104,597;16,144;15,506;6374;637,4;;0,0;60;12,50;9,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115916;10.05.24 00:09:00;-64,419;-0,111;24,214;3,425;10,085;800,192;25,761;88,340;10,225;87,820;10,470;0,118;119,672;16,117;15,446;6374;637,4;;0,0;60;12,50;9,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115917;10.05.24 00:10:00;-64,605;-0,111;24,191;3,394;10,063;800,189;25,767;88,370;10,220;87,950;10,445;0,178;144,422;16,117;15,433;6374;637,4;;0,0;60;12,49;9,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115918;10.05.24 00:11:00;-64,454;-0,111;24,213;3,326;10,035;800,192;25,767;88,525;10,180;88,145;10,425;0,294;135,945;16,117;15,391;6374;637,4;;0,0;60;12,49;9,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115919;10.05.24 00:12:00;-64,342;-0,111;24,125;3,249;10,017;800,192;25,758;88,565;10,135;88,225;10,400;0,295;130,078;16,114;15,351;6374;637,4;;0,0;60;12,49;9,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115920;10.05.24 00:13:00;-64,226;-0,111;24,132;3,155;9,995;800,192;25,764;88,545;10,130;88,125;10,365;0,088;116,826;16,111;15,351;6374;637,4;;0,0;60;12,50;9,56;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115921;10.05.24 00:14:00;-64,258;-0,111;24,146;3,253;9,967;800,189;25,764;88,665;10,120;88,320;10,350;0,148;113,749;16,111;15,333;6374;637,4;;0,0;60;12,49;9,09;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115922;10.05.24 00:15:00;-64,432;-0,111;23,983;3,304;9,955;800,192;25,758;88,640;10,065;88,070;10,310;0,120;105,649;16,086;15,324;6374;637,4;;0,0;60;12,50;9,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115923;10.05.24 00:16:00;-64,231;-0,111;23,975;3,224;9,925;800,192;25,767;88,605;10,035;88,020;10,260;0,005;99,163;16,062;15,314;6374;637,4;;0,0;60;12,50;9,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115924;10.05.24 00:17:00;-64,045;-0,111;24,066;3,226;9,898;800,192;25,770;88,715;9,985;88,375;10,215;0,117;124,926;16,032;15,283;6374;637,4;;0,0;60;12,49;9,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115925;10.05.24 00:18:00;-64,044;-0,111;24,040;3,210;9,890;800,189;25,767;88,840;9,975;88,525;10,220;0,176;97,763;16,025;15,241;6374;637,4;;0,0;60;12,50;9,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115926;10.05.24 00:19:00;-64,006;-0,111;23,944;3,077;9,858;800,183;25,767;88,780;9,940;88,390;10,170;0,233;97,453;16,028;15,223;6374;637,4;;0,0;60;12,49;9,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115927;10.05.24 00:20:00;-63,858;-0,111;23,991;3,048;9,842;800,189;25,767;88,820;9,930;88,370;10,110;0,049;94,146;16,019;15,177;6374;637,4;;0,0;60;12,50;9,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115928;10.05.24 00:21:00;-63,832;-0,111;24,038;3,172;9,813;800,186;25,767;88,985;9,895;88,755;10,100;0,071;89,213;16,013;15,171;6374;637,4;;0,0;60;12,50;9,05;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115929;10.05.24 00:22:00;-64,135;-0,111;23,945;3,108;9,790;800,192;25,764;89,170;9,865;88,890;10,095;0,254;91,395;15,998;15,143;6374;637,4;;0,0;60;12,50;9,33;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115930;10.05.24 00:23:00;-64,091;-0,111;23,899;2,944;9,767;800,192;25,770;88,980;9,850;88,610;10,035;0,401;128,790;15,989;15,110;6374;637,4;;0,0;60;12,50;8,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115931;10.05.24 00:24:00;-63,822;-0,111;24,057;3,065;9,757;800,192;25,770;89,205;9,820;89,375;10,025;0,211;128,256;15,977;15,113;6374;637,4;;0,0;60;12,49;8,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115932;10.05.24 00:25:00;-63,858;-0,111;23,953;3,324;9,730;800,192;25,776;89,340;9,800;89,360;10,075;0,068;115,948;15,928;15,110;6374;637,4;;0,0;60;12,49;9,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2115933;10.05.24 00:26:00;-63,762;-0,111;23,861;3,370;9,715;800,192;25,767;89,245;9,800;88,860;10,030;0,050;118,749;15,934;15,110;6374;637,4;;0,0;60;12,50;8,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
