Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2968332;bis:;2971576
Ausgelesen am:;28.08.25 23:59:41;von:;User
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968030;28.08.25 00:00:08;-13,293;-0,111;14,128;2,478;18,870;800,204;4,872;94,180;19,020;94,700;19,300;-0,023;143,348;24,919;26,567;6377;637,7;;0,0;13;12,30;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968031;28.08.25 00:00:31;-13,366;-0,111;14,115;2,407;18,840;800,204;4,872;94,180;19,020;94,740;19,320;0,014;128,363;24,931;26,603;6377;637,7;;0,0;11;12,30;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968032;28.08.25 00:01:00;-13,297;-0,111;14,160;2,438;18,862;800,192;4,870;94,228;19,035;94,652;19,320;-0,009;137,537;24,922;26,582;6377;637,7;;0,0;170;12,30;23,47;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968033;28.08.25 00:01:13;-13,294;-0,111;14,260;2,393;18,850;800,204;4,848;94,160;18,980;94,640;19,300;-0,023;195,458;24,943;26,579;6377;637,7;;0,0;13;12,29;23,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968034;28.08.25 00:01:36;-13,363;-0,111;14,175;2,429;18,830;800,204;4,860;94,160;18,980;94,780;19,300;-0,028;154,868;24,906;26,567;6377;637,7;;0,0;11;12,30;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968035;28.08.25 00:02:05;-13,355;-0,111;14,230;2,467;18,840;800,192;4,876;94,207;18,973;94,733;19,293;-0,022;136,643;24,910;26,571;6377;637,7;;0,0;65;12,31;23,47;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968036;28.08.25 00:02:18;-13,379;-0,111;14,178;2,468;18,830;800,204;4,884;94,240;19,020;94,840;19,300;-0,042;98,010;24,906;26,567;6377;637,7;;0,0;13;12,29;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968037;28.08.25 00:02:41;-13,410;-0,111;14,128;2,552;18,830;800,204;4,812;94,280;19,000;94,600;19,300;-0,019;38,970;24,906;26,567;6377;637,7;;0,0;11;12,31;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968038;28.08.25 00:03:10;-13,412;-0,111;14,167;2,501;18,840;800,192;4,840;94,267;19,013;94,553;19,293;-0,019;54,735;24,910;26,567;6377;637,7;;0,0;65;12,31;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968039;28.08.25 00:03:22;-13,394;-0,111;14,198;2,562;18,840;800,204;4,836;94,280;19,060;94,500;19,260;-0,014;80,370;24,906;26,567;6377;637,7;;0,0;12;12,30;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968040;28.08.25 00:04:04;-13,530;-0,111;14,134;2,654;18,810;800,180;4,896;94,340;18,980;94,980;19,260;-0,019;314,888;24,906;26,567;6377;637,7;;0,0;14;12,28;22,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968041;28.08.25 00:04:27;-13,639;-0,111;14,127;2,685;18,820;800,204;4,824;94,300;19,000;94,960;19,260;-0,014;299,948;24,906;26,567;6377;637,7;;0,0;12;12,30;23,73;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968042;28.08.25 00:05:08;-13,748;-0,111;13,948;2,700;18,810;800,192;4,836;94,280;18,920;94,700;19,280;0,338;324,653;24,906;26,567;6377;637,7;;0,0;13;12,30;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968043;28.08.25 00:05:31;-13,720;-0,111;14,001;2,626;18,810;800,204;4,872;94,220;18,960;94,600;19,220;-0,005;347,400;24,906;26,567;6377;637,7;;0,0;11;12,29;22,78;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968044;28.08.25 00:06:00;-13,642;-0,111;14,059;2,628;18,809;800,192;4,851;94,315;18,982;94,715;19,260;0,080;249,199;24,906;26,567;6377;637,7;;0,0;170;12,29;23,19;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968045;28.08.25 00:06:12;-13,741;-0,111;13,880;2,602;18,820;800,192;4,884;94,220;18,900;94,440;19,200;0,127;351,630;24,906;26,567;6377;637,7;;0,0;12;12,27;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968046;28.08.25 00:06:54;-13,776;-0,111;13,949;2,534;18,800;800,180;4,872;94,320;19,020;94,620;19,280;-0,019;12,060;24,906;26,554;6377;637,7;;0,0;14;12,29;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968047;28.08.25 00:07:05;-13,756;-0,111;13,953;2,527;18,777;800,192;4,864;94,293;18,993;94,487;19,240;0,047;113,820;24,906;26,563;6377;637,7;;0,0;65;12,29;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968048;28.08.25 00:07:17;-13,816;-0,111;14,011;2,515;18,780;800,204;4,860;94,260;18,960;94,840;19,240;-0,019;67,410;24,906;26,567;6377;637,7;;0,0;12;12,32;22,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968049;28.08.25 00:07:59;-13,826;-0,111;13,983;2,559;18,790;800,204;4,848;94,380;19,060;94,820;19,280;-0,014;47,768;24,906;26,567;6377;637,7;;0,0;14;12,28;23,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968050;28.08.25 00:08:10;-13,858;-0,111;14,011;2,554;18,777;800,188;4,852;94,367;18,993;94,860;19,247;-0,014;119,813;24,906;26,563;6377;637,7;;0,0;65;12,30;23,20;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968051;28.08.25 00:08:22;-13,924;-0,111;14,124;2,558;18,760;800,204;4,860;94,380;18,900;94,920;19,220;-0,014;312,683;24,906;26,554;6377;637,7;;0,0;12;12,28;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968052;28.08.25 00:09:03;-13,961;-0,111;13,873;2,601;18,770;800,192;4,860;94,380;18,920;94,720;19,200;-0,014;344,160;24,906;26,554;6377;637,7;;0,0;13;12,30;22,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968053;28.08.25 00:09:26;-13,965;-0,111;13,849;2,574;18,780;800,204;4,836;94,300;18,940;94,560;19,200;-0,028;356,220;24,894;26,542;6377;637,7;;0,0;11;12,26;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968054;28.08.25 00:10:07;-13,963;-0,111;13,852;2,601;18,760;800,192;4,860;94,440;19,020;94,820;19,280;-0,014;6,098;24,894;26,554;6377;637,7;;0,0;12;12,30;22,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968055;28.08.25 00:10:49;-14,019;-0,111;13,902;2,566;18,750;800,204;4,848;94,400;19,020;94,740;19,280;-0,023;7,560;24,882;26,542;6377;637,7;;0,0;14;12,28;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968056;28.08.25 00:11:00;-13,981;-0,111;13,902;2,582;18,770;800,188;4,851;94,415;19,020;94,800;19,272;-0,019;93,178;24,896;26,551;6377;637,7;;0,0;170;12,31;23,15;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968057;28.08.25 00:11:12;-14,041;-0,111;13,926;2,601;18,750;800,204;4,800;94,380;19,020;94,840;19,280;-0,005;7,605;24,906;26,530;6377;637,7;;0,0;12;12,30;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968058;28.08.25 00:11:54;-14,072;-0,111;13,913;2,615;18,730;800,204;4,872;94,340;18,920;94,620;19,180;-0,019;248,063;24,870;26,506;6377;637,7;;0,0;14;12,28;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968059;28.08.25 00:12:05;-14,026;-0,111;13,939;2,602;18,747;800,192;4,840;94,407;18,960;94,653;19,227;-0,020;182,663;24,866;26,522;6377;637,7;;0,0;65;12,29;23,20;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968060;28.08.25 00:12:17;-14,098;-0,111;13,951;2,603;18,740;800,204;4,848;94,320;18,900;94,480;19,180;-0,023;282,825;24,845;26,542;6377;637,7;;0,0;12;12,29;23,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968061;28.08.25 00:12:59;-14,164;-0,111;13,973;2,636;18,740;800,204;4,884;94,320;18,920;94,920;19,200;-0,023;282,848;24,845;26,506;6377;637,7;;0,0;14;12,28;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968062;28.08.25 00:13:10;-14,116;-0,111;13,972;2,631;18,740;800,192;4,856;94,367;18,913;94,833;19,187;-0,022;282,563;24,842;26,510;6377;637,7;;0,0;65;12,29;23,04;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968063;28.08.25 00:13:22;-14,166;-0,111;13,939;2,664;18,730;800,204;4,860;94,320;18,920;94,740;19,200;-0,042;282,375;24,858;26,481;6377;637,7;;0,0;12;12,28;22,78;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968064;28.08.25 00:14:03;-14,256;-0,111;13,877;2,702;18,720;800,192;4,860;94,420;18,920;94,740;19,180;-0,023;285,998;24,833;26,469;6377;637,7;;0,0;13;12,28;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968065;28.08.25 00:14:26;-14,260;-0,111;13,882;2,690;18,730;800,204;4,824;94,340;18,960;94,680;19,180;-0,014;284,220;24,809;26,481;6377;637,7;;0,0;11;12,27;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968066;28.08.25 00:15:07;-14,350;-0,111;13,880;2,746;18,720;800,192;4,884;94,440;18,960;94,960;19,200;-0,014;284,693;24,809;26,506;6377;637,7;;0,0;12;12,29;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968067;28.08.25 00:15:49;-14,362;-0,111;13,764;2,768;18,710;800,180;4,860;94,500;18,960;94,480;19,180;-0,023;278,145;24,833;26,493;6377;637,7;;0,0;14;12,28;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968068;28.08.25 00:16:00;-14,281;-0,111;13,861;2,719;18,717;800,190;4,848;94,422;18,925;94,715;19,190;-0,019;283,326;24,818;26,480;6377;637,7;;0,0;170;12,29;23,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
