Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2736453;bis:;2740759
Ausgelesen am:;02.06.2025 10:57:51;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734418;25.05.25 00:00:05;-1,966;-0,111;14,548;2,014;11,165;800,192;4,584;94,125;11,110;95,425;11,350;0,266;180,894;17,386;19,746;6377;637,7;;0,0;60;12,41;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734419;25.05.25 00:01:05;-1,984;-0,111;14,239;2,014;11,137;800,192;4,593;94,105;11,110;95,215;11,290;0,922;218,301;17,380;19,743;6377;637,7;;0,0;60;12,40;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734420;25.05.25 00:02:05;-2,021;-0,111;14,147;1,942;11,157;800,189;4,593;94,020;11,080;95,165;11,280;0,627;166,331;17,386;19,733;6377;637,7;;0,0;60;12,42;12,14;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734421;25.05.25 00:03:05;-2,022;-0,111;14,255;1,893;11,140;800,183;4,602;94,030;11,105;95,510;11,310;0,341;76,731;17,380;19,736;6377;637,7;;0,0;60;12,42;11,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734422;25.05.25 00:04:05;-1,923;-0,111;14,201;1,932;11,153;800,186;4,608;94,090;11,075;95,625;11,310;0,488;208,384;17,374;19,724;6377;637,7;;0,0;60;12,41;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734423;25.05.25 00:05:05;-1,960;-0,111;14,121;1,904;11,145;800,180;4,605;94,070;11,085;95,405;11,300;0,083;237,561;17,353;19,718;6377;637,7;;0,0;60;12,41;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734424;25.05.25 00:06:05;-1,967;-0,111;14,125;1,887;11,160;800,189;4,602;94,105;11,095;95,305;11,265;0,180;224,094;17,347;19,712;6377;637,7;;0,0;60;12,40;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734425;25.05.25 00:07:05;-1,937;-0,111;14,199;1,909;11,150;800,189;4,614;94,130;11,095;95,540;11,310;0,137;171,124;17,326;19,712;6377;637,7;;0,0;60;12,40;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734426;25.05.25 00:08:05;-1,912;-0,111;14,155;1,920;11,142;800,186;4,614;94,100;11,080;95,435;11,300;0,071;259,453;17,307;19,712;6377;637,7;;0,0;60;12,39;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734427;25.05.25 00:09:05;-1,990;-0,111;14,152;1,849;11,142;800,192;4,623;94,165;11,110;95,400;11,305;0,162;177,036;17,301;19,706;6377;637,7;;0,0;60;12,40;12,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734428;25.05.25 00:10:05;-1,991;-0,111;14,183;1,902;11,160;800,189;4,626;94,210;11,140;95,750;11,330;0,100;98,781;17,295;19,651;6377;637,7;;0,0;60;12,41;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734429;25.05.25 00:11:05;-1,964;-0,111;14,106;1,979;11,163;800,192;4,638;94,240;11,135;95,690;11,350;0,240;243,765;17,289;19,602;6377;637,7;;0,0;60;12,40;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734430;25.05.25 00:12:05;-1,989;-0,111;13,946;1,897;11,163;800,192;4,638;94,075;11,140;95,300;11,325;0,578;209,655;17,289;19,590;6377;637,7;;0,0;60;12,41;11,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734431;25.05.25 00:13:05;-2,066;-0,111;13,879;1,842;11,150;800,192;4,635;94,005;11,125;95,235;11,300;0,491;173,914;17,289;19,572;6377;637,7;;0,0;60;12,41;11,87;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734432;25.05.25 00:14:05;-1,952;-0,111;14,035;1,813;11,142;800,189;4,647;94,010;11,105;95,535;11,325;0,149;171,546;17,286;19,541;6377;637,7;;0,0;60;12,40;12,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734433;25.05.25 00:15:05;-1,945;-0,111;14,058;1,865;11,155;800,183;4,650;94,105;11,135;95,640;11,345;-0,008;141,801;17,283;19,565;6377;637,7;;0,0;60;12,41;11,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734434;25.05.25 00:16:05;-1,929;-0,111;14,047;1,923;11,165;800,183;4,659;94,335;11,165;96,120;11,445;0,332;52,318;17,286;19,547;6377;637,7;;0,0;60;12,41;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734435;25.05.25 00:17:05;-1,965;-0,111;13,965;1,945;11,172;800,183;4,656;94,275;11,170;95,475;11,405;0,135;55,845;17,255;19,532;6377;637,7;;0,0;60;12,41;11,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734436;25.05.25 00:18:05;-1,911;-0,111;13,995;1,894;11,182;800,192;4,665;94,270;11,180;95,860;11,425;0,296;165,504;17,234;19,535;6377;637,7;;0,0;60;12,41;12,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734437;25.05.25 00:19:05;-1,909;-0,111;13,878;1,986;11,207;800,189;4,662;94,285;11,160;95,630;11,435;0,252;156,825;17,237;19,529;6377;637,7;;0,0;60;12,41;12,18;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734438;25.05.25 00:20:05;-1,935;-0,111;13,721;1,913;11,183;800,186;4,674;94,155;11,170;95,120;11,360;0,539;191,874;17,231;19,526;6377;637,7;;0,0;60;12,40;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734439;25.05.25 00:21:05;-1,941;-0,111;13,826;1,844;11,190;800,186;4,674;94,045;11,155;95,200;11,360;0,040;156,521;17,207;19,517;6377;637,7;;0,0;60;12,39;11,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734440;25.05.25 00:22:05;-1,907;-0,111;13,872;1,890;11,182;800,183;4,677;94,165;11,210;95,835;11,435;0,278;127,097;17,203;19,520;6377;637,7;;0,0;60;12,41;11,75;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734441;25.05.25 00:23:05;-1,879;-0,111;13,721;1,863;11,185;800,183;4,680;94,140;11,165;95,480;11,425;0,640;123,874;17,194;19,517;6377;637,7;;0,0;60;12,41;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734442;25.05.25 00:24:05;-1,839;-0,111;13,659;1,744;11,162;800,183;4,683;94,000;11,160;95,195;11,385;0,364;135,849;17,191;19,505;6377;637,7;;0,0;60;12,40;11,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734443;25.05.25 00:25:05;-1,879;-0,111;13,684;1,699;11,182;800,180;4,683;93,995;11,145;95,280;11,370;0,363;124,689;17,188;19,486;6377;637,7;;0,0;60;12,40;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734444;25.05.25 00:26:05;-1,885;-0,111;13,693;1,638;11,165;800,183;4,692;93,985;11,150;95,325;11,360;0,407;104,394;17,191;19,465;6377;637,7;;0,0;60;12,40;12,14;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734445;25.05.25 00:27:05;-1,917;-0,111;13,677;1,580;11,157;800,183;4,683;93,990;11,135;95,245;11,350;0,539;99,872;17,188;19,465;6377;637,7;;0,0;60;12,40;11,94;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734446;25.05.25 00:28:05;-1,884;-0,111;13,722;1,561;11,152;800,183;4,692;94,010;11,145;95,410;11,335;0,384;123,767;17,191;19,477;6377;637,7;;0,0;60;12,40;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734447;25.05.25 00:29:05;-1,873;-0,111;13,758;1,534;11,160;800,186;4,695;94,030;11,135;95,755;11,385;0,431;117,394;17,182;19,447;6377;637,7;;0,0;60;12,40;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734448;25.05.25 00:30:05;-1,890;-0,111;13,730;1,522;11,145;800,183;4,704;93,985;11,080;95,290;11,340;0,207;162,473;17,170;19,450;6377;637,7;;0,0;60;12,40;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734449;25.05.25 00:31:05;-1,911;-0,111;13,689;1,591;11,142;800,189;4,707;94,115;11,130;95,655;11,370;0,300;119,334;17,173;19,437;6377;637,7;;0,0;60;12,41;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734450;25.05.25 00:32:05;-1,940;-0,111;13,719;1,615;11,145;800,189;4,701;94,120;11,090;95,440;11,345;0,073;124,386;17,151;19,437;6377;637,7;;0,0;60;12,41;11,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734451;25.05.25 00:33:05;-1,920;-0,111;13,747;1,662;11,157;800,192;4,704;94,170;11,130;95,540;11,345;0,123;142,313;17,139;19,437;6377;637,7;;0,0;60;12,40;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734452;25.05.25 00:34:05;-1,854;-0,111;13,668;1,682;11,148;800,183;4,698;94,170;11,115;95,535;11,335;0,683;131,445;17,130;19,434;6377;637,7;;0,0;60;12,40;12,02;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734453;25.05.25 00:35:05;-1,953;-0,111;13,652;1,557;11,142;800,186;4,701;94,090;11,100;95,435;11,335;0,247;98,612;17,100;19,437;6377;637,7;;0,0;60;12,41;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734454;25.05.25 00:36:05;-1,896;-0,111;13,667;1,598;11,145;800,189;4,707;94,180;11,115;95,555;11,320;0,273;105,339;17,103;19,416;6377;637,7;;0,0;60;12,40;11,90;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734455;25.05.25 00:37:05;-1,835;-0,111;13,676;1,600;11,150;800,183;4,707;94,295;11,120;95,840;11,355;0,312;126,028;17,102;19,416;6377;637,7;;0,0;60;12,40;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734456;25.05.25 00:38:05;-1,814;-0,111;13,704;1,681;11,137;800,183;4,713;94,245;11,105;95,445;11,320;0,241;163,311;17,096;19,410;6377;637,7;;0,0;60;12,39;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734457;25.05.25 00:39:05;-1,858;-0,111;13,630;1,588;11,142;800,180;4,716;94,245;11,085;95,700;11,320;0,079;156,201;17,093;19,404;6377;637,7;;0,0;60;12,39;12,22;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734458;25.05.25 00:40:05;-1,736;-0,111;13,594;1,684;11,150;800,183;4,710;94,300;11,090;95,840;11,345;0,349;142,723;17,093;19,376;6377;637,7;;0,0;60;12,40;12,06;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734459;25.05.25 00:41:05;-1,780;-0,111;13,633;1,653;11,142;800,192;4,719;94,260;11,110;95,800;11,355;0,130;128,104;17,093;19,373;6377;637,7;;0,0;60;12,39;12,14;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734460;25.05.25 00:42:05;-1,757;-0,111;13,595;1,661;11,132;800,180;4,725;94,325;11,115;95,990;11,405;0,409;92,813;17,090;19,358;6377;637,7;;0,0;60;12,39;12,10;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734461;25.05.25 00:43:05;-1,808;-0,111;13,576;1,668;11,145;800,180;4,722;94,275;11,100;95,535;11,375;0,231;82,164;17,090;19,346;6377;637,7;;0,0;60;12,39;12,14;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734462;25.05.25 00:44:05;-1,755;-0,111;13,594;1,693;11,130;800,180;4,719;94,290;11,095;95,310;11,330;0,231;85,106;17,078;19,343;6377;637,7;;0,0;60;12,39;12,18;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2734463;25.05.25 00:45:05;-1,731;-0,111;13,664;1,675;11,145;800,180;4,725;94,330;11,080;95,755;11,325;0,173;137,014;17,066;19,343;6377;637,7;;0,0;60;12,40;11,98;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
