Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2400001;bis:;2419999
Ausgelesen am:;26.02.2025 10:45:12;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388840;29.09.24 00:00:10;-53,580;-0,111;11,294;2,610;6,070;800,192;34,026;91,850;6,595;92,530;6,720;0,018;297,945;11,410;7,346;6374;637,4;;0,0;60;12,33;8,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388841;29.09.24 00:01:10;-53,193;-0,111;11,452;2,610;6,037;800,192;34,353;92,135;6,640;92,650;6,755;0,073;97,734;11,380;7,443;6374;637,4;;0,0;60;12,35;8,85;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388842;29.09.24 00:02:10;-52,961;-0,111;11,604;2,800;6,013;800,192;34,014;92,475;6,625;93,310;6,785;0,070;262,164;11,383;7,562;6374;637,4;;0,0;60;12,34;9,05;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388843;29.09.24 00:03:10;-53,146;-0,111;11,542;2,916;6,015;800,192;34,014;92,805;6,665;93,480;6,840;0,178;242,168;11,344;7,672;6374;637,4;;0,0;60;12,33;8,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388844;29.09.24 00:04:10;-53,264;-0,111;11,499;3,167;6,020;800,192;33,714;92,915;6,685;93,480;6,895;0,134;178,166;11,359;7,791;6374;637,4;;0,0;60;12,33;8,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388845;29.09.24 00:05:10;-53,124;-0,111;11,597;3,301;6,033;800,192;34,497;92,950;6,715;93,630;6,955;0,135;168,199;11,334;7,874;6374;637,4;;0,0;60;12,33;8,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388846;29.09.24 00:06:10;-53,490;-0,111;11,311;3,489;6,052;800,192;33,705;93,025;6,735;93,465;7,005;0,188;174,763;11,340;7,993;6374;637,4;;0,0;60;12,33;8,93;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388847;29.09.24 00:07:10;-53,494;-0,111;11,183;3,437;6,060;800,192;33,696;92,940;6,745;93,240;7,005;0,127;244,783;11,338;7,996;6374;637,4;;0,0;60;12,32;9,01;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388848;29.09.24 00:08:10;-53,386;-0,111;11,106;3,271;6,050;800,192;33,531;92,895;6,765;92,805;6,980;0,034;252,394;11,334;7,944;6374;637,4;;0,0;60;12,33;8,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388849;29.09.24 00:09:10;-53,088;-0,111;11,262;3,159;6,040;800,192;34,173;92,870;6,755;92,845;6,980;-0,025;187,515;11,325;7,919;6374;637,4;;0,0;60;12,33;8,89;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
