ONLINEMESSUNG
Datum/Uhrzeit;15.07.2025 08:22:53
Nr.;Datum/Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang [s] = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe [] = f5;Feldstärke 1 [] = f6
400;15.07.25 11:59:56;-82,493;946,331;49,087;118,261;28,370;800,204;3,924;48,980;25,100;47,900;25,620;1,603;74,318;27,153;25,676;6377;637,7;0;0,0;11;14,03;39,29;0;14
401;15.07.25 12:00:38;-79,071;971,362;49,801;120,205;28,420;800,204;3,936;48,400;25,200;47,960;25,540;1,547;86,490;27,116;25,676;6377;637,7;0;0,0;13;14,01;39,60;0;14
402;15.07.25 12:01:01;-78,182;969,837;50,636;119,908;28,490;800,204;3,852;48,240;25,100;47,420;25,400;2,269;335,700;27,140;25,676;6377;637,7;0;0,0;11;14,00;39,76;0;14
403;15.07.25 12:01:42;-75,470;980,028;51,808;122,429;28,590;800,204;3,828;47,960;25,180;47,620;25,440;1,622;301,208;27,153;25,688;6377;637,7;0;0,0;12;14,00;39,60;0;14
404;15.07.25 12:02:23;-78,300;409,637;42,986;42,182;28,570;800,204;3,828;47,020;25,300;46,400;25,500;1,847;27,158;27,201;25,688;6377;637,7;0;0,0;13;14,01;39,76;0;14
405;15.07.25 12:02:46;-78,810;342,372;39,476;34,623;28,570;800,192;3,804;46,740;25,280;46,300;25,420;0,741;104,760;27,177;25,688;6377;637,7;0;0,0;11;13,73;39,92;0;14
406;15.07.25 12:03:28;-76,059;342,799;38,283;34,165;28,450;800,204;3,828;47,000;25,160;47,740;25,100;1,252;318,578;27,226;25,688;6377;637,7;0;0,0;13;13,77;39,92;0;14
407;15.07.25 12:03:51;-74,808;350,949;38,215;35,650;28,390;800,192;3,804;47,080;25,120;48,940;25,140;0,919;184,478;27,299;25,688;6377;637,7;0;0,0;11;13,83;39,92;0;14
408;15.07.25 12:04:33;-71,486;971,035;44,262;122,753;28,390;800,204;3,828;47,460;25,080;48,020;25,040;0,689;334,890;27,348;25,700;6377;637,7;0;0,0;13;13,99;39,76;0;14
409;15.07.25 12:04:56;-70,410;967,034;47,140;122,167;28,410;800,204;3,804;47,280;25,040;47,460;25,080;0,848;333,833;27,348;25,712;6377;637,7;0;0,0;11;13,99;39,92;0;14
410;15.07.25 12:05:38;-75,091;315,396;43,090;29,741;28,490;800,216;3,828;47,100;25,100;47,640;25,000;0,520;321,390;27,348;25,700;6377;637,7;0;0,0;13;13,74;40,08;0;14
411;15.07.25 12:06:01;-75,267;271,840;39,536;26,856;28,470;800,216;3,804;47,060;25,120;47,920;25,020;0,455;221,400;27,360;25,724;6377;637,7;0;0,0;11;13,68;39,44;0;14
412;15.07.25 12:06:43;-76,417;267,691;36,541;27,092;28,450;800,204;3,816;48,280;25,160;48,600;25,120;1,139;255,465;27,397;25,700;6377;637,7;0;0,0;13;13,67;39,76;0;14
413;15.07.25 12:07:06;-75,877;278,476;35,518;28,618;28,380;800,216;3,804;48,180;25,180;48,080;25,160;0,558;253,980;27,421;25,761;6377;637,7;0;0,0;11;13,77;39,76;0;14
414;15.07.25 12:07:48;-77,256;286,966;35,016;29,158;28,340;800,204;3,816;46,820;25,240;46,840;25,200;0,638;28,418;27,446;25,773;6377;637,7;0;0,0;13;13,79;39,76;0;14
415;15.07.25 12:08:11;-78,276;272,903;33,997;28,227;28,300;800,204;3,792;46,680;25,240;47,020;25,120;1,148;11,205;27,446;25,761;6377;637,7;0;0,0;11;13,73;39,13;0;14
416;15.07.25 12:08:53;-79,503;289,707;33,511;30,351;28,180;800,204;3,828;46,020;25,140;47,600;24,940;0,998;101,273;27,446;25,737;6377;637,7;0;0,0;13;13,76;39,44;0;14
417;15.07.25 12:09:16;-80,724;285,810;33,048;28,960;28,120;800,216;3,804;46,240;25,160;46,920;24,940;0,539;30,825;27,458;25,785;6377;637,7;0;0,0;11;13,75;39,29;0;14
418;15.07.25 12:09:58;-80,579;293,191;33,258;30,315;28,050;800,216;3,804;46,500;25,100;47,700;24,760;0,225;4,613;27,519;25,773;6377;637,7;0;0,0;13;13,75;39,29;0;14
419;15.07.25 12:10:21;-81,225;302,809;33,005;31,943;28,040;800,204;3,780;46,600;25,000;47,960;24,680;0,202;356,670;27,543;25,785;6377;637,7;0;0,0;11;13,75;39,44;0;14
420;15.07.25 12:11:03;-80,464;597,372;35,217;84,075;27,960;800,192;3,792;46,520;24,960;48,240;24,740;1,889;294,255;27,543;25,785;6377;637,7;0;0,0;13;13,99;38,97;0;14
421;15.07.25 12:11:26;-78,424;558,429;37,460;68,082;27,960;800,216;3,792;45,820;25,020;47,040;24,740;0,600;293,400;27,543;25,785;6377;637,7;0;0,0;11;14,02;38,81;0;14
422;15.07.25 12:12:08;-73,096;852,399;43,992;98,668;28,000;800,204;3,792;46,920;25,000;48,180;24,880;0,244;145,148;27,592;25,785;6377;637,7;0;0,0;13;14,05;38,81;0;14
423;15.07.25 12:12:31;-73,244;722,461;44,763;83,081;28,100;800,216;3,792;46,800;25,000;48,100;24,880;0,666;234,518;27,592;25,785;6377;637,7;0;0,0;11;14,02;38,81;0;14
424;15.07.25 12:13:13;-74,191;336,439;37,971;36,700;28,090;800,204;3,804;46,460;24,960;46,820;24,920;1,570;292,905;27,629;25,798;6377;637,7;0;0,0;13;13,90;38,81;0;14
425;15.07.25 12:13:36;-72,345;329,583;37,225;35,635;28,030;800,192;3,780;46,940;24,940;47,660;24,980;1,069;269,753;27,641;25,785;6377;637,7;0;0,0;11;13,74;38,81;0;14
426;15.07.25 12:14:17;-70,633;324,519;36,117;35,318;28,020;800,192;3,804;46,940;25,040;48,160;25,080;1,003;255,533;27,641;25,810;6377;637,7;0;0,0;12;13,79;38,65;0;14
427;15.07.25 12:14:58;-69,480;313,957;35,691;34,571;27,980;800,204;3,828;46,400;25,060;46,800;25,120;1,434;279,495;27,678;25,810;6377;637,7;0;0,0;13;13,77;38,65;0;14
428;15.07.25 12:15:21;-70,535;299,647;34,641;32,830;28,000;800,216;3,804;46,260;25,000;45,700;25,160;0,708;264,578;27,702;25,822;6377;637,7;0;0,0;11;13,73;38,65;0;14
429;15.07.25 12:16:03;-71,954;293,709;33,875;32,659;27,960;800,204;3,816;45,920;24,960;47,180;25,140;1,130;314,483;27,726;25,834;6377;637,7;0;0,0;13;13,73;38,65;0;14
430;15.07.25 12:16:26;-72,980;298,682;33,637;33,300;27,960;800,204;3,804;45,280;24,940;45,560;25,100;1,275;289,125;27,726;25,822;6377;637,7;0;0,0;11;13,74;38,17;0;14
431;15.07.25 12:17:08;-76,478;313,057;33,229;35,390;27,880;800,204;3,828;45,120;25,020;44,860;25,080;0,544;145,395;27,739;25,846;6377;637,7;0;0,0;13;13,78;38,49;0;14
432;15.07.25 12:17:31;-77,181;317,441;33,110;35,800;27,830;800,204;3,804;44,440;25,020;44,540;25,040;1,139;67,928;27,739;25,871;6377;637,7;0;0,0;11;13,78;38,02;0;14
433;15.07.25 12:18:12;-78,971;294,885;32,205;30,756;27,730;800,204;3,816;44,180;24,900;44,620;24,880;0,375;116,640;27,763;25,883;6377;637,7;0;0,0;12;13,70;38,17;0;14
434;15.07.25 12:18:53;-78,451;291,856;32,692;29,983;27,670;800,204;3,828;44,280;24,840;44,980;24,720;0,544;70,965;27,824;25,883;6377;637,7;0;0,0;13;13,69;38,02;0;14
435;15.07.25 12:19:16;-78,479;301,231;32,543;30,819;27,660;800,204;3,768;44,320;24,740;45,020;24,620;0,544;42,053;27,824;25,883;6377;637,7;0;0,0;11;13,70;37,86;0;14
436;15.07.25 12:19:58;-76,239;343,500;32,626;36,286;27,550;800,192;3,792;44,680;24,620;45,260;24,500;0,441;113,558;27,836;25,895;6377;637,7;0;0,0;13;13,82;38,02;0;14
437;15.07.25 12:20:21;-71,420;866,191;38,556;107,743;27,560;800,192;3,780;44,820;24,620;45,600;24,420;-0,014;107,933;27,836;25,883;6377;637,7;0;0,0;11;14,05;38,02;0;14
438;15.07.25 12:21:02;-70,622;434,209;37,633;48,538;27,620;800,204;3,768;45,140;24,580;45,760;24,420;0,173;228,960;27,885;25,883;6377;637,7;0;0,0;12;14,02;37,38;0;14
439;15.07.25 12:21:44;-66,290;609,085;39,013;82,460;27,670;800,192;3,792;45,340;24,600;45,960;24,500;0,183;226,125;27,885;25,883;6377;637,7;0;0,0;14;13,98;37,86;0;14
440;15.07.25 12:22:07;-65,170;471,699;38,896;54,508;27,700;800,204;3,768;47,300;24,540;48,160;24,500;0,830;208,665;27,934;25,920;6377;637,7;0;0,0;12;14,02;37,38;0;14
441;15.07.25 12:22:49;-63,664;386,355;37,920;43,381;27,690;800,204;3,792;45,340;24,640;46,200;24,580;0,516;199,283;27,934;25,907;6377;637,7;0;0,0;14;14,01;38,02;0;14
442;15.07.25 12:23:12;-64,701;353,277;36,761;39,498;27,660;800,204;3,768;45,500;24,640;47,920;24,660;0,403;279,113;27,934;25,883;6377;637,7;0;0,0;12;13,92;37,38;0;14
443;15.07.25 12:23:54;-63,554;345,305;35,899;38,374;27,690;800,204;3,768;45,020;24,720;45,380;24,660;0,234;292,883;27,946;25,932;6377;637,7;0;0,0;14;13,81;37,70;0;14
444;15.07.25 12:24:17;-62,823;366,885;36,615;41,462;27,690;800,192;3,648;45,680;24,700;46,940;24,620;1,847;278,123;27,983;25,932;6377;637,7;0;0,0;12;13,98;37,70;0;14
445;15.07.25 12:24:58;-61,964;369,567;35,963;41,776;27,620;800,204;3,756;44,660;24,740;45,720;24,700;0,956;88,763;28,032;25,944;6377;637,7;0;0,0;13;13,89;37,86;0;14
446;15.07.25 12:25:21;-61,960;378,632;35,794;42,819;27,620;800,204;3,768;44,360;24,780;44,640;24,660;0,797;87,188;28,032;25,956;6377;637,7;0;0,0;11;13,89;37,70;0;14
447;15.07.25 12:26:03;-60,947;402,381;36,446;45,078;27,540;800,192;3,804;43,420;24,780;44,620;24,640;1,678;45,540;28,032;25,956;6377;637,7;0;0,0;13;13,99;37,54;0;14
448;15.07.25 12:26:26;-60,734;388,776;36,717;42,393;27,470;800,204;3,804;43,280;24,740;44,640;24,640;1,214;41,310;28,032;25,981;6377;637,7;0;0,0;11;13,90;38,02;0;14
449;15.07.25 12:27:08;-58,628;398,260;37,440;43,668;27,400;800,204;3,804;43,860;24,640;44,520;24,600;1,036;80,775;28,044;25,981;6377;637,7;0;0,0;13;14,05;37,54;0;14
450;15.07.25 12:27:31;-57,946;377,119;37,314;41,347;27,390;800,204;3,792;44,000;24,540;44,820;24,620;1,388;345,510;28,056;25,981;6377;637,7;0;0,0;11;13,92;37,70;0;14
451;15.07.25 12:28:13;-57,171;320,490;36,764;34,655;27,340;800,204;3,804;44,160;24,520;44,380;24,580;0,661;268,155;28,117;25,956;6377;637,7;0;0,0;13;13,79;37,22;0;14
452;15.07.25 12:28:36;-57,041;299,214;36,487;32,995;27,370;800,204;3,804;44,340;24,520;44,480;24,580;0,642;300,600;28,117;25,981;6377;637,7;0;0,0;11;13,70;37,38;0;14
453;15.07.25 12:29:18;-56,288;280,201;35,509;31,526;27,310;800,192;3,828;44,180;24,580;44,480;24,700;0,713;320,873;28,141;25,981;6377;637,7;0;0,0;13;13,68;37,06;0;14
454;15.07.25 12:29:41;-56,309;276,386;35,005;31,417;27,370;800,204;3,816;43,900;24,600;43,840;24,680;1,252;335,228;28,129;25,981;6377;637,7;0;0,0;11;13,71;37,38;0;14
455;15.07.25 12:30:23;-54,875;281,621;35,029;32,315;27,300;800,204;3,828;44,040;24,580;44,260;24,640;1,852;333,045;28,154;25,993;6377;637,7;0;0,0;13;13,70;37,38;0;14
456;15.07.25 12:30:46;-53,350;646,396;37,520;91,203;27,290;800,192;3,900;44,000;24,640;44,280;24,640;1,191;333,585;28,203;25,981;6377;637,7;0;0,0;11;13,99;37,22;0;14
457;15.07.25 12:31:28;-53,498;292,429;37,088;33,115;27,250;800,204;3,804;44,200;24,660;45,360;24,660;1,359;227,565;28,227;26,017;6377;637,7;0;0,0;13;13,79;37,38;0;14
458;15.07.25 12:31:51;-52,401;285,726;36,690;32,227;27,240;800,204;3,792;44,840;24,580;45,300;24,660;1,336;284,445;28,227;26,005;6377;637,7;0;0,0;11;13,73;36,75;0;14
459;15.07.25 12:32:32;-52,410;271,604;35,693;30,222;27,180;800,204;3,828;43,660;24,680;43,720;24,660;1,289;299,025;28,227;26,005;6377;637,7;0;0,0;12;13,70;37,06;0;14
460;15.07.25 12:33:14;-52,822;277,254;35,741;31,394;27,120;800,204;3,828;43,640;24,660;44,000;24,740;1,116;74,385;28,227;26,042;6377;637,7;0;0,0;14;13,70;36,90;0;14
461;15.07.25 12:33:37;-52,847;268,828;35,818;30,412;27,110;800,204;3,804;43,680;24,600;43,780;24,660;1,819;324,045;28,264;26,054;6377;637,7;0;0,0;12;13,68;36,43;0;14
462;15.07.25 12:34:19;-53,462;268,067;34,837;30,278;27,050;800,204;3,804;43,100;24,640;43,100;24,660;0,727;113,558;28,300;26,078;6377;637,7;0;0,0;14;13,71;37,06;0;14
463;15.07.25 12:34:42;-52,896;260,529;35,070;29,463;27,030;800,204;3,816;43,140;24,640;43,460;24,600;0,919;73,440;28,325;26,066;6377;637,7;0;0,0;12;13,69;36,43;0;14
464;15.07.25 12:35:24;-53,457;255,904;34,052;28,592;26,940;800,204;3,828;43,520;24,560;43,820;24,560;1,111;87,795;28,325;26,066;6377;637,7;0;0,0;14;13,67;36,75;0;14
465;15.07.25 12:35:47;-53,414;253,538;34,279;27,662;26,900;800,204;3,804;43,700;24,500;44,140;24,460;1,448;359,348;28,325;26,078;6377;637,7;0;0,0;12;13,63;36,59;0;14
466;15.07.25 12:36:28;-55,530;258,730;34,660;28,534;26,850;800,204;3,840;44,520;24,460;45,080;24,480;1,481;262,035;28,349;26,091;6377;637,7;0;0,0;13;13,65;36,43;0;14
467;15.07.25 12:36:51;-56,284;265,249;34,569;29,285;26,800;800,204;3,816;44,060;24,440;45,280;24,520;1,017;290,205;28,325;26,078;6377;637,7;0;0,0;11;13,61;36,59;0;14
468;15.07.25 12:37:33;-57,815;289,905;34,801;32,242;26,750;800,192;3,852;44,300;24,460;44,080;24,560;0,942;283,658;28,386;26,078;6377;637,7;0;0,0;13;13,64;36,43;0;14
469;15.07.25 12:37:56;-57,704;306,862;35,093;34,377;26,740;800,204;3,804;44,420;24,420;44,820;24,520;0,488;290,678;28,398;26,078;6377;637,7;0;0,0;11;13,72;36,75;0;14
470;15.07.25 12:38:37;-56,798;384,930;36,291;45,358;26,750;800,204;3,828;43,900;24,440;43,940;24,480;1,430;292,455;28,410;26,103;6377;637,7;0;0,0;12;13,99;36,43;0;14
471;15.07.25 12:39:18;-57,747;447,149;37,390;54,063;26,730;800,192;3,816;44,440;24,460;45,160;24,520;1,313;276,885;28,422;26,127;6377;637,7;0;0,0;13;13,95;36,43;0;14
472;15.07.25 12:39:41;-58,262;348,392;37,046;40,672;26,760;800,204;3,804;43,940;24,400;45,100;24,540;1,139;275,175;28,422;26,164;6377;637,7;0;0,0;11;13,77;36,43;0;14
473;15.07.25 12:40:23;-60,137;322,905;36,541;37,030;26,740;800,204;3,804;43,820;24,380;45,000;24,600;0,905;278,955;28,422;26,176;6377;637,7;0;0,0;13;13,74;36,59;0;14
474;15.07.25 12:40:46;-60,254;317,996;36,300;36,481;26,780;800,204;3,792;44,100;24,360;44,260;24,640;0,830;280,778;28,422;26,139;6377;637,7;0;0,0;11;13,71;36,27;0;14
475;15.07.25 12:41:28;-61,908;312,535;35,839;35,772;26,740;800,192;3,804;43,520;24,360;43,180;24,620;0,792;284,625;28,483;26,103;6377;637,7;0;0,0;13;13,71;36,27;0;14
476;15.07.25 12:41:51;-62,291;315,622;36,040;36,110;26,710;800,204;3,792;43,460;24,400;43,680;24,600;0,741;279,113;28,483;26,176;6377;637,7;0;0,0;11;13,72;35,95;0;14
477;15.07.25 12:42:33;-63,832;330,660;35,810;37,706;26,750;800,192;3,804;43,840;24,480;43,360;24,600;0,202;84,488;28,520;26,139;6377;637,7;0;0,0;13;13,82;35,79;0;14
478;15.07.25 12:42:56;-64,831;346,429;35,910;39,842;26,750;800,204;3,804;43,840;24,440;44,460;24,540;0,975;245,745;28,520;26,127;6377;637,7;0;0,0;11;13,91;35,79;0;14
479;15.07.25 12:43:37;-65,167;454,004;37,279;53,194;26,750;800,204;3,804;43,720;24,340;43,680;24,480;1,528;342,720;28,520;26,176;6377;637,7;0;0,0;12;14,03;35,79;0;14
480;15.07.25 12:44:19;-66,707;416,975;37,710;48,004;26,760;800,204;3,792;43,740;24,400;43,740;24,540;0,023;228,555;28,520;26,176;6377;637,7;0;0,0;14;14,01;36,11;0;14
481;15.07.25 12:44:42;-68,069;417,220;37,806;48,789;26,820;800,204;3,792;44,460;24,480;45,760;24,560;1,566;250,830;28,544;26,176;6377;637,7;0;0,0;12;14,01;36,11;0;14
482;15.07.25 12:45:24;-69,969;560,720;38,678;78,522;26,850;800,204;3,804;43,100;24,520;43,660;24,720;0,291;20,093;28,581;26,188;6377;637,7;0;0,0;14;14,03;35,95;0;14
483;15.07.25 12:45:47;-70,041;531,657;40,858;61,610;26,910;800,204;3,792;42,720;24,520;42,460;24,680;0,211;99,810;28,593;26,188;6377;637,7;0;0,0;12;14,03;35,48;0;14
484;15.07.25 12:46:29;-71,136;762,419;42,768;89,161;26,990;800,192;3,816;42,700;24,540;42,840;24,640;-0,009;47,295;28,618;26,188;6377;637,7;0;0,0;14;14,04;35,48;0;14
485;15.07.25 12:46:52;-72,792;480,741;40,728;57,963;27,050;800,192;3,780;42,960;24,520;42,900;24,600;1,303;245,318;28,618;26,237;6377;637,7;0;0,0;12;13,99;35,95;0;14
486;15.07.25 12:47:34;-74,458;439,986;39,557;51,940;27,100;800,204;3,804;42,920;24,540;43,440;24,620;1,847;310,050;28,618;26,261;6377;637,7;0;0,0;14;14,01;36,11;0;14
