"Plot-Titel: Dunkle Seite der Macht"
"Anz.","Datum Zeit, GMT+02:00","PAR, µmol/m²/s (LGR S/N: 21901547, SEN S/N: 21894160)","Sonnenstrahlung, W/m² (LGR S/N: 21901547, SEN S/N: 21903639)","Temp., °C (LGR S/N: 21901547, SEN S/N: 21903816, LBL: 2m)","RH, % (LGR S/N: 21901547, SEN S/N: 21903816, LBL: 2m)","Temp., °C (LGR S/N: 21901547, SEN S/N: 21903817, LBL: 0,3m)","RH, % (LGR S/N: 21901547, SEN S/N: 21903817, LBL: 0,3m)"
1,09.08.25 11:48:14 AM,596.2,266.9,20.196,32.229,19.188,71.249
2,09.08.25 11:49:14 AM,478.7,214.4,19.467,65.277,19.231,71.379
3,09.08.25 11:50:14 AM,566.2,261.9,19.360,65.948,19.381,70.457
4,09.08.25 11:51:14 AM,623.7,279.4,19.167,66.165,19.403,69.812
5,09.08.25 11:52:14 AM,636.2,284.4,18.952,67.381,19.295,71.496
6,09.08.25 11:53:14 AM,643.7,288.1,18.931,67.248,19.360,70.166
7,09.08.25 11:54:14 AM,651.2,291.9,18.845,67.683,19.360,70.752
8,09.08.25 11:55:14 AM,656.2,294.4,18.823,67.591,19.467,71.048
9,09.08.25 11:56:14 AM,661.2,296.9,18.759,67.829,19.574,69.941
10,09.08.25 11:57:14 AM,671.2,300.6,18.866,67.335,19.639,70.472
11,09.08.25 11:58:14 AM,693.7,310.6,18.931,68.064,19.703,71.290
12,09.08.25 11:59:14 AM,671.2,301.9,18.952,66.320,19.767,67.904
13,09.08.25 12:00:14 PM,668.7,300.6,18.909,67.021,19.681,69.239
14,09.08.25 12:01:14 PM,661.2,296.9,19.017,66.796,19.681,69.282
15,09.08.25 12:02:14 PM,656.2,295.6,18.995,66.503,19.767,68.759
16,09.08.25 12:03:14 PM,656.2,294.4,19.038,66.342,19.810,67.776
17,09.08.25 12:04:14 PM,651.2,293.1,19.102,67.651,19.832,70.484
18,09.08.25 12:05:14 PM,651.2,293.1,19.210,66.337,19.896,68.962
19,09.08.25 12:06:14 PM,648.7,291.9,19.145,66.609,19.874,68.188
20,09.08.25 12:07:14 PM,646.2,290.6,19.124,66.722,19.853,68.852
21,09.08.25 12:08:14 PM,638.7,288.1,19.102,66.137,19.789,68.316
22,09.08.25 12:09:14 PM,633.7,285.6,19.059,66.142,19.767,68.191
23,09.08.25 12:10:14 PM,631.2,284.4,19.038,67.381,19.767,69.889
24,09.08.25 12:11:14 PM,626.2,281.9,19.145,66.123,19.874,69.409
25,09.08.25 12:12:14 PM,618.7,279.4,19.124,65.789,20.025,68.122
26,09.08.25 12:13:14 PM,613.7,276.9,19.145,66.792,20.110,69.143
27,09.08.25 12:14:14 PM,608.7,275.6,19.231,65.345,20.153,66.639
28,09.08.25 12:15:14 PM,603.7,273.1,19.210,65.986,20.175,67.749
29,09.08.25 12:16:14 PM,603.7,273.1,19.210,66.430,20.175,66.996
30,09.08.25 12:17:14 PM,606.2,274.4,19.295,65.885,20.218,68.347
31,09.08.25 12:18:14 PM,613.7,276.9,19.338,66.648,20.282,67.909
32,09.08.25 12:19:14 PM,618.7,279.4,19.467,66.163,20.325,67.721
33,09.08.25 12:20:14 PM,626.2,281.9,19.574,66.744,20.368,68.211
34,09.08.25 12:21:14 PM,628.7,284.4,19.467,65.715,20.346,67.932
35,09.08.25 12:22:14 PM,631.2,285.6,19.381,66.484,20.282,67.735
36,09.08.25 12:23:14 PM,633.7,285.6,19.360,66.284,20.239,67.344
37,09.08.25 12:24:14 PM,631.2,285.6,19.338,65.812,20.196,67.413
38,09.08.25 12:25:14 PM,633.7,285.6,19.274,66.073,20.132,67.472
39,09.08.25 12:26:14 PM,636.2,286.9,19.317,66.264,20.089,67.758
40,09.08.25 12:27:14 PM,643.7,289.4,19.424,66.566,20.067,68.412
41,09.08.25 12:28:14 PM,648.7,291.9,19.553,65.821,20.153,69.213
42,09.08.25 12:29:14 PM,656.2,294.4,19.660,65.316,20.282,68.214
43,09.08.25 12:30:14 PM,663.7,298.1,19.681,65.623,20.282,68.408
44,09.08.25 12:31:14 PM,673.7,303.1,19.724,64.996,20.303,69.126
45,09.08.25 12:32:14 PM,686.2,308.1,19.703,65.588,20.260,68.910
46,09.08.25 12:33:14 PM,701.2,315.6,19.789,65.528,20.325,68.009
47,09.08.25 12:34:14 PM,721.2,323.1,19.767,65.509,20.411,68.055
48,09.08.25 12:35:14 PM,751.2,335.6,19.810,65.254,20.518,67.964
49,09.08.25 12:36:14 PM,763.7,341.9,19.596,65.588,20.432,66.778
50,09.08.25 12:37:14 PM,786.2,350.6,19.445,66.641,20.346,67.980
51,09.08.25 12:38:14 PM,813.7,360.6,19.596,66.465,20.496,67.868
52,09.08.25 12:39:14 PM,798.7,355.6,19.767,66.662,20.539,69.506
53,09.08.25 12:40:14 PM,836.2,368.1,19.960,65.020,20.732,67.474
54,09.08.25 12:41:14 PM,1018.7,446.9,20.067,64.698,20.882,66.461
55,09.08.25 12:42:14 PM,878.7,386.9,20.003,65.119,20.925,66.458
56,09.08.25 12:43:14 PM,876.2,384.4,19.896,64.700,20.861,65.197
57,09.08.25 12:44:14 PM,946.2,415.6,19.789,65.299,20.797,66.007
58,09.08.25 12:45:14 PM,866.2,379.4,19.896,64.727,20.840,67.491
59,09.08.25 12:46:14 PM,826.2,365.6,20.046,65.573,20.990,65.881
60,09.08.25 12:47:14 PM,986.2,433.1,20.282,64.401,21.054,66.229
61,09.08.25 12:48:14 PM,1163.7,513.1,20.368,62.837,21.140,64.648
62,09.08.25 12:49:14 PM,838.7,371.9,20.239,63.206,21.269,65.057
63,09.08.25 12:50:14 PM,813.7,356.9,20.175,62.956,21.311,63.835
64,09.08.25 12:51:14 PM,741.2,324.4,20.175,63.380,21.354,63.833
65,09.08.25 12:52:14 PM,718.7,314.4,20.196,62.858,21.397,63.354
66,09.08.25 12:53:14 PM,723.7,318.1,20.175,63.096,21.311,63.691
67,09.08.25 12:54:14 PM,736.2,323.1,20.089,63.586,21.140,65.895
68,09.08.25 12:55:14 PM,753.7,333.1,20.153,65.180,21.118,67.501
69,09.08.25 12:56:14 PM,761.2,336.9,20.303,63.285,21.226,64.456
70,09.08.25 12:57:14 PM,748.7,330.6,20.411,64.361,21.269,64.475
71,09.08.25 12:58:14 PM,736.2,326.9,20.496,62.757,21.311,64.320
72,09.08.25 12:59:14 PM,723.7,321.9,20.432,62.969,21.333,63.929
73,09.08.25 01:00:14 PM,711.2,316.9,20.067,63.700,21.161,63.888
74,09.08.25 01:01:14 PM,691.2,308.1,20.046,64.338,21.118,65.357
75,09.08.25 01:02:14 PM,666.2,296.9,20.153,64.718,21.183,65.794
76,09.08.25 01:03:14 PM,641.2,286.9,20.067,64.836,21.161,65.293
77,09.08.25 01:04:14 PM,616.2,275.6,19.960,64.492,21.097,64.442
78,09.08.25 01:05:14 PM,596.2,266.9,19.917,65.039,21.033,65.275
79,09.08.25 01:06:14 PM,578.7,259.4,19.832,64.996,20.904,65.010
80,09.08.25 01:07:14 PM,568.7,254.4,19.767,65.225,20.775,65.666
81,09.08.25 01:08:14 PM,561.2,250.6,19.724,65.939,20.668,66.561
82,09.08.25 01:09:14 PM,543.7,243.1,19.767,64.887,20.539,65.451
83,09.08.25 01:10:14 PM,523.7,234.4,19.832,64.910,20.432,67.825
84,09.08.25 01:11:14 PM,486.2,218.1,19.917,65.362,20.496,68.605
85,09.08.25 01:12:14 PM,461.2,206.9,20.110,64.442,20.561,68.083
86,09.08.25 01:13:14 PM,443.7,200.6,20.239,63.720,20.668,65.977
87,09.08.25 01:14:14 PM,438.7,196.9,20.346,63.359,20.732,64.923
88,09.08.25 01:15:14 PM,446.2,200.6,20.411,63.499,20.775,65.866
89,09.08.25 01:16:14 PM,466.2,208.1,20.475,63.052,20.840,66.462
90,09.08.25 01:17:14 PM,491.2,219.4,20.496,63.119,20.904,65.904
91,09.08.25 01:18:14 PM,521.2,233.1,20.475,63.220,20.925,65.220
92,09.08.25 01:19:14 PM,553.7,248.1,20.454,62.901,20.904,65.144
93,09.08.25 01:20:14 PM,578.7,259.4,20.282,63.339,20.775,65.483
94,09.08.25 01:21:14 PM,591.2,264.4,20.110,64.012,20.732,65.890
95,09.08.25 01:22:14 PM,593.7,264.4,20.046,64.645,20.775,66.288
96,09.08.25 01:23:14 PM,583.7,260.6,20.046,64.268,20.775,65.971
97,09.08.25 01:24:14 PM,568.7,254.4,20.003,65.093,20.775,66.448
98,09.08.25 01:25:14 PM,556.2,246.9,20.110,64.685,20.818,66.030
99,09.08.25 01:26:14 PM,546.2,243.1,20.175,64.833,20.882,66.824
100,09.08.25 01:27:14 PM,541.2,241.9,20.196,64.265,20.925,66.270
101,09.08.25 01:28:14 PM,546.2,243.1,20.282,64.556,20.968,66.009
102,09.08.25 01:29:14 PM,548.7,244.4,20.303,64.071,20.968,66.113
103,09.08.25 01:30:14 PM,543.7,240.6,20.368,63.880,21.076,65.650
104,09.08.25 01:31:14 PM,518.7,230.6,20.325,63.885,21.033,65.234
105,09.08.25 01:32:14 PM,478.7,214.4,20.239,63.917,20.947,65.692
106,09.08.25 01:33:14 PM,436.2,194.4,20.239,64.480,20.968,65.583
107,09.08.25 01:34:14 PM,396.2,178.1,20.282,64.964,20.904,65.921
108,09.08.25 01:35:14 PM,371.2,166.9,20.346,64.654,20.968,67.181
109,09.08.25 01:36:14 PM,358.7,160.6,20.175,64.813,20.861,66.204
110,09.08.25 01:37:14 PM,361.2,160.6,20.025,64.913,20.797,66.448
111,09.08.25 01:38:14 PM,371.2,165.6,20.003,65.531,20.754,66.923
112,09.08.25 01:39:14 PM,388.7,171.9,20.025,65.437,20.732,66.278
113,09.08.25 01:40:14 PM,406.2,179.4,20.003,65.847,20.711,67.308
114,09.08.25 01:41:14 PM,426.2,188.1,19.917,65.733,20.604,66.760
115,09.08.25 01:42:14 PM,438.7,193.1,19.853,66.256,20.496,68.003
116,09.08.25 01:43:14 PM,443.7,194.4,19.832,66.561,20.561,68.724
117,09.08.25 01:44:14 PM,441.2,194.4,19.917,66.763,20.582,68.392
118,09.08.25 01:45:14 PM,431.2,189.4,20.003,66.383,20.647,67.565
119,09.08.25 01:46:14 PM,421.2,185.6,20.046,66.078,20.625,67.294
120,09.08.25 01:47:14 PM,413.7,183.1,20.110,66.192,20.625,67.436
121,09.08.25 01:48:14 PM,408.7,180.6,20.089,65.881,20.539,67.454
122,09.08.25 01:49:14 PM,411.2,181.9,20.175,66.094,20.518,68.261
123,09.08.25 01:50:14 PM,416.2,184.4,20.132,65.907,20.475,67.944
124,09.08.25 01:51:14 PM,423.7,188.1,20.153,66.007,20.518,68.324
125,09.08.25 01:52:14 PM,431.2,190.6,20.282,66.059,20.561,68.934
126,09.08.25 01:53:14 PM,436.2,193.1,20.346,65.199,20.668,67.427
127,09.08.25 01:54:14 PM,441.2,195.6,20.368,64.881,20.689,67.619
128,09.08.25 01:55:14 PM,453.7,200.6,20.260,64.698,20.732,66.854
129,09.08.25 01:56:14 PM,466.2,205.6,20.196,64.961,20.689,66.561
130,09.08.25 01:57:14 PM,478.7,211.9,20.132,65.167,20.647,66.397
131,09.08.25 01:58:14 PM,488.7,215.6,20.153,64.863,20.668,66.947
132,09.08.25 01:59:14 PM,488.7,215.6,20.132,64.901,20.668,66.366
133,09.08.25 02:00:14 PM,486.2,214.4,20.218,65.332,20.689,67.208
134,09.08.25 02:01:14 PM,466.2,206.9,20.303,65.660,20.754,67.446
135,09.08.25 02:02:14 PM,443.7,195.6,20.389,64.828,20.882,66.996
136,09.08.25 02:03:14 PM,416.2,185.6,20.475,64.457,20.904,66.215
137,09.08.25 02:04:14 PM,391.2,174.4,20.411,64.616,20.904,66.398
138,09.08.25 02:05:14 PM,368.7,164.4,20.411,64.822,20.925,66.938
139,09.08.25 02:06:14 PM,346.2,155.6,20.454,64.991,20.968,67.124
140,09.08.25 02:07:14 PM,326.2,146.9,20.454,64.149,20.947,66.027
141,09.08.25 02:08:14 PM,311.2,140.6,20.368,64.424,20.861,65.679
142,09.08.25 02:09:14 PM,296.2,134.4,20.303,65.075,20.754,67.184
143,09.08.25 02:10:14 PM,283.7,129.4,20.303,64.144,20.732,66.108
144,09.08.25 02:11:14 PM,268.7,123.1,20.282,64.974,20.711,67.080
145,09.08.25 02:12:14 PM,251.2,114.4,20.282,64.767,20.711,66.485
146,09.08.25 02:13:14 PM,231.2,105.6,20.260,64.553,20.732,66.828
147,09.08.25 02:14:14 PM,213.7,98.1,20.325,65.098,20.711,66.952
148,09.08.25 02:15:14 PM,203.7,93.1,20.282,65.092,20.732,67.044
149,09.08.25 02:16:14 PM,203.7,91.9,20.325,65.167,20.732,67.158
150,09.08.25 02:17:14 PM,203.7,93.1,20.325,64.984,20.732,67.024
151,09.08.25 02:18:14 PM,208.7,93.1,20.368,65.348,20.732,67.436
152,09.08.25 02:19:14 PM,208.7,94.4,20.454,65.628,20.775,67.454
153,09.08.25 02:20:14 PM,208.7,94.4,20.496,64.689,20.754,66.824
154,09.08.25 02:21:14 PM,206.2,91.9,20.411,64.739,20.732,67.298
155,09.08.25 02:22:14 PM,203.7,91.9,20.389,65.634,20.689,68.132
156,09.08.25 02:23:14 PM,203.7,91.9,20.346,65.234,20.647,67.930
157,09.08.25 02:24:14 PM,208.7,93.1,20.368,65.316,20.668,67.417
158,09.08.25 02:25:14 PM,218.7,98.1,20.282,65.335,20.582,67.872
159,09.08.25 02:26:14 PM,236.2,104.4,20.282,65.661,20.539,67.875
160,09.08.25 02:27:14 PM,246.2,110.6,20.282,65.719,20.539,68.165
161,09.08.25 02:28:14 PM,253.7,114.4,20.346,65.565,20.539,68.516
162,09.08.25 02:29:14 PM,261.2,116.9,20.389,65.687,20.561,68.609
163,09.08.25 02:30:14 PM,263.7,119.4,20.389,65.893,20.604,68.946
164,09.08.25 02:31:14 PM,273.7,124.4,20.389,65.229,20.625,67.852
165,09.08.25 02:32:14 PM,278.7,125.6,20.389,65.275,20.625,68.063
166,09.08.25 02:33:14 PM,278.7,126.9,20.475,65.325,20.668,67.803
167,09.08.25 02:34:14 PM,273.7,124.4,20.539,65.119,20.732,67.774
168,09.08.25 02:35:14 PM,261.2,119.4,20.604,64.137,20.732,66.828
169,09.08.25 02:36:14 PM,243.7,113.1,20.518,64.714,20.775,67.272
170,09.08.25 02:37:14 PM,226.2,105.6,20.454,64.927,20.754,67.181
171,09.08.25 02:38:14 PM,213.7,99.4,20.389,65.444,20.711,67.652
172,09.08.25 02:39:14 PM,208.7,96.9,20.368,65.687,20.625,67.866
173,09.08.25 02:40:14 PM,208.7,96.9,20.346,65.528,20.647,68.449
174,09.08.25 02:41:14 PM,211.2,100.6,20.303,65.551,20.582,67.843
175,09.08.25 02:42:14 PM,221.2,103.1,20.346,66.206,20.582,69.148
176,09.08.25 02:43:14 PM,231.2,108.1,20.303,65.431,20.604,67.939
177,09.08.25 02:44:14 PM,243.7,113.1,20.303,65.675,20.604,68.238
178,09.08.25 02:45:14 PM,258.7,119.4,20.325,65.641,20.689,67.982
179,09.08.25 02:46:14 PM,268.7,124.4,20.346,65.853,20.689,68.595
180,09.08.25 02:47:14 PM,276.2,128.1,20.368,65.231,20.689,67.849
181,09.08.25 02:48:14 PM,286.2,131.9,20.389,65.563,20.668,67.893
182,09.08.25 02:49:14 PM,296.2,136.9,20.411,65.010,20.732,68.507
183,09.08.25 02:50:14 PM,308.7,141.9,20.411,65.263,20.732,67.272
184,09.08.25 02:51:14 PM,321.2,146.9,20.411,65.707,20.711,68.296
185,09.08.25 02:52:14 PM,323.7,149.4,20.432,65.815,20.754,68.669
186,09.08.25 02:53:14 PM,333.7,151.9,20.539,65.350,20.818,67.849
187,09.08.25 02:54:14 PM,346.2,156.9,20.539,65.518,20.861,67.596
188,09.08.25 02:55:14 PM,356.2,161.9,20.604,65.409,20.861,67.799
189,09.08.25 02:56:14 PM,358.7,161.9,20.604,64.927,20.904,67.404
190,09.08.25 02:57:14 PM,351.2,159.4,20.604,65.611,20.947,67.587
191,09.08.25 02:58:14 PM,328.7,149.4,20.604,65.396,20.990,67.491
192,09.08.25 02:59:14 PM,298.7,136.9,20.625,65.286,21.033,67.428
193,09.08.25 03:00:14 PM,283.7,130.6,20.647,65.806,20.990,67.596
194,09.08.25 03:01:14 PM,278.7,129.4,20.668,65.325,21.076,68.156
195,09.08.25 03:02:14 PM,286.2,131.9,20.711,65.322,21.054,67.056
196,09.08.25 03:03:14 PM,301.2,138.1,20.797,65.211,21.140,67.204
197,09.08.25 03:04:14 PM,326.2,149.4,20.904,65.220,21.140,67.419
198,09.08.25 03:05:14 PM,358.7,163.1,20.925,64.973,21.226,67.509
199,09.08.25 03:06:14 PM,398.7,180.6,21.011,65.618,21.311,67.962
200,09.08.25 03:07:14 PM,441.2,199.4,21.076,63.981,21.376,66.398
201,09.08.25 03:08:14 PM,486.2,219.4,21.140,63.876,21.440,66.453
202,09.08.25 03:09:14 PM,523.7,235.6,21.097,63.624,21.462,65.815
203,09.08.25 03:10:14 PM,548.7,245.6,21.161,64.114,21.504,67.385
204,09.08.25 03:11:14 PM,563.7,253.1,21.226,63.162,21.590,66.200
205,09.08.25 03:12:14 PM,573.7,256.9,21.247,63.957,21.655,66.838
206,09.08.25 03:13:14 PM,581.2,259.4,21.354,63.359,21.698,66.387
207,09.08.25 03:14:14 PM,591.2,265.6,21.419,63.462,21.848,66.497
208,09.08.25 03:15:14 PM,611.2,273.1,21.419,62.983,22.019,65.069
209,09.08.25 03:16:14 PM,658.7,296.9,21.419,62.768,22.084,64.590
210,09.08.25 03:17:14 PM,651.2,291.9,21.397,62.583,22.191,64.897
211,09.08.25 03:18:14 PM,616.2,276.9,21.376,62.885,22.298,64.887
212,09.08.25 03:19:14 PM,576.2,258.1,21.397,63.838,22.405,64.881
213,09.08.25 03:20:14 PM,486.2,215.6,21.504,62.826,22.470,63.760
214,09.08.25 03:21:14 PM,431.2,190.6,21.419,63.638,22.534,64.150
215,09.08.25 03:22:14 PM,398.7,176.9,21.419,64.227,22.470,65.167
216,09.08.25 03:23:14 PM,388.7,173.1,21.397,63.395,22.427,63.435
217,09.08.25 03:24:14 PM,401.2,178.1,21.397,63.252,22.298,63.645
218,09.08.25 03:25:14 PM,418.7,188.1,21.419,63.124,22.234,63.883
219,09.08.25 03:26:14 PM,436.2,195.6,21.354,63.760,22.148,64.813
220,09.08.25 03:27:14 PM,431.2,191.9,21.440,63.629,22.148,65.240
221,09.08.25 03:28:14 PM,408.7,183.1,21.462,63.764,22.212,65.332
222,09.08.25 03:29:14 PM,378.7,169.4,21.419,64.398,22.255,64.833
223,09.08.25 03:30:14 PM,346.2,155.6,21.419,63.659,22.234,63.903
224,09.08.25 03:31:14 PM,316.2,140.6,21.376,63.313,22.148,64.355
225,09.08.25 03:32:14 PM,283.7,126.9,21.354,63.903,22.084,65.728
226,09.08.25 03:33:14 PM,256.2,114.4,21.376,64.009,22.041,64.977
227,09.08.25 03:34:14 PM,228.7,101.9,21.397,63.536,21.955,66.036
228,09.08.25 03:35:14 PM,203.7,91.9,21.354,63.523,21.955,64.520
229,09.08.25 03:36:14 PM,191.2,85.6,21.269,63.490,21.869,64.799
230,09.08.25 03:37:14 PM,183.7,83.1,21.269,64.054,21.891,67.047
231,09.08.25 03:38:14 PM,186.2,85.6,21.269,64.533,21.912,66.113
232,09.08.25 03:39:14 PM,196.2,90.6,21.290,64.176,21.891,65.364
233,09.08.25 03:40:14 PM,211.2,96.9,21.354,64.082,21.933,65.277
234,09.08.25 03:41:14 PM,228.7,105.6,21.440,63.444,21.912,66.172
235,09.08.25 03:42:14 PM,251.2,115.6,21.376,63.606,21.912,65.505
236,09.08.25 03:43:14 PM,278.7,128.1,21.333,63.720,21.912,66.424
237,09.08.25 03:44:14 PM,306.2,141.9,21.333,63.578,21.933,66.520
238,09.08.25 03:45:14 PM,353.7,161.9,21.333,63.766,21.998,64.668
239,09.08.25 03:46:14 PM,408.7,188.1,21.397,63.629,22.019,64.987
240,09.08.25 03:47:14 PM,471.2,215.6,21.440,63.526,22.019,64.936
241,09.08.25 03:48:14 PM,516.2,234.4,21.504,63.423,22.041,64.666
242,09.08.25 03:49:14 PM,511.2,230.6,21.526,63.258,22.019,64.753
243,09.08.25 03:50:14 PM,493.7,220.6,21.547,63.439,22.062,64.920
244,09.08.25 03:51:14 PM,466.2,206.9,21.633,63.760,22.105,65.863
245,09.08.25 03:52:14 PM,433.7,190.6,21.655,63.359,22.126,64.739
246,09.08.25 03:53:14 PM,398.7,174.4,21.655,63.357,22.084,65.290
247,09.08.25 03:54:14 PM,368.7,161.9,21.590,63.604,22.062,66.017
248,09.08.25 03:55:14 PM,361.2,159.4,21.590,63.957,22.105,65.716
249,09.08.25 03:56:14 PM,378.7,168.1,21.590,63.334,22.105,65.010
250,09.08.25 03:57:14 PM,401.2,178.1,21.590,63.468,22.191,65.766
251,09.08.25 03:58:14 PM,418.7,185.6,21.569,63.995,22.277,65.325
252,09.08.25 03:59:14 PM,433.7,191.9,21.612,63.865,22.341,65.895
253,09.08.25 04:00:14 PM,458.7,201.9,21.633,63.848,22.362,65.249
254,09.08.25 04:01:14 PM,488.7,216.9,21.633,64.448,22.405,66.030
255,09.08.25 04:02:14 PM,498.7,221.9,21.698,64.218,22.427,64.366
256,09.08.25 04:03:14 PM,493.7,220.6,21.762,64.419,22.470,66.682
257,09.08.25 04:04:14 PM,476.2,211.9,21.719,63.714,22.555,64.474
258,09.08.25 04:05:14 PM,451.2,200.6,21.676,64.625,22.513,65.167
259,09.08.25 04:06:14 PM,423.7,189.4,21.719,64.338,22.534,65.753
260,09.08.25 04:07:14 PM,401.2,179.4,21.676,64.639,22.534,65.043
261,09.08.25 04:08:14 PM,391.2,174.4,21.612,64.366,22.513,64.360
262,09.08.25 04:09:14 PM,393.7,176.9,21.590,64.988,22.491,64.627
263,09.08.25 04:10:14 PM,408.7,183.1,21.569,64.565,22.298,65.240
264,09.08.25 04:11:14 PM,418.7,188.1,21.590,64.182,22.341,64.932
265,09.08.25 04:12:14 PM,408.7,181.9,21.590,64.118,22.319,65.019
266,09.08.25 04:13:14 PM,388.7,173.1,21.633,63.920,22.362,65.618
267,09.08.25 04:14:14 PM,373.7,168.1,21.655,63.981,22.362,64.814
268,09.08.25 04:15:14 PM,371.2,166.9,21.698,63.697,22.384,64.799
269,09.08.25 04:16:14 PM,368.7,165.6,21.676,64.265,22.277,65.499
270,09.08.25 04:17:14 PM,366.2,164.4,21.655,63.771,22.191,65.357
271,09.08.25 04:18:14 PM,368.7,165.6,21.590,64.123,22.148,65.568
272,09.08.25 04:19:14 PM,373.7,168.1,21.547,64.013,22.169,64.758
273,09.08.25 04:20:14 PM,386.2,174.4,21.547,63.789,22.191,64.845
274,09.08.25 04:21:14 PM,401.2,180.6,21.612,64.054,22.212,66.320
275,09.08.25 04:22:14 PM,403.7,181.9,21.612,63.668,22.255,64.892
276,09.08.25 04:23:14 PM,393.7,178.1,21.633,64.250,22.277,65.432
277,09.08.25 04:24:14 PM,383.7,171.9,21.740,63.716,22.319,65.344
278,09.08.25 04:25:14 PM,371.2,165.6,21.698,64.109,22.298,65.679
279,09.08.25 04:26:14 PM,356.2,158.1,21.740,63.380,22.341,64.250
280,09.08.25 04:27:14 PM,333.7,149.4,21.676,63.784,22.298,65.588
281,09.08.25 04:28:14 PM,311.2,139.4,21.698,63.597,22.319,65.409
282,09.08.25 04:29:14 PM,296.2,131.9,21.698,64.192,22.319,65.692
283,09.08.25 04:30:14 PM,288.7,130.6,21.740,63.771,22.319,64.906
284,09.08.25 04:31:14 PM,293.7,131.9,21.740,63.728,22.319,65.133
285,09.08.25 04:32:14 PM,293.7,133.1,21.698,63.828,22.234,64.849
286,09.08.25 04:33:14 PM,286.2,129.4,21.676,63.766,22.169,65.467
287,09.08.25 04:34:14 PM,276.2,125.6,21.633,63.583,22.169,65.197
288,09.08.25 04:35:14 PM,276.2,124.4,21.590,63.670,22.126,65.174
289,09.08.25 04:36:14 PM,281.2,128.1,21.590,63.778,22.084,65.646
290,09.08.25 04:37:14 PM,293.7,133.1,21.633,64.250,22.105,65.615
291,09.08.25 04:38:14 PM,303.7,136.9,21.676,63.491,22.105,65.270
292,09.08.25 04:39:14 PM,303.7,135.6,21.633,63.961,22.084,65.618
293,09.08.25 04:40:14 PM,293.7,130.6,21.590,64.073,22.062,65.238
294,09.08.25 04:41:14 PM,283.7,128.1,21.569,64.511,21.976,65.888
295,09.08.25 04:42:14 PM,278.7,125.6,21.547,64.434,21.955,66.682
296,09.08.25 04:43:14 PM,283.7,128.1,21.547,64.616,21.912,66.799
297,09.08.25 04:44:14 PM,293.7,131.9,21.569,64.228,21.976,66.751
298,09.08.25 04:45:14 PM,301.2,135.6,21.547,64.053,21.998,66.366
299,09.08.25 04:46:14 PM,303.7,136.9,21.612,63.999,21.998,65.638
300,09.08.25 04:47:14 PM,306.2,138.1,21.547,63.774,21.998,65.847
301,09.08.25 04:48:14 PM,311.2,139.4,21.547,64.260,21.998,66.410
302,09.08.25 04:49:14 PM,311.2,138.1,21.569,64.187,22.019,65.989
303,09.08.25 04:50:14 PM,296.2,131.9,21.547,64.073,21.998,65.275
304,09.08.25 04:51:14 PM,278.7,124.4,21.547,63.981,21.955,65.949
305,09.08.25 04:52:14 PM,258.7,115.6,21.547,64.320,21.976,65.875
306,09.08.25 04:53:14 PM,238.7,106.9,21.569,64.201,21.998,65.844
307,09.08.25 04:54:14 PM,218.7,98.1,21.547,64.227,21.998,65.716
308,09.08.25 04:55:14 PM,208.7,91.9,21.547,64.346,21.976,65.876
309,09.08.25 04:56:14 PM,206.2,91.9,21.547,64.352,21.955,66.174
310,09.08.25 04:57:14 PM,208.7,93.1,21.569,64.700,21.955,66.886
311,09.08.25 04:58:14 PM,211.2,94.4,21.547,64.227,21.976,66.255
312,09.08.25 04:59:14 PM,203.7,90.6,21.547,64.517,21.976,67.236
313,09.08.25 05:00:14 PM,193.7,86.9,21.547,64.707,21.976,66.671
314,09.08.25 05:01:14 PM,191.2,85.6,21.526,64.627,21.976,66.763
315,09.08.25 05:02:14 PM,188.7,84.4,21.547,64.636,21.998,66.471
316,09.08.25 05:03:14 PM,191.2,84.4,21.569,65.179,21.933,67.152
317,09.08.25 05:04:14 PM,188.7,84.4,21.590,64.805,21.955,67.280
318,09.08.25 05:05:14 PM,191.2,84.4,21.569,64.721,21.912,66.690
319,09.08.25 05:06:14 PM,186.2,83.1,21.526,64.547,21.955,66.168
320,09.08.25 05:07:14 PM,178.7,80.6,21.526,64.855,21.869,66.792
321,09.08.25 05:08:14 PM,168.7,75.6,21.504,64.964,21.848,67.083
322,09.08.25 05:09:14 PM,158.7,70.6,21.504,64.753,21.848,66.993
323,09.08.25 05:10:14 PM,148.7,65.6,21.526,64.878,21.762,66.920
324,09.08.25 05:11:14 PM,138.7,60.6,21.483,65.212,21.740,67.431
325,09.08.25 05:12:14 PM,133.7,59.4,21.440,65.011,21.740,67.445
326,09.08.25 05:13:14 PM,136.2,61.9,21.397,65.318,21.719,67.813
327,09.08.25 05:14:14 PM,151.2,68.1,21.419,65.284,21.740,67.807
328,09.08.25 05:15:14 PM,166.2,74.4,21.376,66.035,21.740,68.682
329,09.08.25 05:16:14 PM,166.2,74.4,21.419,66.229,21.740,68.197
330,09.08.25 05:17:14 PM,158.7,70.6,21.376,66.374,21.762,68.310
331,09.08.25 05:18:14 PM,146.2,65.6,21.354,66.874,21.676,69.213
332,09.08.25 05:19:14 PM,133.7,59.4,21.311,66.877,21.590,68.930
333,09.08.25 05:20:14 PM,121.2,55.6,21.290,67.042,21.547,69.574
334,09.08.25 05:21:14 PM,108.7,48.1,21.204,67.254,21.483,69.383
