Variable,Mean,Min,Max,SD,DV
Temperature (Celsius),11.168517607074953,-9.1,42.5,8.639268984594182,0.7735376608191439
PM1 (ug/m3),9.231152945483684,0.0,208.0,10.409734539389047,1.1276743653653774
PM2.5 (ug/m3),12.04684607360946,0.0,293.0,13.55448846061698,1.1251483066850378
PM10 (ug/m3),19.45017925727391,0.0,608.0,21.56496659564849,1.1087284240624002
Humidity (%),73.79284940860744,15.0,100.0,19.440339004471742,0.26344475325551203
