Variable,Mean,Min,Max,SD,DV
Temperature (Celsius),11.324495038933534,-9.2,43.5,8.74747805610345,0.7724386849947553
PM1 (ug/m3),9.530180233100555,0.0,224.0,10.859759724002144,1.1395125232032493
PM2.5 (ug/m3),12.689903871072518,0.0,299.0,14.574240806054474,1.1484910330390625
PM10 (ug/m3),20.976317626285837,0.0,907.0,23.16511150792794,1.1043459543585135
Humidity (%),74.25656566005594,14.0,100.0,19.132582517987196,0.2576550955180922
