Variable,Mean,Min,Max,SD,DV
Temperature (Celsius),11.78910302082829,-9.0,44.5,8.896559448760712,0.7546426079272357
PM1 (ug/m3),9.44194994907056,0.0,224.0,11.327170534293296,1.1996643273255554
PM2.5 (ug/m3),12.68349211674515,0.0,313.0,14.94610449655378,1.1783903328028609
PM10 (ug/m3),19.793160755450486,0.0,536.0,23.444711017509395,1.1844854547070442
Humidity (%),72.14552824720018,14.0,100.0,19.572892855476837,0.27129738087733
