Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;524377;bis:;530000
Ausgelesen am:;19.12.2024 11:26:43;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529183;06.09.24 00:00:00;-46,260;-1,935;-6,353;-0,257;21,786;993,040;31,891;84,502;22,162;83,320;22,080;1,167;108,723;22,775;-50,000;1672;167,2;;0,0;173;12,44;25,12;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529184;06.09.24 00:00:12;-44,294;-1,935;-6,103;-0,257;21,740;993,056;30,600;84,700;22,080;83,620;22,020;0,942;98,888;22,758;-50,000;1672;167,2;;0,0;12;12,44;25,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529185;06.09.24 00:00:53;-43,133;-1,935;-6,323;-0,257;21,730;993,056;34,512;84,820;22,060;83,780;21,960;0,956;129,488;22,758;-50,000;1672;167,2;;0,0;13;12,45;25,32;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529186;06.09.24 00:01:05;-43,414;-1,935;-6,212;-0,257;21,727;993,056;32,648;84,820;22,093;83,733;22,013;0,864;75,248;22,766;-50,000;1672;167,2;;0,0;65;12,45;25,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529187;06.09.24 00:01:16;-42,517;-1,935;-6,178;-0,257;21,700;993,080;33,204;84,920;22,060;83,840;21,960;0,900;100,643;22,758;-50,000;1672;167,2;;0,0;11;12,43;25,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529188;06.09.24 00:01:57;-41,214;-1,935;-6,321;-0,257;21,670;993,068;32,112;84,980;22,060;83,920;21,960;0,628;47,475;22,758;-50,000;1672;167,2;;0,0;12;12,44;25,32;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529189;06.09.24 00:02:10;-41,506;-1,935;-6,301;-0,257;21,683;993,072;32,348;85,007;22,060;83,907;21,973;0,769;90,660;22,758;-50,000;1672;167,2;;0,0;65;12,43;25,05;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529190;06.09.24 00:02:38;-39,858;-1,935;-6,305;-0,257;21,640;993,068;32,700;85,220;22,000;84,060;21,960;0,773;47,250;22,758;-50,000;1672;167,2;;0,0;13;12,44;25,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529191;06.09.24 00:03:01;-39,189;-1,935;-6,131;-0,257;21,640;993,080;33,156;85,240;22,000;84,200;21,920;0,764;58,725;22,758;-50,000;1672;167,2;;0,0;11;12,42;24,84;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529192;06.09.24 00:03:42;-37,804;-1,935;-6,337;-0,257;21,620;993,080;33,036;85,320;22,000;84,340;21,960;0,633;56,385;22,758;-50,000;1672;167,2;;0,0;12;12,44;25,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529193;06.09.24 00:04:10;-38,437;-1,935;-6,147;-0,257;21,622;993,074;32,420;85,297;22,000;84,230;21,907;0,716;74,674;22,758;-50,000;1672;167,2;;0,0;120;12,44;25,03;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529194;06.09.24 00:04:23;-36,388;-1,935;-5,879;-0,257;21,580;993,128;31,560;85,440;21,960;84,400;21,860;0,881;110,948;22,758;-50,000;1672;167,2;;0,0;13;12,44;25,32;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529195;06.09.24 00:04:46;-36,017;-1,935;-5,701;-0,257;21,580;993,152;31,392;85,580;21,960;84,540;21,860;1,027;104,625;22,758;-50,000;1672;167,2;;0,0;11;12,44;24,84;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529196;06.09.24 00:05:00;-35,962;-1,935;-5,729;-0,257;21,575;993,152;32,358;85,570;21,950;84,540;21,870;0,933;87,379;22,764;-50,000;1672;167,2;;0,0;50;12,44;24,92;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529197;06.09.24 00:05:27;-35,294;-1,935;-5,332;-0,257;21,530;993,212;31,200;85,700;21,960;84,640;21,840;1,102;126,855;22,758;-50,000;1672;167,2;;0,0;12;12,43;25,16;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
