Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;
Standortname;
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;1077358;bis:;1080855
Ausgelesen am:;28.07.25 02:00:36;von:;User
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080557;28.07.25 00:00:05;-9,377;-1,935;-0,505;0,537;16,943;998,924;0,048;87,513;17,833;86,187;17,393;0,720;150,825;20,113;-50,000;4208;420,8;;0,0;55;13,36;20,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080558;28.07.25 00:00:18;-9,472;-1,935;-0,435;0,503;16,950;998,912;0,060;87,660;17,820;86,200;17,420;0,530;94,793;20,121;-50,000;4208;420,8;;0,0;13;13,43;20,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080559;28.07.25 00:00:41;-9,433;-1,935;-0,557;0,552;16,930;998,924;0,048;87,520;17,820;86,380;17,360;0,591;64,463;20,109;-50,000;4208;420,8;;0,0;11;13,44;20,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080560;28.07.25 00:01:10;-9,638;-1,935;-0,490;0,531;16,930;998,912;0,048;87,507;17,840;86,400;17,387;0,720;71,175;20,121;-50,000;4208;420,8;;0,0;65;13,40;20,61;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080561;28.07.25 00:01:22;-9,819;-1,935;-0,479;0,543;16,930;998,948;0,060;87,220;17,820;86,460;17,360;0,694;88,020;20,109;-50,000;4208;420,8;;0,0;12;13,44;20,56;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080562;28.07.25 00:02:03;-9,787;-1,935;-0,670;0,520;16,920;998,936;0,060;87,000;17,760;86,460;17,320;0,694;142,313;20,121;-50,000;4208;420,8;;0,0;13;13,44;20,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080563;28.07.25 00:02:26;-9,852;-1,935;-0,565;0,541;16,890;998,888;0,048;87,080;17,800;86,620;17,360;0,642;126,923;20,097;-50,000;4208;420,8;;0,0;11;13,45;21,19;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080564;28.07.25 00:03:07;-9,998;-1,935;-0,497;0,568;16,890;998,816;0,060;87,020;17,780;86,620;17,280;0,572;108,068;20,097;-50,000;4208;420,8;;0,0;12;13,37;20,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080565;28.07.25 00:03:48;-10,015;-1,935;-0,534;0,562;16,910;998,828;0,048;86,980;17,760;86,700;17,300;0,638;161,910;20,072;-50,000;4208;420,8;;0,0;13;13,42;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080566;28.07.25 00:04:00;-9,901;-1,935;-0,578;0,538;16,896;998,870;0,050;87,030;17,807;86,550;17,305;0,601;122,839;20,106;-50,000;4208;420,8;;0,0;170;13,41;20,56;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080567;28.07.25 00:04:11;-10,089;-1,935;-0,477;0,546;16,860;998,900;0,048;87,160;17,800;86,740;17,220;0,539;161,798;20,109;-50,000;4208;420,8;;0,0;11;13,40;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080568;28.07.25 00:04:52;-10,252;-1,935;-0,375;0,557;16,860;998,852;0,060;87,380;17,760;86,880;17,240;0,872;134,685;20,109;-50,000;4208;420,8;;0,0;12;13,40;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080569;28.07.25 00:05:05;-10,238;-1,935;-0,447;0,533;16,883;998,896;0,056;87,313;17,780;86,893;17,260;0,811;144,675;20,089;-50,000;4208;420,8;;0,0;65;13,39;20,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080570;28.07.25 00:05:33;-10,472;-1,935;-0,318;0,589;16,830;998,828;0,048;87,540;17,740;87,140;17,280;0,975;107,730;20,121;-50,000;4208;420,8;;0,0;13;13,42;20,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080571;28.07.25 00:05:56;-10,502;-1,935;-0,319;0,591;16,850;998,840;0,048;87,600;17,780;87,240;17,240;0,773;102,668;20,023;-50,000;4208;420,8;;0,0;11;13,42;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080572;28.07.25 00:06:10;-10,494;-1,935;-0,354;0,549;16,840;998,832;0,048;87,587;17,773;87,227;17,280;0,783;112,628;20,088;-50,000;4208;420,8;;0,0;65;13,38;20,29;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
