Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;809999;bis:;830000
Ausgelesen am:;15.04.2025 13:10:17;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819855;16.03.25 00:00:05;-23,570;-1,935;-5,903;-0,106;6,455;1002,143;25,653;63,945;6,815;64,005;6,490;1,611;76,933;5,576;-50,000;3838;383,8;;0,0;60;12,33;9,84;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819856;16.03.25 00:01:05;-23,590;-1,935;-5,999;-0,148;6,457;1002,143;25,572;63,955;6,835;64,150;6,515;1,560;72,602;5,572;-50,000;3838;383,8;;0,0;60;12,33;10,04;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819857;16.03.25 00:02:05;-23,679;-1,935;-6,222;-0,197;6,448;1002,146;25,575;63,940;6,800;64,300;6,500;1,215;134,640;5,569;-50,000;3838;383,8;;0,0;60;12,33;9,80;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819858;16.03.25 00:03:05;-23,787;-1,935;-6,032;-0,213;6,435;1002,146;25,593;64,040;6,815;64,220;6,505;2,048;52,898;5,579;-50,000;3838;383,8;;0,0;60;12,33;10,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819859;16.03.25 00:04:05;-23,985;-1,935;-5,948;-0,131;6,418;1002,143;25,599;63,855;6,790;63,995;6,495;1,376;68,316;5,569;-50,000;3838;383,8;;0,0;60;12,33;9,96;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819860;16.03.25 00:05:05;-24,205;-1,935;-6,219;-0,176;6,412;1002,158;25,581;63,985;6,795;64,140;6,475;1,436;128,228;5,572;-50,000;3838;383,8;;0,0;60;12,33;10,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819861;16.03.25 00:06:05;-24,417;-1,935;-6,157;-0,163;6,412;1002,152;25,632;64,075;6,780;64,135;6,475;1,963;131,209;5,572;-50,000;3838;383,8;;0,0;60;12,33;9,92;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819862;16.03.25 00:07:05;-24,695;-1,935;-6,133;-0,122;6,382;1002,155;25,584;63,960;6,785;63,980;6,465;1,732;130,703;5,575;-50,000;3838;383,8;;0,0;60;12,33;10,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819863;16.03.25 00:08:05;-24,896;-1,935;-6,164;-0,135;6,382;1002,131;25,560;64,165;6,755;64,210;6,460;2,323;193,174;5,569;-50,000;3838;383,8;;0,0;60;12,33;9,72;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819864;16.03.25 00:09:05;-24,985;-1,935;-6,251;-0,111;6,380;1002,155;25,569;64,050;6,750;64,125;6,450;1,086;126,484;5,566;-50,000;3838;383,8;;0,0;60;12,33;9,88;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
