Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;590001;bis:;609999
Ausgelesen am:;19.12.2024 12:31:12;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Zaehler1-Differenz [Impulse] = e5;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604337;20.10.24 00:00:10;-29,390;-1,935;-3,618;1,569;8,857;1006,592;36,027;96,310;9,615;96,545;9,645;0,510;299,706;13,880;-50,000;2517;;60;12,15;7,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604338;20.10.24 00:01:10;-28,535;-1,935;-3,482;1,305;8,842;1006,577;37,005;96,100;9,590;96,510;9,625;0,450;319,781;13,877;-50,000;2517;;60;12,14;7,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604339;20.10.24 00:02:10;-28,113;-1,935;-3,390;1,246;8,823;1006,577;36,135;96,050;9,560;96,495;9,635;0,443;280,474;13,874;-50,000;2517;;60;12,14;7,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604340;20.10.24 00:03:10;-28,529;-1,935;-3,351;1,226;8,802;1006,571;35,661;96,070;9,590;96,525;9,650;0,486;237,926;13,874;-50,000;2517;;60;12,15;7,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604341;20.10.24 00:04:10;-29,221;-1,935;-3,318;1,361;8,800;1006,571;36,444;96,090;9,555;96,490;9,615;0,434;247,061;13,864;-50,000;2517;;60;12,15;7,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604342;20.10.24 00:05:10;-29,231;-1,935;-3,429;1,343;8,778;1006,583;37,392;95,995;9,560;96,560;9,620;0,443;223,577;13,868;-50,000;2517;;60;12,14;7,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604343;20.10.24 00:06:10;-28,832;-1,935;-3,302;1,276;8,757;1006,619;36,825;95,950;9,555;96,520;9,585;0,449;228,201;13,865;-50,000;2517;;60;12,15;7,66;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604344;20.10.24 00:07:10;-28,230;-1,935;-2,850;1,355;8,770;1006,643;36,603;96,075;9,545;96,600;9,610;0,573;207,703;13,831;-50,000;2517;;60;12,15;7,78;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604345;20.10.24 00:08:10;-27,458;-1,935;-2,812;1,327;8,755;1006,670;36,342;96,120;9,555;96,660;9,610;0,609;207,456;13,856;-50,000;2517;;60;12,15;7,86;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604346;20.10.24 00:09:10;-27,334;-1,935;-2,798;1,250;8,762;1006,691;36,369;96,090;9,535;96,615;9,605;0,548;192,572;13,834;-50,000;2517;;60;12,16;7,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604347;20.10.24 00:10:10;-27,630;-1,935;-2,693;1,202;8,743;1006,712;36,285;96,110;9,560;96,610;9,585;0,520;201,656;13,853;-50,000;2517;;60;12,16;7,58;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604348;20.10.24 00:11:10;-27,953;-1,935;-2,740;1,292;8,752;1006,730;36,423;96,145;9,520;96,620;9,580;0,439;190,305;13,804;-50,000;2517;;60;12,15;7,66;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604349;20.10.24 00:12:10;-28,192;-1,935;-2,639;0,977;8,720;1006,745;36,030;96,030;9,510;96,575;9,580;0,439;205,419;13,810;-50,000;2517;;60;12,15;7,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604350;20.10.24 00:13:10;-28,504;-1,935;-2,704;0,927;8,693;1006,760;36,129;95,895;9,490;96,550;9,540;0,454;204,879;13,785;-50,000;2517;;60;12,15;7,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604351;20.10.24 00:14:10;-28,558;-1,935;-2,907;1,016;8,665;1006,790;36,279;95,810;9,465;96,510;9,505;0,443;231,345;13,782;-50,000;2517;;60;12,15;7,78;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604352;20.10.24 00:15:10;-28,451;-1,935;-2,905;1,030;8,648;1006,793;36,348;95,710;9,460;96,490;9,505;0,441;241,628;13,776;-50,000;2517;;60;12,15;7,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604353;20.10.24 00:16:10;-28,244;-1,935;-2,896;1,115;8,637;1006,799;36,246;95,750;9,435;96,565;9,500;0,544;212,766;13,782;-50,000;2517;;60;12,15;7,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604354;20.10.24 00:17:10;-28,012;-1,935;-2,730;0,966;8,617;1006,790;36,417;95,870;9,445;96,575;9,470;0,477;220,320;13,776;-50,000;2517;;60;12,15;7,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604355;20.10.24 00:18:10;-27,465;-1,935;-2,614;0,885;8,640;1006,772;35,769;95,985;9,455;96,660;9,470;0,499;224,466;13,773;-50,000;2517;;60;12,15;7,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604356;20.10.24 00:19:10;-26,646;-1,935;-2,551;1,089;8,645;1006,838;35,328;96,160;9,450;96,700;9,470;0,471;226,851;13,773;-50,000;2517;;60;12,16;7,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604357;20.10.24 00:20:10;-25,656;-1,935;-2,431;1,165;8,662;1006,901;35,295;96,295;9,470;96,720;9,445;0,446;236,273;13,770;-50,000;2517;;60;12,15;7,58;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604358;20.10.24 00:21:10;-24,442;-1,935;-2,377;1,363;8,647;1006,937;35,175;96,415;9,450;96,720;9,445;0,443;269,865;13,776;-50,000;2517;;60;12,15;7,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604359;20.10.24 00:22:10;-23,156;-1,935;-2,288;1,391;8,660;1006,946;35,856;96,490;9,480;96,730;9,440;0,442;258,401;13,737;-50,000;2517;;60;12,14;7,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604360;20.10.24 00:23:10;-21,972;-1,935;-2,195;1,660;8,648;1006,940;37,107;96,580;9,490;96,775;9,470;0,442;213,829;13,755;-50,000;2517;;60;12,15;7,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604361;20.10.24 00:24:10;-21,744;-1,935;-2,051;1,640;8,663;1006,925;36,702;96,615;9,500;96,800;9,450;0,454;197,443;13,721;-50,000;2517;;60;12,15;7,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604362;20.10.24 00:25:10;-22,240;-1,935;-1,755;1,468;8,667;1006,925;36,702;96,655;9,520;96,845;9,490;0,492;139,416;13,721;-50,000;2517;;60;12,16;7,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604363;20.10.24 00:26:10;-21,959;-1,935;-1,523;1,375;8,665;1006,937;36,246;96,645;9,525;96,840;9,515;0,470;135,214;13,733;-50,000;2517;;60;12,16;7,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
