Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;809999;bis:;830000
Ausgelesen am:;15.04.2025 13:10:17;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798717;04.03.25 00:00:00;-61,441;-1,935;-5,202;1,001;-2,567;1014,095;32,790;86,505;-1,355;84,295;-1,085;0,512;110,379;1,944;-50,000;3800;380,0;;0,0;60;12,39;-3,77;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798718;04.03.25 00:01:00;-61,764;-1,935;-4,722;1,044;-2,570;1014,092;32,784;86,520;-1,380;84,320;-1,120;0,693;109,502;1,931;-50,000;3800;380,0;;0,0;60;12,39;-3,85;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798719;04.03.25 00:02:00;-62,048;-1,935;-4,627;1,171;-2,580;1014,083;32,787;86,610;-1,415;84,395;-1,130;0,705;103,658;1,928;-50,000;3800;380,0;;0,0;60;12,39;-3,65;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798720;04.03.25 00:03:00;-62,326;-1,935;-4,880;1,246;-2,588;1014,080;32,790;86,595;-1,430;84,435;-1,160;0,578;90,720;1,913;-50,000;3800;380,0;;0,0;60;12,39;-3,81;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798721;04.03.25 00:04:00;-62,512;-1,935;-5,217;1,131;-2,615;1014,074;32,796;86,450;-1,445;84,485;-1,165;0,480;71,589;1,931;-50,000;3800;380,0;;0,0;60;12,39;-3,65;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798722;04.03.25 00:05:00;-62,895;-1,935;-4,863;1,110;-2,627;1014,059;32,796;86,545;-1,465;84,450;-1,230;0,564;131,029;1,923;-50,000;3800;380,0;;0,0;60;12,39;-3,73;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798723;04.03.25 00:06:00;-62,858;-1,935;-4,506;1,354;-2,642;1014,041;32,802;86,795;-1,495;84,515;-1,240;0,606;137,419;1,916;-50,000;3800;380,0;;0,0;60;12,39;-4,05;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798724;04.03.25 00:07:00;-63,142;-1,935;-4,662;1,473;-2,635;1014,032;32,805;87,115;-1,505;84,650;-1,235;0,626;114,233;1,922;-50,000;3800;380,0;;0,0;60;12,39;-3,69;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798725;04.03.25 00:08:00;-63,335;-1,935;-5,031;1,474;-2,655;1014,011;32,811;87,230;-1,520;84,740;-1,265;0,560;109,676;1,910;-50,000;3800;380,0;;0,0;60;12,39;-3,89;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798726;04.03.25 00:09:00;-63,610;-1,935;-5,261;1,410;-2,642;1014,002;32,802;87,245;-1,520;84,830;-1,265;0,551;125,342;1,919;-50,000;3800;380,0;;0,0;60;12,39;-4,01;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798727;04.03.25 00:10:00;-63,574;-1,935;-5,092;1,495;-2,638;1013,984;32,799;87,405;-1,540;84,960;-1,330;0,458;191,126;1,892;-50,000;3800;380,0;;0,0;60;12,39;-3,77;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798728;04.03.25 00:11:00;-63,573;-1,935;-5,740;1,642;-2,645;1013,972;32,811;87,425;-1,560;84,990;-1,355;0,434;268,622;1,886;-50,000;3800;380,0;;0,0;60;12,38;-3,97;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798729;04.03.25 00:12:00;-63,663;-1,935;-6,215;1,549;-2,690;1013,957;32,820;87,260;-1,600;85,045;-1,360;0,432;337,837;1,883;-50,000;3800;380,0;;0,0;60;12,37;-4,13;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798730;04.03.25 00:13:00;-63,407;-1,935;-6,211;1,343;-2,715;1013,921;32,823;87,220;-1,570;85,035;-1,355;0,445;241,830;1,880;-50,000;3800;380,0;;0,0;60;12,38;-3,89;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798731;04.03.25 00:14:00;-63,606;-1,935;-5,987;1,414;-2,737;1013,915;32,817;87,215;-1,590;85,090;-1,365;0,441;195,407;1,858;-50,000;3800;380,0;;0,0;60;12,38;-3,89;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798732;04.03.25 00:15:00;-63,710;-1,935;-5,878;1,330;-2,750;1013,900;32,811;87,150;-1,575;85,110;-1,370;0,456;202,044;1,864;-50,000;3800;380,0;;0,0;60;12,38;-4,01;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798733;04.03.25 00:16:00;-63,414;-1,935;-5,877;1,335;-2,755;1013,885;32,805;87,240;-1,635;85,120;-1,395;0,465;256,573;1,855;-50,000;3800;380,0;;0,0;60;12,37;-3,85;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798734;04.03.25 00:17:00;-63,356;-1,935;-6,362;1,543;-2,787;1013,879;32,808;87,325;-1,670;85,110;-1,440;0,442;306,675;1,874;-50,000;3800;380,0;;0,0;60;12,38;-4,09;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798735;04.03.25 00:18:00;-63,409;-1,935;-6,455;1,452;-2,810;1013,879;32,805;87,390;-1,655;85,215;-1,405;0,437;96,469;1,858;-50,000;3800;380,0;;0,0;60;12,39;-4,05;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798736;04.03.25 00:19:00;-63,366;-1,935;-6,249;1,445;-2,847;1013,876;32,808;87,380;-1,710;85,185;-1,450;0,480;281,323;1,855;-50,000;3800;380,0;;0,0;60;12,38;-3,89;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798737;04.03.25 00:20:00;-63,258;-1,935;-6,218;1,830;-2,862;1013,867;32,796;87,580;-1,710;85,340;-1,465;0,544;273,195;1,852;-50,000;3800;380,0;;0,0;60;12,37;-3,89;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798738;04.03.25 00:21:00;-63,513;-1,935;-6,560;2,069;-2,855;1013,879;32,811;87,755;-1,745;85,575;-1,485;0,565;301,590;1,852;-50,000;3800;380,0;;0,0;60;12,37;-3,81;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
