Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;769999;bis:;790000
Ausgelesen am:;15.04.2025 12:42:35;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732477;17.01.25 00:00:00;-45,488;-1,935;-6,944;-0,245;-1,533;1023,788;30,165;88,890;-0,270;92,695;-0,220;0,488;135,568;-0,101;-50,000;3350;335,0;;0,0;60;12,14;-2,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732478;17.01.25 00:01:00;-45,429;-1,935;-7,246;-0,109;-1,590;1023,794;30,159;88,745;-0,350;92,615;-0,310;0,470;151,099;-0,107;-50,000;3350;335,0;;0,0;60;12,14;-2,86;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732479;17.01.25 00:02:00;-45,417;-1,935;-7,094;-0,096;-1,665;1023,797;30,159;88,640;-0,415;92,505;-0,395;0,512;145,440;-0,114;-50,000;3350;335,0;;0,0;60;12,15;-3,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732480;17.01.25 00:03:00;-45,391;-1,935;-7,110;-0,128;-1,730;1023,809;30,165;88,600;-0,480;92,440;-0,475;0,482;139,843;-0,101;-50,000;3350;335,0;;0,0;60;12,14;-3,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732481;17.01.25 00:04:00;-45,642;-1,935;-7,066;-0,126;-1,788;1023,818;30,165;88,865;-0,530;92,410;-0,535;0,687;128,284;-0,095;-50,000;3350;335,0;;0,0;60;12,15;-3,33;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732482;17.01.25 00:05:00;-45,790;-1,935;-6,946;-0,015;-1,827;1023,827;30,159;89,235;-0,600;92,355;-0,600;0,633;118,913;-0,095;-50,000;3350;335,0;;0,0;60;12,15;-3,45;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732483;17.01.25 00:06:00;-45,483;-1,935;-7,016;-0,098;-1,880;1023,824;30,156;89,160;-0,695;92,385;-0,705;0,448;227,739;-0,101;-50,000;3350;335,0;;0,0;60;12,14;-2,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732484;17.01.25 00:07:00;-45,554;-1,935;-6,892;-0,059;-1,935;1023,830;30,150;89,350;-0,735;92,425;-0,765;0,521;181,519;-0,092;-50,000;3350;335,0;;0,0;60;12,14;-3,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732485;17.01.25 00:08:00;-45,466;-1,935;-6,977;0,021;-1,967;1023,839;30,150;89,720;-0,775;92,465;-0,815;0,442;183,876;-0,098;-50,000;3350;335,0;;0,0;60;12,14;-3,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732486;17.01.25 00:09:00;-45,431;-1,935;-7,225;0,162;-2,007;1023,848;30,162;90,060;-0,800;92,530;-0,870;0,470;184,686;-0,108;-50,000;3350;335,0;;0,0;60;12,14;-3,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
