Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;669999;bis:;690057
Ausgelesen am:;18.12.2024 12:17:27;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667699;03.12.24 00:00:05;-1,091;-1,653;-5,173;-0,257;2,735;1001,789;32,895;96,775;3,350;98,395;2,895;0,563;182,115;0,195;-50,000;2767;276,7;;0,0;60;11,92;1,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667700;03.12.24 00:01:05;-1,062;-1,712;-5,272;-0,257;2,725;1001,774;32,898;96,720;3,365;98,335;2,875;0,441;186,789;0,186;-50,000;2767;276,7;;0,0;60;11,90;1,51;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667701;03.12.24 00:02:05;-1,085;-1,776;-5,418;-0,257;2,725;1001,783;32,907;96,715;3,360;98,310;2,840;0,623;325,254;0,183;-50,000;2767;276,7;;0,0;60;11,90;1,59;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667702;03.12.24 00:03:05;-1,092;-1,779;-5,582;-0,257;2,723;1001,759;32,904;96,735;3,330;98,325;2,850;0,777;261,349;0,186;-50,000;2767;276,7;;0,0;60;11,90;1,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667703;03.12.24 00:04:05;-1,093;-1,764;-5,454;-0,257;2,738;1001,747;32,904;96,700;3,325;98,280;2,830;0,596;351,771;0,186;-50,000;2767;276,7;;0,0;60;11,91;1,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667704;03.12.24 00:05:05;-1,074;-1,825;-5,589;-0,257;2,727;1001,744;32,913;96,695;3,325;98,330;2,845;0,437;271,547;0,180;-50,000;2767;276,7;;0,0;60;11,90;1,63;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667705;03.12.24 00:06:05;-1,078;-1,856;-5,653;-0,257;2,720;1001,738;32,913;96,715;3,330;98,340;2,855;0,441;203,468;0,195;-50,000;2767;276,7;;0,0;60;11,91;1,47;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667706;03.12.24 00:07:05;-1,100;-1,883;-5,666;-0,257;2,725;1001,723;32,910;96,735;3,365;98,350;2,880;0,509;157,523;0,192;-50,000;2767;276,7;;0,0;60;11,92;1,43;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667707;03.12.24 00:08:05;-1,103;-1,918;-5,667;-0,257;2,712;1001,699;32,910;96,730;3,370;98,385;2,900;0,585;121,258;0,195;-50,000;2767;276,7;;0,0;60;11,92;1,43;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667708;03.12.24 00:09:05;-1,122;-1,878;-5,642;-0,257;2,720;1001,690;32,913;96,720;3,370;98,350;2,880;0,571;121,393;0,183;-50,000;2767;276,7;;0,0;60;11,92;1,55;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
