Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;896724;bis:;906821
Ausgelesen am:;15.05.2025 10:36:47;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890350;04.05.25 00:00:00;-13,902;-1,935;-0,400;2,149;13,595;995,876;7,380;81,840;34143330000,000;80,495;14,190;1,670;203,490;17,673;-50,000;4097;409,7;;0,0;60;12,51;12,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890351;04.05.25 00:01:00;-13,742;-1,935;-0,408;2,018;13,597;995,900;7,377;82,290;34139480000,000;80,735;14,185;1,419;217,890;17,655;-50,000;4097;409,7;;0,0;60;12,51;12,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890352;04.05.25 00:02:00;-13,676;-1,935;-0,490;1,956;13,565;995,945;7,293;82,455;34139480000,000;80,830;14,140;1,508;257,034;17,637;-50,000;4097;409,7;;0,0;60;12,50;12,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890353;04.05.25 00:03:00;-13,693;-1,935;-0,479;1,880;13,550;995,978;7,371;82,395;34112560000,000;80,815;14,120;1,325;296,578;17,643;-50,000;4097;409,7;;0,0;60;12,50;12,26;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890354;04.05.25 00:04:00;-13,368;-1,935;-0,385;1,840;13,548;995,990;7,374;82,585;34124100000,000;81,180;14,105;1,617;255,414;17,634;-50,000;4097;409,7;;0,0;60;12,51;12,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890355;04.05.25 00:05:00;-12,766;-1,935;-0,551;1,796;13,525;995,975;7,365;82,550;34101020000,000;81,605;14,110;1,616;255,876;17,615;-50,000;4097;409,7;;0,0;60;12,51;11,90;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890356;04.05.25 00:06:00;-11,970;-1,935;-0,601;1,827;13,510;995,987;5,529;82,615;34089480000,000;81,635;14,075;1,932;217,254;17,600;-50,000;4097;409,7;;0,0;60;12,51;11,90;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890357;04.05.25 00:07:00;-11,079;-1,935;-0,648;1,786;13,493;995,993;0,012;82,905;34070250000,000;81,485;14,025;1,616;308,734;17,594;-50,000;4097;409,7;;0,0;60;12,51;11,98;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890358;04.05.25 00:08:00;-10,543;-1,935;-0,460;1,712;13,452;996,005;0,012;83,305;34051020000,000;81,820;14,000;2,261;291,679;17,582;-50,000;4097;409,7;;0,0;60;12,51;12,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890359;04.05.25 00:09:00;-10,651;-1,935;-0,400;1,743;13,427;996,014;0,012;83,605;34031790000,000;82,005;13,965;2,013;283,151;17,591;-50,000;4097;409,7;;0,0;60;12,51;12,14;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
