Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;462224;bis:;472225
Ausgelesen am:;07.01.1980 00:03:30;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468870;27.07.24 00:00:10;-7,790;-1,935;0,329;0,914;20,185;997,469;6,420;93,800;20,695;92,740;20,715;1,104;299,408;23,057;-50,000;925;92,5;;0,0;60;12,42;23,37;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468871;27.07.24 00:01:10;-5,734;-1,935;0,328;0,892;20,150;997,487;6,555;93,695;20,685;92,670;20,645;1,079;307,097;23,008;-50,000;925;92,5;;0,0;60;12,41;23,37;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468872;27.07.24 00:02:10;-7,109;-1,935;0,377;0,890;20,153;997,526;6,723;93,705;20,675;92,800;20,635;0,790;300,274;22,966;-50,000;925;92,5;;0,0;60;12,42;23,33;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468873;27.07.24 00:03:10;-7,109;-1,935;0,556;0,853;20,150;997,532;6,816;93,890;20,700;93,080;20,650;0,805;188,286;22,953;-50,000;925;92,5;;0,0;60;12,43;23,45;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468874;27.07.24 00:04:10;-6,702;-1,935;0,691;0,888;20,140;997,547;6,858;94,000;20,685;93,205;20,620;0,820;236,649;22,953;-50,000;925;92,5;;0,0;60;12,42;23,61;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468875;27.07.24 00:05:10;-7,002;-1,935;0,715;0,881;20,135;997,559;6,945;94,125;20,660;93,305;20,630;0,899;217,114;22,917;-50,000;925;92,5;;0,0;60;12,42;23,45;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468876;27.07.24 00:06:10;-7,023;-1,935;0,729;0,874;20,127;997,601;7,017;94,150;20,665;93,340;20,585;0,818;227,587;22,932;-50,000;925;92,5;;0,0;60;12,42;23,61;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468877;27.07.24 00:07:10;-6,693;-1,935;0,826;0,854;20,112;997,634;7,074;94,250;20,645;93,465;20,605;0,742;183,139;22,901;-50,000;925;92,5;;0,0;60;12,42;23,29;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468878;27.07.24 00:08:10;-6,450;-1,935;0,874;0,842;20,130;997,658;7,140;94,320;20,665;93,505;20,590;0,994;230,996;22,883;-50,000;925;92,5;;0,0;60;12,42;23,41;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468879;27.07.24 00:09:10;-6,208;-1,935;0,846;0,820;20,132;997,688;7,191;94,365;20,635;93,560;20,565;0,755;227,048;22,862;-50,000;925;92,5;;0,0;60;12,42;23,45;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
