Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;948457;bis:;952809
Ausgelesen am:;16.06.2025 11:11:49;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949261;14.06.25 00:00:05;-73,256;-1,935;-9,373;1,158;22,705;1004,081;0,012;57,745;22,670;52,665;23,700;1,444;86,856;24,027;-50,000;4167;416,7;;0,0;60;13,52;20,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949262;14.06.25 00:01:05;-73,351;-1,935;-9,676;1,166;22,675;1004,075;0,012;57,925;22,695;52,845;23,655;1,092;79,352;24,021;-50,000;4167;416,7;;0,0;60;13,53;20,56;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949263;14.06.25 00:02:05;-73,462;-1,935;-9,954;1,150;22,680;1004,084;0,012;57,860;22,710;52,845;23,635;1,129;83,891;24,021;-50,000;4167;416,7;;0,0;60;13,52;20,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949264;14.06.25 00:03:05;-73,539;-1,935;-9,995;0,995;22,660;1004,075;0,009;58,275;22,725;52,985;23,610;1,489;65,981;24,024;-50,000;4167;416,7;;0,0;60;13,53;20,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949265;14.06.25 00:04:05;-73,429;-1,935;-9,433;1,176;22,655;1004,078;0,012;57,940;22,710;53,010;23,580;1,041;71,139;24,003;-50,000;4167;416,7;;0,0;60;13,53;20,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949266;14.06.25 00:05:05;-55,109;-1,451;-7,749;0,857;-51,312;1004,078;0,012;57,825;22,705;53,130;23,540;1,196;113,046;23,994;-50,000;4167;416,7;;0,0;59;13,52;20,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949267;14.06.25 00:06:05;-73,530;-1,935;-10,371;1,046;22,620;1004,060;0,012;58,060;22,680;53,360;23,510;1,351;186,176;23,979;-50,000;4167;416,7;;0,0;59;13,51;20,36;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949268;14.06.25 00:07:05;NaN;NaN;-10,324;0,882;22,605;1004,054;0,012;57,940;22,650;53,385;23,490;1,432;167,608;23,985;-50,000;4167;416,7;;0,0;60;13,52;20,52;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949269;14.06.25 00:08:05;-73,655;-1,935;-9,898;1,011;22,595;1004,060;0,012;57,970;22,680;53,475;23,445;1,479;137,706;23,963;-50,000;4167;416,7;;0,0;58;13,50;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949270;14.06.25 00:09:05;-74,051;-1,935;-9,877;1,024;22,583;1004,063;0,012;57,930;22,685;53,695;23,430;1,504;118,328;23,951;-50,000;4167;416,7;;0,0;60;13,51;20,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
