Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;750001;bis:;769999
Ausgelesen am:;15.04.2025 12:20:06;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726717;13.01.25 00:00:00;-66,678;-1,935;-4,381;1,612;-5,565;1027,235;36,534;87,905;-4,090;88,200;-4,295;0,428;285,531;0,106;-50,000;3350;335,0;;0,0;60;11,96;-6,55;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726718;13.01.25 00:01:00;-66,661;-1,935;-4,193;1,723;-5,582;1027,220;36,525;88,185;-4,085;88,190;-4,290;0,468;291,381;0,100;-50,000;3350;335,0;;0,0;60;11,96;-6,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726719;13.01.25 00:02:00;-66,791;-1,935;-4,456;1,797;-5,587;1027,190;36,516;88,685;-4,095;88,255;-4,310;0,627;308,908;0,100;-50,000;3350;335,0;;0,0;60;11,96;-6,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726720;13.01.25 00:03:00;-66,774;-1,935;-4,570;2,117;-5,575;1027,166;36,516;89,000;-4,075;88,430;-4,285;0,533;177,688;0,103;-50,000;3350;335,0;;0,0;60;11,97;-6,43;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726721;13.01.25 00:04:00;-66,523;-1,935;-4,297;2,050;-5,590;1027,142;36,516;89,070;-4,060;88,585;-4,260;0,435;89,854;0,103;-50,000;3350;335,0;;0,0;60;11,97;-6,47;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726722;13.01.25 00:05:00;-66,192;-1,935;-4,285;1,899;-5,595;1027,145;36,507;89,260;-4,065;88,645;-4,250;0,430;132,474;0,103;-50,000;3350;335,0;;0,0;60;11,97;-6,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726723;13.01.25 00:06:00;-66,001;-1,935;-4,167;1,768;-5,608;1027,160;36,492;89,365;-4,075;88,710;-4,260;0,439;213,261;0,100;-50,000;3350;335,0;;0,0;60;11,97;-6,83;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726724;13.01.25 00:07:00;-66,426;-1,935;-4,034;1,890;-5,602;1027,205;36,489;89,340;-4,090;88,775;-4,235;0,537;225,506;0,103;-50,000;3350;335,0;;0,0;60;11,96;-6,51;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726725;13.01.25 00:08:00;-66,207;-1,935;-4,001;2,187;-5,582;1027,226;36,477;89,375;-4,085;88,855;-4,250;0,454;223,369;0,103;-50,000;3350;335,0;;0,0;60;11,97;-6,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726726;13.01.25 00:09:00;-65,941;-1,935;-3,762;2,084;-5,577;1027,235;36,474;89,365;-4,080;88,935;-4,215;0,514;192,364;0,103;-50,000;3350;335,0;;0,0;60;11,96;-6,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
