Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;750001;bis:;769999
Ausgelesen am:;15.04.2025 12:20:06;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715197;05.01.25 00:00:00;-26,589;-1,935;-2,776;0,397;-1,125;999,653;36,090;88,955;-0,205;90,620;-0,635;0,698;91,114;0,003;-50,000;3072;307,2;;0,0;60;11,61;-2,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715198;05.01.25 00:01:00;-26,096;-1,935;-2,766;0,342;-1,137;999,638;36,087;88,960;-0,250;90,605;-0,635;0,653;97,054;0,006;-50,000;3072;307,2;;0,0;60;11,61;-2,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715199;05.01.25 00:02:00;-25,574;-1,935;-2,877;0,313;-1,145;999,641;36,075;88,985;-0,220;90,605;-0,640;0,660;97,065;-0,003;-50,000;3072;307,2;;0,0;60;11,61;-2,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715200;05.01.25 00:03:00;-25,027;-1,935;-2,726;0,324;-1,147;999,650;36,117;89,035;-0,245;90,640;-0,625;0,551;67,472;0,000;-50,000;3072;307,2;;0,0;60;11,61;-2,30;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715201;05.01.25 00:04:00;-24,591;-1,935;-3,033;0,299;-1,170;999,653;36,120;89,000;-0,310;90,590;-0,690;0,442;271,586;0,006;-50,000;3072;307,2;;0,0;60;11,60;-2,26;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715202;05.01.25 00:05:00;-24,206;-1,935;-3,232;0,290;-1,162;999,641;36,123;89,035;-0,250;90,680;-0,645;0,458;30,583;0,003;-50,000;3072;307,2;;0,0;60;11,61;-2,38;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715203;05.01.25 00:06:00;-23,947;-1,935;-3,178;0,268;-1,180;999,635;36,111;89,080;-0,265;90,685;-0,640;0,505;94,725;0,000;-50,000;3072;307,2;;0,0;60;11,60;-2,42;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715204;05.01.25 00:07:00;-23,752;-1,935;-2,882;0,281;-1,187;999,611;36,126;89,090;-0,275;90,700;-0,675;0,443;114,711;0,003;-50,000;3072;307,2;;0,0;60;11,60;-2,58;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715205;05.01.25 00:08:00;-23,512;-1,935;-2,997;0,247;-1,202;999,605;36,138;89,065;-0,265;90,675;-0,680;0,533;277,155;0,003;-50,000;3072;307,2;;0,0;60;11,60;-2,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715206;05.01.25 00:09:00;-23,475;-1,935;-2,699;0,223;-1,220;999,575;36,126;89,155;-0,290;90,695;-0,650;0,675;47,115;0,003;-50,000;3072;307,2;;0,0;60;11,61;-2,34;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
