Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;452226;bis:;462224
Ausgelesen am:;06.01.1980 23:58:23;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478950;03.08.24 00:00:10;-58,040;-1,935;-5,316;0,862;19,872;997,379;27,843;80,055;20,445;76,600;21,055;0,670;247,219;23,631;-50,000;925;92,5;;0,0;60;12,44;23,21;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478951;03.08.24 00:01:10;-57,788;-1,935;-5,205;0,916;19,837;997,370;27,747;80,500;20,410;76,875;21,035;0,634;258,919;23,631;-50,000;925;92,5;;0,0;60;12,44;23,02;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478952;03.08.24 00:02:10;-57,629;-1,935;-4,641;1,092;19,825;997,370;27,582;80,520;20,395;76,910;21,020;0,919;180,388;23,613;-50,000;925;92,5;;0,0;60;12,45;23,13;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478953;03.08.24 00:03:10;-57,567;-1,935;-5,012;1,265;19,790;997,364;27,588;80,345;20,395;76,780;21,010;0,579;190,401;23,594;-50,000;925;92,5;;0,0;60;12,44;23,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478954;03.08.24 00:04:10;-57,262;-1,935;-4,664;1,314;19,780;997,376;27,792;80,330;20,340;76,720;20,965;0,759;315,641;23,564;-50,000;925;92,5;;0,0;60;12,43;23,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478955;03.08.24 00:05:10;-57,153;-1,935;-4,834;1,435;19,760;997,379;27,417;80,380;20,340;76,750;20,980;0,688;231,919;23,579;-50,000;925;92,5;;0,0;60;12,44;22,98;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478956;03.08.24 00:06:10;-57,232;-1,935;-4,136;1,492;19,757;997,382;27,477;80,430;20,340;76,750;20,975;0,956;170,561;23,552;-50,000;925;92,5;;0,0;60;12,44;23,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478957;03.08.24 00:07:10;-57,307;-1,935;-4,416;1,550;19,730;997,391;27,828;80,505;20,350;76,885;20,985;0,611;200,278;23,542;-50,000;925;92,5;;0,0;60;12,44;23,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478958;03.08.24 00:08:10;-57,333;-1,935;-4,668;1,482;19,715;997,397;27,807;80,635;20,340;77,090;20,960;0,545;152,460;23,539;-50,000;925;92,5;;0,0;60;12,45;23,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478959;03.08.24 00:09:10;-57,576;-1,935;-5,004;1,354;19,690;997,409;27,618;80,900;20,320;77,295;20,940;0,544;182,936;23,542;-50,000;925;92,5;;0,0;60;12,44;22,90;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478960;03.08.24 00:10:10;-57,363;-1,935;-4,935;1,228;19,670;997,430;27,648;80,650;20,290;76,945;20,915;0,468;197,466;23,536;-50,000;925;92,5;;0,0;60;12,44;23,06;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478961;03.08.24 00:11:10;-57,576;-1,935;-4,849;1,295;19,627;997,430;27,597;80,790;20,310;77,220;20,900;0,497;123,278;23,533;-50,000;925;92,5;;0,0;60;12,44;22,82;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478962;03.08.24 00:12:10;-57,558;-1,935;-5,022;1,221;19,595;997,439;27,663;80,840;20,295;77,350;20,885;0,492;89,921;23,521;-50,000;925;92,5;;0,0;60;12,45;22,82;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478963;03.08.24 00:13:10;-57,640;-1,935;-4,623;1,134;19,567;997,448;27,309;80,730;20,265;77,335;20,860;0,608;159,829;23,503;-50,000;925;92,5;;0,0;60;12,44;22,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478964;03.08.24 00:14:10;-57,953;-1,935;-4,329;1,309;19,567;997,448;27,006;80,905;20,245;77,425;20,835;0,920;138,161;23,481;-50,000;925;92,5;;0,0;60;12,44;22,98;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478965;03.08.24 00:15:10;-58,486;-1,935;-3,994;1,468;19,565;997,436;27,114;80,775;20,255;77,255;20,865;1,234;125,910;23,472;-50,000;925;92,5;;0,0;60;12,43;22,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478966;03.08.24 00:16:10;-59,106;-1,935;-4,145;1,484;19,560;997,439;27,594;80,975;20,265;77,360;20,835;1,078;138,263;23,457;-50,000;925;92,5;;0,0;60;12,44;22,86;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478967;03.08.24 00:17:10;-59,465;-1,935;-4,480;1,187;19,542;997,439;27,600;81,090;20,235;77,545;20,810;0,918;144,045;23,454;-50,000;925;92,5;;0,0;60;12,44;22,82;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478968;03.08.24 00:18:10;-59,454;-1,935;-4,691;0,961;19,520;997,433;27,618;80,995;20,220;77,635;20,740;0,721;115,059;23,441;-50,000;925;92,5;;0,0;60;12,44;22,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478969;03.08.24 00:19:10;-59,346;-1,935;-5,043;0,816;19,495;997,442;27,579;81,255;20,165;78,040;20,670;0,784;165,156;23,441;-50,000;925;92,5;;0,0;60;12,44;22,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478970;03.08.24 00:20:10;-59,087;-1,935;-5,230;0,732;19,483;997,454;27,708;81,405;20,130;78,290;20,600;0,636;172,131;23,435;-50,000;925;92,5;;0,0;60;12,44;22,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478971;03.08.24 00:21:10;-58,903;-1,935;-5,496;0,744;19,420;997,472;27,681;81,700;20,085;78,675;20,590;0,543;197,932;23,423;-50,000;925;92,5;;0,0;60;12,44;22,66;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478972;03.08.24 00:22:10;-58,806;-1,935;-5,370;0,675;19,390;997,490;27,744;82,060;20,050;78,955;20,540;0,492;149,023;23,420;-50,000;925;92,5;;0,0;60;12,44;22,58;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478973;03.08.24 00:23:10;-58,624;-1,935;-5,346;0,715;19,365;997,499;27,630;82,145;19,970;79,095;20,475;0,496;289,451;23,393;-50,000;925;92,5;;0,0;60;12,43;22,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478974;03.08.24 00:24:10;-58,381;-1,935;-5,333;0,719;19,322;997,511;27,243;82,430;19,945;79,440;20,440;0,486;207,096;23,301;-50,000;925;92,5;;0,0;60;12,43;22,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478975;03.08.24 00:25:10;-58,429;-1,935;-4,704;0,779;19,280;997,520;27,138;82,660;19,910;79,470;20,410;0,922;176,214;23,368;-50,000;925;92,5;;0,0;60;12,43;22,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478976;03.08.24 00:26:10;-58,366;-1,935;-4,366;0,993;19,260;997,523;27,465;82,690;19,905;79,605;20,410;0,606;135,669;23,356;-50,000;925;92,5;;0,0;60;12,44;22,74;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478977;03.08.24 00:27:10;-58,455;-1,935;-4,432;1,009;19,230;997,532;27,597;82,380;19,860;79,245;20,390;1,020;118,254;23,356;-50,000;925;92,5;;0,0;60;12,45;22,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478978;03.08.24 00:28:10;-58,632;-1,935;-4,246;1,019;19,217;997,553;27,258;82,370;19,850;79,225;20,375;0,800;136,958;23,347;-50,000;925;92,5;;0,0;60;12,44;22,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478979;03.08.24 00:29:10;-58,725;-1,935;-4,248;1,035;19,205;997,559;27,279;82,480;19,850;79,435;20,360;0,812;97,886;23,344;-50,000;925;92,5;;0,0;60;12,44;22,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478980;03.08.24 00:30:10;-58,475;-1,935;-4,650;0,848;19,165;997,574;27,258;82,830;19,805;79,550;20,310;0,844;110,267;23,344;-50,000;925;92,5;;0,0;60;12,44;22,42;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478981;03.08.24 00:31:10;-58,462;-1,935;-4,481;0,849;19,140;997,583;27,642;82,740;19,780;79,525;20,330;0,713;75,437;23,329;-50,000;925;92,5;;0,0;60;12,44;22,62;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478982;03.08.24 00:32:10;-58,281;-1,935;-3,661;0,829;19,120;997,601;27,357;82,620;19,710;79,445;20,265;1,042;140,574;23,329;-50,000;925;92,5;;0,0;60;12,44;22,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478983;03.08.24 00:33:10;-58,306;-1,935;-3,528;1,144;19,112;997,613;27,582;82,780;19,695;79,650;20,245;0,877;247,179;23,283;-50,000;925;92,5;;0,0;60;12,43;22,22;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478984;03.08.24 00:34:10;-57,992;-1,935;-3,425;1,302;19,102;997,622;27,501;82,920;19,735;79,675;20,255;0,763;108,146;23,304;-50,000;925;92,5;;0,0;60;12,44;22,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478985;03.08.24 00:35:10;-57,783;-1,935;-3,357;1,332;19,077;997,637;27,405;82,875;19,675;79,650;20,220;0,950;246,122;23,264;-50,000;925;92,5;;0,0;60;12,43;22,50;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478986;03.08.24 00:36:10;-57,752;-1,935;-2,966;1,584;19,077;997,649;27,309;82,775;19,660;79,555;20,235;1,214;299,363;23,258;-50,000;925;92,5;;0,0;60;12,42;22,70;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478987;03.08.24 00:37:10;-57,663;-1,935;-3,326;1,869;19,083;997,652;27,321;82,910;19,660;79,580;20,225;0,898;310,298;23,249;-50,000;925;92,5;;0,0;60;12,42;22,38;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478988;03.08.24 00:38:10;-57,487;-1,935;-3,470;1,915;19,083;997,643;27,294;82,870;19,690;79,455;20,300;0,966;233,747;23,246;-50,000;925;92,5;;0,0;60;12,43;22,18;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478989;03.08.24 00:39:10;-57,489;-1,935;-3,371;1,894;19,080;997,640;27,462;82,780;19,685;79,280;20,285;0,765;245,874;23,246;-50,000;925;92,5;;0,0;60;12,42;22,38;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478990;03.08.24 00:40:10;-57,369;-1,935;-2,995;1,920;19,070;997,637;27,435;82,605;19,690;79,205;20,285;0,852;275,333;23,246;-50,000;925;92,5;;0,0;60;12,43;22,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478991;03.08.24 00:41:10;-57,362;-1,935;-3,408;1,890;19,067;997,631;27,453;82,765;19,705;79,235;20,325;0,602;308,796;23,234;-50,000;925;92,5;;0,0;60;12,42;22,38;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478992;03.08.24 00:42:10;-57,342;-1,935;-3,861;1,754;19,052;997,628;27,798;82,950;19,705;79,325;20,350;0,750;199,142;23,215;-50,000;925;92,5;;0,0;60;12,43;22,38;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478993;03.08.24 00:43:10;-57,424;-1,935;-3,977;1,561;19,045;997,634;27,588;83,000;19,710;79,300;20,355;0,704;188,527;23,201;-50,000;925;92,5;;0,0;60;12,43;22,22;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478994;03.08.24 00:44:10;-57,494;-1,935;-4,185;1,454;19,017;997,646;27,423;83,315;19,705;79,585;20,330;0,609;138,909;23,173;-50,000;925;92,5;;0,0;60;12,43;22,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478995;03.08.24 00:45:10;-57,830;-1,935;-4,300;1,259;18,997;997,661;27,204;83,300;19,685;79,475;20,320;0,666;121,944;23,133;-50,000;925;92,5;;0,0;60;12,43;22,14;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478996;03.08.24 00:46:10;-57,729;-1,935;-4,324;1,037;18,985;997,649;27,495;83,350;19,670;79,540;20,265;0,858;114,699;23,158;-50,000;925;92,5;;0,0;60;12,43;22,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478997;03.08.24 00:47:10;-57,523;-1,935;-4,541;0,761;18,942;997,640;27,231;83,670;19,620;80,105;20,230;0,813;100,238;23,151;-50,000;925;92,5;;0,0;60;12,43;22,10;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478998;03.08.24 00:48:10;-57,160;-1,935;-4,636;0,555;18,913;997,619;27,411;84,015;19,595;80,610;20,155;0,785;88,796;23,148;-50,000;925;92,5;;0,0;60;12,43;22,26;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478999;03.08.24 00:49:10;-56,661;-1,935;-4,602;0,447;18,865;997,595;27,459;84,010;19,545;80,555;20,075;0,844;72,039;23,148;-50,000;925;92,5;;0,0;60;12,44;22,26;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479000;03.08.24 00:50:10;-56,315;-1,935;-4,237;0,453;18,837;997,568;27,663;83,870;19,485;80,675;20,020;0,727;70,172;23,118;-50,000;925;92,5;;0,0;60;12,44;22,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479001;03.08.24 00:51:10;-56,074;-1,935;-4,096;0,539;18,792;997,541;27,897;84,050;19,465;80,850;19,985;0,718;67,196;23,148;-50,000;925;92,5;;0,0;60;12,44;22,22;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479002;03.08.24 00:52:10;-56,073;-1,935;-4,183;0,653;18,767;997,502;27,393;84,170;19,430;81,045;19,950;0,579;38,301;23,112;-50,000;925;92,5;;0,0;60;12,44;22,26;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479003;03.08.24 00:53:10;-56,078;-1,935;-4,345;0,651;18,752;997,490;27,510;84,235;19,370;81,095;19,885;0,461;199,254;23,100;-50,000;925;92,5;;0,0;60;12,43;21,98;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479004;03.08.24 00:54:10;-56,206;-1,935;-4,502;0,631;18,695;997,472;27,246;84,335;19,305;81,360;19,805;0,470;343,215;23,033;-50,000;925;92,5;;0,0;60;12,42;21,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479005;03.08.24 00:55:10;-56,242;-1,935;-4,641;0,705;18,660;997,451;27,591;84,690;19,270;81,745;19,775;0,497;322,909;23,033;-50,000;925;92,5;;0,0;60;12,42;22,02;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479006;03.08.24 00:56:10;-56,253;-1,935;-4,595;0,689;18,635;997,457;27,246;84,760;19,250;81,675;19,760;0,448;305,314;23,002;-50,000;925;92,5;;0,0;60;12,42;21,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
