Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;976591;bis:;983376
Ausgelesen am:;26.06.2025 10:24:05;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957314;19.06.25 00:00:05;-67,840;-1,935;-9,716;0,948;19,607;1007,560;0,012;76,153;19,100;66,160;20,680;0,913;321,135;22,953;-50,000;4167;416,7;;0,0;65;13,41;22,88;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957315;19.06.25 00:00:19;-67,866;-1,935;-9,690;0,986;19,580;1007,564;0,012;75,860;19,060;66,100;20,640;1,125;362,160;22,953;-50,000;4167;416,7;;0,0;14;13,38;22,78;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957316;19.06.25 00:00:42;-67,957;-1,935;-9,258;1,069;19,560;1007,564;0,012;75,320;19,040;66,040;20,640;1,163;348,255;22,941;-50,000;4167;416,7;;0,0;12;13,36;22,78;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957317;19.06.25 00:01:10;-67,887;-1,935;-9,562;1,019;19,553;1007,556;0,012;75,620;19,093;66,040;20,660;1,373;333,030;22,949;-50,000;4167;416,7;;0,0;65;13,37;22,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957318;19.06.25 00:01:24;-67,792;-1,935;-9,486;0,898;19,550;1007,552;0,012;76,400;19,080;66,000;20,660;1,636;287,865;22,929;-50,000;4167;416,7;;0,0;14;13,39;22,78;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957319;19.06.25 00:01:47;-67,936;-1,935;-9,159;1,094;19,560;1007,564;0,012;75,640;19,060;66,180;20,620;1,313;308,543;22,904;-50,000;4167;416,7;;0,0;12;13,42;22,46;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957320;19.06.25 00:02:00;-67,901;-1,935;-9,113;1,004;19,525;1007,552;0,012;75,800;19,090;66,170;20,610;0,914;300,218;22,947;-50,000;4167;416,7;;0,0;50;13,41;22,86;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957321;19.06.25 00:02:29;-67,847;-1,935;-9,228;1,052;19,550;1007,564;0,012;75,660;19,080;66,280;20,600;1,200;250,965;22,953;-50,000;4167;416,7;;0,0;14;13,41;22,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957322;19.06.25 00:02:52;-67,907;-1,935;-9,329;1,017;19,510;1007,564;0,012;76,320;19,100;66,280;20,600;1,852;297,518;22,917;-50,000;4167;416,7;;0,0;12;13,39;22,78;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957323;19.06.25 00:03:05;-68,026;-1,935;-9,272;1,016;19,520;1007,560;0,012;75,807;19,087;66,320;20,593;1,145;310,688;22,913;-50,000;4167;416,7;;0,0;65;13,37;22,72;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
