Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;609999;bis:;630841
Ausgelesen am:;19.12.2024 12:43:11;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611537;25.10.24 00:00:10;-38,249;-1,935;-8,006;0,739;8,318;1007,987;31,764;95,975;9,150;95,625;9,265;0,444;102,291;10,504;-50,000;2520;252,0;;0,0;60;12,30;7,02;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611538;25.10.24 00:01:10;-37,899;-1,935;-7,830;0,598;8,290;1007,969;31,818;96,000;9,150;95,635;9,275;0,463;75,915;10,480;-50,000;2520;252,0;;0,0;60;12,30;7,22;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611539;25.10.24 00:02:10;-37,668;-1,935;-7,215;0,425;8,272;1007,960;31,851;95,955;9,140;95,595;9,270;0,587;90,855;10,477;-50,000;2520;252,0;;0,0;60;12,31;7,02;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611540;25.10.24 00:03:10;-37,400;-1,935;-7,181;0,333;8,250;1007,939;32,289;95,865;9,115;95,540;9,245;0,450;84,038;10,462;-50,000;2520;252,0;;0,0;60;12,31;6,94;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611541;25.10.24 00:04:10;-37,002;-1,935;-7,393;0,344;8,233;1007,930;32,082;95,750;9,110;95,515;9,215;0,439;69,981;10,458;-50,000;2520;252,0;;0,0;60;12,31;7,14;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611542;25.10.24 00:05:10;-36,761;-1,935;-7,483;0,213;8,182;1007,945;31,278;95,630;9,050;95,455;9,130;0,438;166,343;10,468;-50,000;2520;252,0;;0,0;60;12,30;6,90;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611543;25.10.24 00:06:10;-36,471;-1,935;-7,430;0,225;8,177;1007,945;31,620;95,585;9,020;95,485;9,130;0,438;162,309;10,462;-50,000;2520;252,0;;0,0;60;12,30;6,90;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611544;25.10.24 00:07:10;-35,893;-1,935;-7,326;0,303;8,153;1007,927;32,370;95,590;9,025;95,470;9,085;0,438;148,073;10,468;-50,000;2520;252,0;;0,0;60;12,29;7,22;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611545;25.10.24 00:08:10;-35,166;-1,935;-7,126;0,160;8,130;1007,900;32,823;95,545;9,010;95,500;9,095;0,442;111,341;10,462;-50,000;2520;252,0;;0,0;60;12,30;6,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611546;25.10.24 00:09:10;-34,168;-1,935;-6,407;0,051;8,115;1007,891;31,641;95,495;8,985;95,475;9,050;0,458;124,633;10,455;-50,000;2520;252,0;;0,0;60;12,31;6,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
