Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;524377;bis:;530000
Ausgelesen am:;19.12.2024 11:26:43;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438536;10.07.24 00:00:04;-28,643;-1,935;-1,415;1,340;22,060;996,392;0,012;81,700;22,600;77,640;22,840;1,059;283,590;25,419;-50,000;925;92,5;;0,0;14;12,47;25,16;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438537;10.07.24 00:00:27;-28,969;-1,935;-1,375;1,407;22,070;996,368;0,012;81,520;22,580;77,860;22,860;1,027;314,393;25,419;-50,000;925;92,5;;0,0;12;12,46;25,32;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438538;10.07.24 00:01:08;-29,715;-1,935;-1,259;1,610;22,030;996,392;0,012;81,160;22,520;77,440;22,820;0,844;328,478;25,395;-50,000;925;92,5;;0,0;13;12,45;25,16;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438539;10.07.24 00:01:31;-30,195;-1,935;-1,497;1,668;22,040;996,416;0,012;82,260;22,520;78,180;22,860;0,600;323,258;25,395;-50,000;925;92,5;;0,0;11;12,45;25,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438540;10.07.24 00:02:00;NaN;-1,935;-1,422;1,486;22,060;996,378;0,011;81,802;22,577;77,912;22,825;0,904;296,010;25,415;-50,000;925;92,5;;0,0;169;12,46;25,38;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438541;10.07.24 00:02:12;-30,889;-1,935;-1,502;1,514;22,010;996,368;0,012;82,560;22,500;78,400;22,800;0,689;354,060;25,395;-50,000;925;92,5;;0,0;12;12,45;25,00;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438542;10.07.24 00:02:53;-31,825;-1,935;-1,722;1,459;21,990;996,296;0,012;82,900;22,460;78,600;22,800;0,881;361,013;25,395;-50,000;925;92,5;;0,0;13;12,45;25,32;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438543;10.07.24 00:03:05;-31,522;-1,935;-1,742;1,478;22,000;996,344;0,012;82,747;22,493;78,640;22,860;0,825;360,698;25,399;-50,000;925;92,5;;0,0;65;12,45;25,21;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438544;10.07.24 00:03:16;-31,980;-1,935;-1,687;1,300;21,980;996,320;0,012;83,220;22,560;78,660;22,900;0,830;11,160;25,395;-50,000;925;92,5;;0,0;11;12,47;25,63;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438545;10.07.24 00:03:57;-32,395;-1,935;-1,636;1,207;21,940;996,320;0,012;82,240;22,520;79,000;22,800;0,609;10,485;25,395;-50,000;925;92,5;;0,0;12;12,47;25,32;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
