Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;590001;bis:;609999
Ausgelesen am:;19.12.2024 12:31:12;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Zaehler1-Differenz [Impulse] = e5;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601457;18.10.24 00:00:10;-23,928;-1,935;-5,553;0,292;12,645;999,908;36,456;95,730;13,285;96,495;13,365;0,444;242,713;13,578;-50,000;2510;;60;12,20;11,11;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601458;18.10.24 00:01:10;-23,151;-1,935;-5,214;0,239;12,663;999,899;36,855;95,880;13,285;96,565;13,355;0,585;241,796;13,572;-50,000;2510;;60;12,20;10,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601459;18.10.24 00:02:10;-22,361;-1,935;-5,234;0,618;12,655;999,887;36,504;95,930;13,255;96,515;13,365;0,625;294,013;13,578;-50,000;2510;;60;12,19;10,95;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601460;18.10.24 00:03:10;-21,500;-1,935;-5,041;0,570;12,640;999,875;37,074;95,830;13,240;96,520;13,345;0,659;286,397;13,556;-50,000;2510;;60;12,19;11,23;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601461;18.10.24 00:04:10;-20,593;-1,935;-4,717;0,586;12,635;999,878;37,458;95,800;13,230;96,505;13,330;0,669;288,568;13,563;-50,000;2510;;60;12,20;10,99;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601462;18.10.24 00:05:10;-20,053;-1,935;-4,599;0,847;12,660;999,893;36,450;96,030;13,240;96,535;13,330;0,599;267,036;13,572;-50,000;2510;;60;12,19;10,91;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601463;18.10.24 00:06:10;-19,962;-1,935;-4,577;1,001;12,675;999,896;37,452;96,075;13,225;96,610;13,330;0,446;250,673;13,572;-50,000;2510;;60;12,20;10,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601464;18.10.24 00:07:10;-20,136;-1,935;-4,349;0,657;12,660;999,896;37,059;96,135;13,210;96,590;13,335;0,524;285,992;13,550;-50,000;2510;;60;12,20;11,03;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601465;18.10.24 00:08:10;-20,976;-1,935;-4,341;0,687;12,675;999,884;36,666;96,280;13,225;96,585;13,330;0,915;237,684;13,565;-50,000;2510;;60;12,20;10,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601466;18.10.24 00:09:10;-21,802;-1,935;-4,314;0,968;12,705;999,875;36,585;96,385;13,210;96,635;13,335;0,713;245,222;13,550;-50,000;2510;;60;12,20;10,63;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601467;18.10.24 00:10:10;-22,578;-1,935;-4,226;0,536;12,705;999,863;36,690;96,380;13,220;96,605;13,315;0,587;278,432;13,544;-50,000;2510;;60;12,20;10,95;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601468;18.10.24 00:11:10;-23,284;-1,935;-4,119;0,385;12,680;999,848;36,543;96,335;13,205;96,570;13,325;0,523;292,028;13,556;-50,000;2510;;60;12,19;11,07;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601469;18.10.24 00:12:10;-23,952;-1,935;-4,344;0,486;12,670;999,827;36,864;96,280;13,210;96,515;13,295;0,485;257,423;13,544;-50,000;2510;;60;12,20;10,60;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601470;18.10.24 00:13:10;-24,330;-1,935;-4,455;0,418;12,635;999,821;36,789;96,200;13,180;96,515;13,265;0,739;287,179;13,550;-50,000;2510;;60;12,20;10,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601471;18.10.24 00:14:10;-24,585;-1,935;-4,307;0,421;12,650;999,818;36,525;96,245;13,170;96,500;13,280;0,570;231,615;13,559;-50,000;2510;;60;12,21;10,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601472;18.10.24 00:15:10;-24,519;-1,935;-4,410;0,632;12,630;999,809;36,570;96,250;13,170;96,525;13,255;0,479;324,647;13,556;-50,000;2510;;60;12,19;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601473;18.10.24 00:16:10;-24,329;-1,935;-4,472;0,392;12,620;999,791;36,801;96,180;13,165;96,540;13,260;0,611;234,804;13,532;-50,000;2510;;60;12,19;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601474;18.10.24 00:17:10;-23,957;-1,935;-4,554;0,298;12,612;999,785;36,816;96,200;13,180;96,560;13,235;0,673;243,242;13,529;-50,000;2510;;60;12,20;10,91;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601475;18.10.24 00:18:10;-23,402;-1,935;-4,295;0,448;12,602;999,776;36,429;96,155;13,165;96,535;13,245;0,620;205,971;13,529;-50,000;2510;;60;12,20;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601476;18.10.24 00:19:10;-22,397;-1,935;-4,232;0,402;12,595;999,770;36,333;96,090;13,120;96,510;13,190;0,439;287,533;13,523;-50,000;2510;;60;12,19;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601477;18.10.24 00:20:10;-21,253;-1,935;-4,335;0,300;12,563;999,764;36,558;96,130;13,130;96,535;13,185;0,443;248,057;13,550;-50,000;2510;;60;12,19;11,03;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601478;18.10.24 00:21:10;-20,074;-1,935;-4,168;0,419;12,565;999,749;36,687;96,225;13,130;96,515;13,190;0,477;265,084;13,501;-50,000;2510;;60;12,20;10,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601479;18.10.24 00:22:10;-18,817;-1,935;-3,888;0,525;12,555;999,737;36,096;96,370;13,140;96,570;13,180;0,612;222,036;13,526;-50,000;2510;;60;12,19;10,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601480;18.10.24 00:23:10;-17,910;-1,935;-3,652;0,543;12,577;999,728;35,925;96,460;13,150;96,610;13,175;0,783;243,945;13,505;-50,000;2510;;60;12,20;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601481;18.10.24 00:24:10;-16,809;-1,935;-3,359;0,862;12,605;999,713;35,997;96,485;13,145;96,605;13,170;0,533;249,570;13,523;-50,000;2510;;60;12,19;10,99;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601482;18.10.24 00:25:10;-16,073;-1,935;-3,530;0,896;12,605;999,698;36,651;96,495;13,150;96,640;13,155;0,462;221,794;13,499;-50,000;2510;;60;12,20;10,99;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601483;18.10.24 00:26:10;-15,319;-1,935;-3,060;0,625;12,600;999,686;37,125;96,490;13,165;96,640;13,160;0,479;256,117;13,495;-50,000;2510;;60;12,19;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601484;18.10.24 00:27:10;-14,791;-1,935;-3,090;0,482;12,595;999,680;36,426;96,540;13,160;96,710;13,160;0,490;218,312;13,517;-50,000;2510;;60;12,19;11,19;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601485;18.10.24 00:28:10;-14,191;-1,935;-3,122;0,371;12,590;999,656;36,705;96,600;13,145;96,680;13,150;0,545;229,539;13,498;-50,000;2510;;60;12,20;10,91;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601486;18.10.24 00:29:10;-13,796;-1,935;-3,132;0,274;12,587;999,641;37,488;96,635;13,165;96,805;13,160;0,762;229,568;13,498;-50,000;2510;;60;12,19;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601487;18.10.24 00:30:10;-13,392;-1,935;-3,087;0,510;12,625;999,617;36,762;96,635;13,170;96,785;13,165;0,537;194,378;13,495;-50,000;2510;;60;12,20;10,83;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601488;18.10.24 00:31:10;-13,257;-1,935;-2,983;0,635;12,615;999,605;36,975;96,640;13,155;96,785;13,145;0,666;300,836;13,486;-50,000;2510;;60;12,19;10,95;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601489;18.10.24 00:32:10;-13,179;-1,935;-2,956;0,580;12,632;999,593;36,126;96,695;13,180;96,800;13,150;0,537;206,286;13,501;-50,000;2510;;60;12,20;10,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601490;18.10.24 00:33:10;-13,251;-1,935;-2,850;0,491;12,640;999,584;36,894;96,690;13,185;96,840;13,165;0,714;199,131;13,498;-50,000;2510;;60;12,19;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601491;18.10.24 00:34:10;-13,534;-1,935;-2,807;0,454;12,637;999,590;36,243;96,685;13,170;96,845;13,175;0,475;265,511;13,486;-50,000;2510;;60;12,20;10,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601492;18.10.24 00:35:10;-13,722;-1,935;-2,715;0,531;12,642;999,599;36,477;96,735;13,190;96,805;13,160;0,495;254,475;13,492;-50,000;2510;;60;12,20;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601493;18.10.24 00:36:10;-14,455;-1,812;-2,760;1,029;12,657;999,578;36,546;96,945;13,220;96,870;13,160;0,480;263,109;13,486;-50,000;2510;;60;12,20;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601494;18.10.24 00:37:10;-15,128;-1,863;-2,689;0,917;12,687;999,572;36,678;97,010;13,215;96,950;13,185;0,560;239,563;13,486;-50,000;2510;;60;12,20;10,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601495;18.10.24 00:38:10;-16,025;-1,495;-2,432;1,238;12,722;999,545;36,513;97,240;13,280;97,040;13,200;0,573;144,686;13,480;-50,000;2510;;60;12,21;10,79;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601496;18.10.24 00:39:10;-16,949;-1,522;-2,433;1,474;12,762;999,527;37,251;97,430;13,320;97,105;13,225;0,479;240,368;13,483;-50,000;2510;;60;12,20;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601497;18.10.24 00:40:10;-17,962;-1,685;-2,526;1,466;12,790;999,500;36,429;97,630;13,400;97,280;13,300;0,652;68,783;13,486;-50,000;2510;;60;12,22;10,83;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601498;18.10.24 00:41:10;-18,936;-1,414;-2,592;1,698;12,830;999,509;36,630;97,935;13,450;97,375;13,335;0,551;172,834;13,483;-50,000;2510;;60;12,21;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601499;18.10.24 00:42:10;-19,996;-1,708;-2,825;1,620;12,868;999,494;36,588;98,020;13,520;97,500;13,420;0,811;88,982;13,489;-50,000;2510;;60;12,21;10,95;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601500;18.10.24 00:43:10;-20,966;-1,876;-2,721;1,736;12,917;999,488;36,588;98,065;13,575;97,535;13,460;0,695;97,414;13,480;-50,000;2510;;60;12,21;10,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601501;18.10.24 00:44:10;-21,869;-1,935;-2,780;1,827;12,938;999,491;36,381;98,060;13,610;97,520;13,515;0,662;187,751;13,480;-50,000;2510;;60;12,20;10,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601502;18.10.24 00:45:10;-22,639;-1,935;-2,548;1,691;12,997;999,488;36,435;98,015;13,635;97,585;13,575;0,990;117,546;13,480;-50,000;2510;;60;12,21;10,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
